	Iteration	Ir	Pd	Pt	Rh	Ru	Activity
0	1	0.12	0.15	0.23	0.39	0.11	0.04092280038762804
1	2	0.04	0.02	0.51	0.17	0.26	0.045167859208006166
2	3	0.07	0.4	0.38	0.08	0.07	0.10090907376180117
3	4	0.09	0.34	0.01	0.0	0.56	0.1042211564237539
4	5	0.38	0.41	0.04	0.05	0.12	0.09215596327149082
5	6	0.08	0.5	0.19	0.0	0.23	0.1452281557647818
6	7	0.21	0.26	0.0	0.0	0.53	0.06681066334743413
7	8	0.0	0.3	0.0	0.0	0.7	0.08044459103946702
8	9	0.05	0.46	0.49	0.0	0.0	0.06982034001819441
9	10	0.13	0.43	0.0	0.0	0.44	0.14212148537948818
10	11	0.11	0.5700000000000001	0.03	0.0	0.29	0.16382283287092259
11	12	0.13	0.47000000000000003	0.1	0.0	0.3	0.14965725917437175
12	13	0.05	0.6	0.12	0.0	0.23	0.15386627490576638
13	14	0.12	0.52	0.09	0.0	0.27	0.15443038596383407
14	15	0.1	0.49	0.0	0.08	0.33	0.16053963475149893
15	16	0.03	0.73	0.0	0.24	0.0	0.08606931022702446
16	17	0.07	0.6	0.0	0.08	0.25	0.16026490511528793
17	18	0.22	0.66	0.0	0.12	0.0	0.1160463117708925
18	19	0.1	0.88	0.0	0.02	0.0	0.07497396672434614
19	20	0.0	0.0	0.0	1.0	0.0	6.253982638286309e-09
20	21	0.03	0.56	0.0	0.0	0.41	0.16373367220501922
21	22	0.1	0.55	0.03	0.06	0.26	0.16530514138781188
22	23	1.0	0.0	0.0	0.0	0.0	1.3203148889979068e-07
23	24	0.11	0.55	0.0	0.04	0.3	0.16666328489180132
24	25	0.08	0.54	0.05	0.07	0.26	0.1626723057925873
25	26	0.01	0.07	0.92	0.0	0.0	0.06064202935032286
26	27	0.5	0.0	0.5	0.0	0.0	0.15739823919287493
27	28	0.08	0.56	0.0	0.03	0.33	0.16822962578100084
28	29	0.08	0.55	0.0	0.03	0.34	0.1679404025718105
29	30	0.08	0.55	0.0	0.04	0.33	0.16783912701777495
30	31	0.62	0.0	0.38	0.0	0.0	0.13173523592096997
31	32	0.35000000000000003	0.19	0.46	0.0	0.0	0.07737841065205729
32	33	0.31	0.01	0.67	0.01	0.0	0.14642735568134685
33	34	0.49	0.0	0.0	0.51	0.0	4.412447292757675e-05
34	35	0.44	0.0	0.41000000000000003	0.14	0.01	0.09798432035058532
35	36	0.0	0.44	0.0	0.56	0.0	0.04200567137493573
36	37	0.42	0.0	0.58	0.0	0.0	0.15931332377210666
37	38	0.18	0.47000000000000003	0.18	0.17	0.0	0.10276689741465682
38	39	0.21	0.0	0.78	0.0	0.01	0.13343198391376135
39	40	0.0	0.62	0.27	0.11	0.0	0.09244635826735478
40	41	0.0	0.0	0.32	0.68	0.0	0.021500575607661623
41	42	0.07	0.5700000000000001	0.02	0.02	0.32	0.16686075777482542
42	43	0.0	0.52	0.1	0.0	0.38	0.16162663410400518
43	44	0.0	0.0	0.0	0.4	0.6	4.253022979307689e-08
44	45	0.55	0.0	0.0	0.0	0.45	8.828630047712052e-08
45	46	0.0	0.55	0.03	0.06	0.36	0.1627350922454313
46	47	0.0	0.35000000000000003	0.26	0.0	0.39	0.12188236341925951
47	48	0.08	0.53	0.0	0.05	0.34	0.16433319895488763
48	49	0.06	0.5700000000000001	0.01	0.01	0.35	0.16539745218588034
49	50	0.06	0.59	0.0	0.05	0.3	0.16361968756253187
50	51	0.09	0.55	0.0	0.03	0.33	0.16875317876175866
51	52	0.02	0.52	0.0	0.13	0.33	0.15787061189876836
52	53	0.05	0.67	0.0	0.01	0.27	0.15026981403588188
53	54	0.09	0.56	0.0	0.03	0.32	0.16841094606116483
54	55	0.0	0.01	0.56	0.43	0.0	0.05962198548976029
55	56	0.08	0.55	0.02	0.02	0.33	0.1674914187686687
56	57	0.07	0.52	0.04	0.06	0.31	0.16633424945405678
57	58	0.04	0.5700000000000001	0.04	0.01	0.34	0.16466632570990652
58	59	0.05	0.58	0.02	0.05	0.3	0.16464861536273037
59	60	0.0	0.55	0.1	0.0	0.35	0.16500628703938258
60	61	0.0	0.46	0.14	0.17	0.23	0.1517133601482685
61	62	0.1	0.52	0.02	0.03	0.33	0.16301876625831446
62	63	0.06	0.54	0.01	0.06	0.33	0.16449676251485357
63	64	0.0	0.5700000000000001	0.06	0.0	0.37	0.16364139749977608
64	65	0.06	0.5700000000000001	0.02	0.06	0.29	0.16287267872117397
65	66	0.09	0.56	0.0	0.02	0.33	0.16907851869952573
66	67	0.1	0.53	0.01	0.04	0.32	0.16423187946551432
67	68	0.12	0.61	0.0	0.0	0.27	0.16114194152297423
68	69	0.04	0.54	0.05	0.04	0.33	0.16590139581243546
69	70	0.06	0.56	0.03	0.02	0.33	0.16388582547937433
70	71	0.66	0.3	0.0	0.02	0.02	0.029600757011137895
71	72	0.0	0.52	0.09	0.06	0.33	0.16151901360225768
72	73	0.04	0.54	0.02	0.1	0.3	0.1631327971131051
73	74	0.07	0.5	0.02	0.03	0.38	0.16347738965339526
74	75	0.05	0.56	0.0	0.04	0.35	0.16615025515587448
75	76	0.01	0.5	0.08	0.07	0.34	0.15909182717505732
76	77	0.07	0.54	0.07	0.03	0.29	0.16381137828020756
77	78	0.04	0.5700000000000001	0.0	0.01	0.38	0.16593098962203637
78	79	0.06	0.54	0.0	0.0	0.4	0.16438376096559118
79	80	0.09	0.0	0.8	0.11	0.0	0.08539771485206696
80	81	0.01	0.53	0.01	0.04	0.41	0.15646297613136706
81	82	0.11	0.5700000000000001	0.03	0.03	0.26	0.1618444701437795
82	83	0.1	0.52	0.01	0.09	0.28	0.16374688058480338
83	84	0.38	0.6	0.0	0.01	0.01	0.09905757726122258
84	85	0.08	0.56	0.0	0.02	0.34	0.16841644289858562
85	86	0.09	0.56	0.0	0.01	0.34	0.16896211537002676
86	87	0.14	0.45	0.0	0.25	0.16	0.1417674162968594
87	88	0.0	0.35000000000000003	0.33	0.32	0.0	0.06715524930739313
88	89	0.0	0.5700000000000001	0.08	0.0	0.35	0.16298280929684947
89	90	0.04	0.55	0.01	0.03	0.37	0.16621812319299603
90	91	0.07	0.56	0.0	0.0	0.37	0.16728612386393746
91	92	0.05	0.54	0.07	0.06	0.28	0.1645997790198171
92	93	0.03	0.53	0.08	0.03	0.33	0.16381190811982116
93	94	0.04	0.5700000000000001	0.02	0.05	0.32	0.1640425255237585
94	95	0.06	0.58	0.0	0.03	0.33	0.16576998873321885
95	96	0.09	0.56	0.0	0.0	0.35	0.1691047870254566
96	97	0.07	0.52	0.06	0.13	0.22	0.15957324459729552
97	98	0.04	0.55	0.06	0.02	0.33	0.1667500425288332
98	99	0.04	0.54	0.09	0.01	0.32	0.16422934799580854
99	100	0.04	0.54	0.05	0.06	0.31	0.16496928298340569
100	101	0.17	0.54	0.0	0.01	0.28	0.15999342406659983
101	102	0.09	0.54	0.05	0.01	0.31	0.1671614112099776
102	103	0.07	0.55	0.07	0.02	0.29	0.16465461155453434
103	104	0.26	0.0	0.44	0.0	0.3	0.06643546017050195
104	105	0.12	0.53	0.0	0.06	0.29	0.1639782982361398
