	Iteration	Ir	Pd	Pt	Rh	Ru	Activity
0	1	0.07	0.53	0.2	0.18	0.02	0.1147970102106289
1	2	0.2	0.12	0.36	0.15	0.17	0.05667966089754833
2	3	0.2	0.01	0.02	0.32	0.45	0.0017930399788619984
3	4	0.39	0.11	0.12	0.02	0.36	0.02295395522094
4	5	0.31	0.14	0.31	0.05	0.19	0.05784657462942726
5	6	0.03	0.75	0.21	0.01	0.0	0.06356329116864441
6	7	0.0	0.48	0.36	0.16	0.0	0.09412510933062446
7	8	0.02	0.64	0.07	0.26	0.01	0.10343232288650116
8	9	0.18	0.54	0.19	0.08	0.01	0.10638623364975237
9	10	0.02	0.5700000000000001	0.3	0.1	0.01	0.09848950885510446
10	11	0.0	0.47000000000000003	0.09	0.12	0.32	0.15272743349343765
11	12	0.04	0.06	0.89	0.01	0.0	0.06977244419741044
12	13	0.04	0.52	0.16	0.28	0.0	0.10368304938130452
13	14	0.18	0.58	0.01	0.23	0.0	0.11923488849529258
14	15	0.15	0.51	0.17	0.17	0.0	0.10647462021304668
15	16	0.0	0.46	0.0	0.03	0.51	0.1387848326948728
16	17	0.0	0.43	0.14	0.12	0.31	0.15020596492405747
17	18	0.0	0.48	0.07	0.15	0.3	0.15225655897917856
18	19	0.0	0.46	0.1	0.13	0.31	0.15188243405150434
19	20	0.0	0.46	0.11	0.12	0.31	0.15235961696470662
20	21	1.0	0.0	0.0	0.0	0.0	1.3203148889979068e-07
21	22	0.0	0.0	0.0	1.0	0.0	6.253982638286309e-09
22	23	0.0	0.39	0.19	0.0	0.42	0.13479442165153654
23	24	0.0	0.47000000000000003	0.0	0.15	0.38	0.14687671183990478
24	25	0.0	0.55	0.0	0.11	0.34	0.15500802704515068
25	26	0.32	0.68	0.0	0.0	0.0	0.10325092726108684
26	27	0.06	0.55	0.0	0.1	0.29	0.16269865205603282
27	28	0.38	0.0	0.62	0.0	0.0	0.1585233896725882
28	29	0.0	0.0	0.67	0.33	0.0	0.06889780573319731
29	30	0.0	0.0	0.36	0.0	0.64	0.018852335221154065
30	31	0.1	0.56	0.0	0.05	0.29	0.1678368977642286
31	32	0.07	0.54	0.0	0.13	0.26	0.16099481418464334
32	33	0.29	0.01	0.7000000000000001	0.0	0.0	0.14298984252234245
33	34	0.5	0.03	0.44	0.03	0.0	0.1248080024801727
34	35	0.0	0.4	0.0	0.6	0.0	0.03278889619802571
35	36	0.14	0.55	0.0	0.0	0.31	0.16666237067535597
36	37	0.11	0.6	0.0	0.07	0.22	0.16069692830277113
37	38	0.09	0.52	0.0	0.07	0.32	0.16426371140660162
38	39	0.08	0.54	0.0	0.07	0.31	0.1665935091408372
39	40	0.08	0.54	0.0	0.08	0.3	0.16593100086203488
40	41	0.09	0.5700000000000001	0.0	0.0	0.34	0.16910202435566407
41	42	0.0	0.0	0.41000000000000003	0.59	0.0	0.03829436759166386
42	43	0.53	0.47000000000000003	0.0	0.0	0.0	0.06801387830730317
43	44	0.0	0.33	0.67	0.0	0.0	0.05679673942285465
44	45	0.5700000000000001	0.03	0.0	0.4	0.0	0.0016210754345605649
45	46	0.09	0.55	0.03	0.0	0.33	0.168210585534131
46	47	0.1	0.56	0.0	0.0	0.34	0.16734416651013906
47	48	0.11	0.56	0.0	0.01	0.32	0.16731960063294377
48	49	0.1	0.56	0.0	0.02	0.32	0.16699256997307882
49	50	0.1	0.5700000000000001	0.0	0.0	0.33	0.1679442075379515
50	51	0.09	0.56	0.02	0.0	0.33	0.1692778153529732
51	52	0.28	0.0	0.59	0.13	0.0	0.11242081696700076
52	53	0.09	0.55	0.08	0.0	0.28	0.16276015311453124
53	54	0.09	0.56	0.03	0.0	0.32	0.16892462256270208
54	55	0.01	0.58	0.1	0.0	0.31	0.1646934122745173
55	56	0.29	0.13	0.58	0.0	0.0	0.09074742487232494
56	57	0.05	0.58	0.03	0.0	0.34	0.16786712183851699
57	58	0.08	0.56	0.02	0.0	0.34	0.1678801912095573
58	59	0.07	0.55	0.04	0.02	0.32	0.16492911065415275
59	60	0.08	0.5700000000000001	0.02	0.0	0.33	0.16825907484346642
60	61	0.09	0.5700000000000001	0.01	0.0	0.33	0.1694678427661568
61	62	0.09	0.5700000000000001	0.02	0.0	0.32	0.169450681154798
62	63	0.0	0.62	0.0	0.0	0.38	0.15007493822511087
63	64	0.0	0.26	0.19	0.29	0.26	0.0907829181898109
64	65	0.75	0.0	0.25	0.0	0.0	0.08435545471005385
65	66	0.09	0.58	0.02	0.0	0.31	0.16923993717829128
66	67	0.27	0.0	0.01	0.72	0.0	0.0005128975885386616
67	68	0.09	0.56	0.0	0.03	0.32	0.16841094606116483
68	69	0.06	0.56	0.02	0.01	0.35	0.1648475388820492
69	70	0.13	0.55	0.0	0.07	0.25	0.1660432456098664
70	71	0.21	0.44	0.0	0.11	0.24	0.13860299654464456
71	72	0.24	0.46	0.0	0.0	0.3	0.13977766764431604
72	73	0.19	0.4	0.0	0.0	0.41	0.13441684233106535
73	74	0.27	0.5	0.0	0.04	0.19	0.13543143240062933
74	75	0.17	0.44	0.0	0.21	0.18	0.13837697856855674
75	76	0.0	0.12	0.0	0.0	0.88	0.011949135370376536
76	77	0.0	0.53	0.14	0.0	0.33	0.16238232632141483
77	78	0.02	0.56	0.09	0.06	0.27	0.16313852441224683
78	79	0.41000000000000003	0.03	0.25	0.3	0.01	0.04505703401270562
79	80	0.25	0.26	0.09	0.39	0.01	0.05321043797954922
80	81	0.1	0.5700000000000001	0.01	0.0	0.32	0.16802528867666916
81	82	0.03	0.59	0.07	0.05	0.26	0.15880425588017136
82	83	0.1	0.5700000000000001	0.02	0.0	0.31	0.16823919534835086
83	84	0.07	0.5700000000000001	0.05	0.04	0.27	0.16471766660132492
84	85	0.03	0.0	0.67	0.03	0.27	0.07224161801158523
85	86	0.06	0.58	0.02	0.0	0.34	0.1666118671437929
86	87	0.01	0.56	0.1	0.0	0.33	0.16499183514688356
87	88	0.1	0.56	0.01	0.07	0.26	0.16554562124392133
88	89	0.74	0.18	0.0	0.01	0.07	0.009718553989046391
89	90	0.11	0.5700000000000001	0.0	0.0	0.32	0.16730255943938338
90	91	0.08	0.53	0.0	0.05	0.34	0.16433319895488763
91	92	0.1	0.51	0.05	0.0	0.34	0.159746427781969
92	93	0.09	0.58	0.03	0.0	0.3	0.16727136148628877
93	94	0.0	0.44	0.32	0.0	0.24	0.13571845198180346
94	95	0.03	0.5	0.0	0.28	0.19	0.13385390348100096
95	96	0.06	0.5700000000000001	0.0	0.02	0.35	0.1654286709889923
96	97	0.01	0.55	0.09	0.01	0.34	0.1655719556706462
97	98	0.12	0.53	0.0	0.03	0.32	0.16257011619106498
98	99	0.16	0.6	0.04	0.0	0.2	0.15081112616932058
99	100	0.01	0.01	0.0	0.65	0.33	0.0017789948767976786
100	101	0.05	0.53	0.05	0.05	0.32	0.16609715010934864
101	102	0.11	0.59	0.0	0.05	0.25	0.1632155495822687
102	103	0.13	0.5700000000000001	0.0	0.02	0.28	0.16642069778138308
103	104	0.07	0.56	0.03	0.02	0.32	0.1658382644764578
104	105	0.07	0.59	0.02	0.03	0.29	0.16618711142488005
