	Iteration	Ir	Pd	Pt	Rh	Ru	Activity
0	1	0.31	0.2	0.16	0.19	0.14	0.05674791041927434
1	2	0.29	0.13	0.05	0.1	0.43	0.02487051404896832
2	3	0.5	0.02	0.07	0.14	0.27	0.005545236715485838
3	4	0.13	0.02	0.27	0.28	0.3	0.023585697169541273
4	5	0.11	0.02	0.14	0.4	0.33	0.009480059180144895
5	6	0.29	0.21	0.16	0.18	0.16	0.06212417709428183
6	7	0.32	0.2	0.17	0.2	0.11	0.054856221721040196
7	8	0.32	0.19	0.15	0.19	0.15	0.05288952973783296
8	9	0.32	0.24	0.17	0.21	0.06	0.06129045372502909
9	10	0.31	0.21	0.23	0.16	0.09	0.06109333659395577
10	11	0.19	0.36	0.19	0.13	0.13	0.1051090188400467
11	12	0.26	0.27	0.18	0.16	0.13	0.0776740421974983
12	13	0.27	0.35000000000000003	0.09	0.28	0.01	0.07749889152117943
13	14	0.09	0.49	0.23	0.1	0.09	0.12722641075692784
14	15	0.07	0.44	0.48	0.01	0.0	0.07481463530156138
15	16	0.02	0.61	0.08	0.09	0.2	0.1516862358904765
16	17	0.03	0.52	0.23	0.22	0.0	0.10381075327370873
17	18	0.17	0.56	0.2	0.02	0.05	0.11005262153823166
18	19	0.02	0.44	0.19	0.04	0.31	0.14663291327847913
19	20	0.16	0.46	0.28	0.1	0.0	0.09373190066343132
20	21	0.0	0.52	0.06	0.04	0.38	0.15939249107717526
21	22	0.0	0.85	0.02	0.08	0.05	0.06888302667816855
22	23	0.0	0.65	0.15	0.04	0.16	0.1385513726147708
23	24	0.06	0.66	0.0	0.17	0.11	0.13262717065012689
24	25	0.02	0.54	0.12	0.1	0.22	0.15712087804245045
25	26	0.0	0.0	1.0	0.0	0.0	0.06500834284829783
26	27	0.0	0.51	0.04	0.1	0.35	0.1566701163069521
27	28	0.0	0.53	0.1	0.05	0.32	0.1621220456076171
28	29	0.05	0.52	0.05	0.07	0.31	0.1644917237271083
29	30	0.0	0.53	0.09	0.08	0.3	0.162091128287554
30	31	0.13	0.54	0.0	0.07	0.26	0.16542156112277967
31	32	0.0	0.08	0.01	0.9	0.01	0.00022091473743629004
32	33	0.05	0.51	0.08	0.07	0.29	0.16162789273119418
33	34	0.03	0.53	0.07	0.06	0.31	0.1636612491845544
34	35	0.02	0.52	0.08	0.06	0.32	0.16372193088622344
35	36	0.09	0.55	0.0	0.06	0.3	0.1689081847820468
36	37	0.14	0.53	0.0	0.1	0.23	0.1631122676964003
37	38	0.11	0.53	0.0	0.01	0.35	0.16407213161488826
38	39	0.07	0.54	0.05	0.06	0.28	0.16433513864405944
39	40	0.06	0.53	0.05	0.06	0.3	0.1638985908673813
40	41	0.85	0.06	0.08	0.0	0.01	0.019940023323945948
41	42	0.37	0.63	0.0	0.0	0.0	0.09889381554766455
42	43	0.09	0.5700000000000001	0.0	0.05	0.29	0.16949108723663422
43	44	0.33	0.0	0.67	0.0	0.0	0.15388939675579552
44	45	0.02	0.0	0.65	0.33	0.0	0.06446527869778135
45	46	0.12	0.0	0.63	0.0	0.25	0.08875900498239303
46	47	0.43	0.0	0.5700000000000001	0.0	0.0	0.1594189788099626
47	48	0.09	0.6	0.0	0.0	0.31	0.16762915767136438
48	49	0.18	0.08	0.74	0.0	0.0	0.0907732107100529
49	50	0.46	0.0	0.0	0.53	0.01	3.559718368327015e-05
50	51	0.08	0.5700000000000001	0.0	0.04	0.31	0.16796497002265395
51	52	0.1	0.58	0.0	0.04	0.28	0.1675662396349518
