	Iteration	Ir	Pd	Pt	Rh	Ru	Activity
0	1	0.2	0.36	0.04	0.36	0.04	0.08852786147099104
1	2	0.11	0.03	0.17	0.38	0.31	0.014657891155445855
2	3	0.14	0.1	0.5	0.16	0.1	0.0642006280627923
3	4	0.1	0.19	0.04	0.67	0.0	0.014843568988766775
4	5	0.07	0.58	0.06	0.02	0.27	0.16339779156692466
5	6	0.07	0.84	0.09	0.0	0.0	0.06627184558386638
6	7	0.23	0.53	0.0	0.0	0.24	0.14519691334425455
7	8	0.0	0.59	0.07	0.0	0.34	0.16226259146668015
8	9	0.0	0.64	0.0	0.0	0.36	0.14781281752069955
9	10	0.08	0.64	0.2	0.0	0.08	0.11110938894781391
10	11	0.01	0.46	0.01	0.0	0.52	0.1386286519501318
11	12	0.0	0.55	0.05	0.11	0.29	0.1604490805820038
12	13	0.93	0.07	0.0	0.0	0.0	0.0006186479877513466
13	14	0.05	0.55	0.05	0.0	0.35	0.16658604099041285
14	15	0.05	0.55	0.0	0.0	0.4	0.16490509622309724
15	16	0.0	0.0	1.0	0.0	0.0	0.06500834284829783
16	17	0.15	0.6	0.0	0.25	0.0	0.11678640834616577
17	18	0.52	0.48	0.0	0.0	0.0	0.06949149167285928
18	19	0.0	0.49	0.26	0.24	0.01	0.10016567873976667
19	20	0.5700000000000001	0.0	0.43	0.0	0.0	0.14479666875978117
20	21	0.42	0.21	0.36	0.0	0.01	0.06789981533722099
21	22	0.04	0.56	0.04	0.04	0.32	0.16655597636222466
22	23	0.34	0.0	0.0	0.0	0.66	3.2129837563899864e-08
23	24	0.09	0.56	0.02	0.0	0.33	0.1692778153529732
24	25	0.01	0.56	0.05	0.03	0.35	0.16346094815274612
25	26	0.43	0.03	0.54	0.0	0.0	0.13918543461207084
26	27	0.0	0.4	0.6	0.0	0.0	0.06227440710293875
27	28	0.11	0.53	0.0	0.05	0.31	0.1645596217409093
28	29	0.07	0.58	0.03	0.0	0.32	0.1674361561084717
29	30	0.05	0.56	0.04	0.0	0.35	0.16569712667121142
30	31	0.31	0.0	0.6900000000000001	0.0	0.0	0.15257753413896116
31	32	0.45	0.0	0.45	0.1	0.0	0.11692736553031047
32	33	0.11	0.56	0.0	0.0	0.33	0.16709475932165846
33	34	0.08	0.55	0.03	0.02	0.32	0.16585381218401354
34	35	0.0	0.55	0.0	0.45	0.0	0.0638302948144251
35	36	0.09	0.56	0.01	0.0	0.34	0.1691522874751417
36	37	0.0	0.0	0.0	1.0	0.0	6.253982638286309e-09
37	38	0.01	0.0	0.62	0.37	0.0	0.06720791976041676
38	39	0.08	0.56	0.01	0.01	0.34	0.167441610812287
39	40	0.0	0.0	0.63	0.0	0.37	0.06492504652379594
40	41	0.47000000000000003	0.0	0.0	0.53	0.0	3.912853507114374e-05
41	42	0.08	0.56	0.0	0.05	0.31	0.16753885727409623
42	43	0.0	0.52	0.12	0.06	0.3	0.16214390596784126
43	44	0.05	0.58	0.03	0.0	0.34	0.16786712183851699
44	45	0.06	0.48	0.0	0.16	0.3	0.15634630723101312
45	46	0.09	0.58	0.0	0.0	0.33	0.16879345931390746
46	47	0.07	0.53	0.05	0.09	0.26	0.1626837943541701
47	48	0.09	0.5700000000000001	0.0	0.0	0.34	0.16910202435566407
48	49	0.0	0.46	0.21	0.0	0.33	0.15039428817713107
49	50	0.09	0.5700000000000001	0.01	0.0	0.33	0.1694678427661568
50	51	0.07	0.5700000000000001	0.02	0.01	0.33	0.16837159572867616
51	52	0.71	0.0	0.29	0.0	0.0	0.10004347347693505
