	Iteration	Ag	Ir	Pd	Pt	Ru	Activity
0	1	0.21	0.14	0.09	0.51	0.05	0.024955862988634704
1	2	0.1	0.01	0.37	0.12	0.4	0.056190938925917804
2	3	0.12	0.12	0.48	0.14	0.14	0.075516941631774
3	4	0.19	0.37	0.28	0.16	0.0	0.03668693928094392
4	5	0.05	0.21	0.52	0.0	0.22	0.066815676295404
5	6	0.11	0.12	0.58	0.13	0.06	0.09573883718688951
6	7	0.09	0.13	0.5	0.08	0.2	0.07625234749005219
7	8	0.11	0.16	0.46	0.19	0.08	0.06767118242450784
8	9	0.0	0.0	0.7000000000000001	0.0	0.3	0.12715297222470343
9	10	0.29	0.03	0.68	0.0	0.0	0.12874663706798137
10	11	0.08	0.01	0.79	0.12	0.0	0.12960309821225716
11	12	0.2	0.0	0.75	0.0	0.05	0.15166917194062474
12	13	0.48	0.04	0.47000000000000003	0.01	0.0	0.12421027330507628
13	14	0.28	0.01	0.65	0.06	0.0	0.12157287616677918
14	15	0.0	0.1	0.79	0.0	0.11	0.13069045069237953
15	16	0.79	0.0	0.21	0.0	0.0	0.09954982535692208
16	17	0.0	0.79	0.0	0.0	0.21	3.6769667703987294e-08
17	18	0.66	0.34	0.0	0.0	0.0	0.001863180518264088
18	19	0.0	0.0	0.21	0.79	0.0	0.014586717065614672
19	20	0.17	0.0	0.79	0.0	0.04	0.1527361710093476
20	21	0.56	0.0	0.24	0.2	0.0	0.07019924084897995
21	22	0.21	0.0	0.79	0.0	0.0	0.14711982318377387
22	23	0.2	0.0	0.79	0.0	0.01	0.14978760279834338
23	24	0.22	0.0	0.78	0.0	0.0	0.14652167696638355
24	25	0.14	0.0	0.79	0.0	0.07	0.15954613831477404
25	26	0.11	0.0	0.79	0.0	0.1	0.16256843882532493
26	27	0.13	0.0	0.79	0.0	0.08	0.15968618913252844
27	28	0.2	0.04	0.74	0.01	0.01	0.13666235798164444
28	29	0.0	0.42	0.0	0.58	0.0	0.10150928770035324
29	30	0.11	0.01	0.78	0.03	0.07	0.14983489410717876
30	31	0.0	0.0	0.0	0.0	1.0	1.1471375512593308e-14
31	32	0.46	0.0	0.0	0.0	0.54	0.0013092504149509908
32	33	0.0	0.6	0.0	0.4	0.0	0.05788639921350869
33	34	0.01	0.0	0.5	0.49	0.0	0.053306136092272645
34	35	0.33	0.0	0.44	0.0	0.23	0.09788587270646927
35	36	0.79	0.0	0.0	0.21	0.0	0.048636874815654665
36	37	0.01	0.52	0.4	0.03	0.04	0.022598761712044373
37	38	0.09	0.0	0.79	0.0	0.12	0.16166732048268803
38	39	0.09	0.02	0.74	0.04	0.11	0.1400850336519172
39	40	0.21	0.0	0.6900000000000001	0.0	0.1	0.14823947849818156
40	41	0.6	0.0	0.4	0.0	0.0	0.1412652409024122
41	42	0.32	0.15	0.53	0.0	0.0	0.10313031211919564
42	43	0.21	0.0	0.0	0.79	0.0	0.00934921699070176
43	44	0.0	0.33	0.27	0.4	0.0	0.03712919499837233
44	45	0.0	0.24	0.0	0.75	0.01	0.10554216966831191
45	46	0.02	0.1	0.0	0.45	0.43	0.03943653303521941
46	47	0.45	0.2	0.33	0.02	0.0	0.07281976623443974
47	48	0.21	0.47000000000000003	0.0	0.3	0.02	0.025478001818665347
48	49	0.28	0.65	0.02	0.04	0.01	0.0057293564513957295
49	50	0.09	0.41000000000000003	0.02	0.02	0.46	0.003610081667063709
50	51	0.23	0.0	0.43	0.31	0.03	0.07547722236813663
51	52	0.58	0.02	0.0	0.36	0.04	0.033762757261048916
52	53	0.0	0.0	0.62	0.27	0.11	0.08915483300001831
53	54	0.07	0.0	0.79	0.01	0.13	0.1608325525106438
54	55	0.0	0.01	0.79	0.19	0.01	0.12593648514853695
55	56	0.0	0.15	0.71	0.14	0.0	0.0987111525931542
56	57	0.62	0.07	0.28	0.03	0.0	0.09161504265629675
57	58	0.43	0.01	0.41000000000000003	0.15	0.0	0.09901850453652346
58	59	0.01	0.36	0.61	0.01	0.01	0.062313805769883886
59	60	0.0	0.29	0.13	0.58	0.0	0.056622596733016554
60	61	0.79	0.0	0.01	0.01	0.19	0.011805160272255344
61	62	0.2	0.01	0.03	0.21	0.55	0.017478731078632268
62	63	0.5	0.28	0.0	0.21	0.01	0.019827882891463113
63	64	0.39	0.44	0.16	0.01	0.0	0.02342509259471718
64	65	0.02	0.38	0.0	0.28	0.32	0.028671100403036612
65	66	0.17	0.0	0.72	0.0	0.11	0.15260518070676657
66	67	0.13	0.07	0.75	0.02	0.03	0.13713920209736521
67	68	0.05	0.06	0.78	0.0	0.11	0.1427640121565095
68	69	0.09	0.03	0.77	0.03	0.08	0.14380655169041948
69	70	0.19	0.01	0.73	0.02	0.05	0.14395225827415417
70	71	0.0	0.74	0.16	0.06	0.04	0.01133148773551667
71	72	0.0	0.0	0.31	0.39	0.3	0.041808217481445815
72	73	0.0	0.02	0.79	0.07	0.12	0.14461116091073006
73	74	0.06	0.22	0.7000000000000001	0.0	0.02	0.1050844836328512
74	75	0.43	0.0	0.5700000000000001	0.0	0.0	0.1414746487969334
75	76	0.01	0.0	0.0	0.64	0.35	0.05678065550204153
76	77	0.3	0.01	0.21	0.47000000000000003	0.01	0.037217778362684355
77	78	0.36	0.1	0.23	0.29	0.02	0.04800492721297136
78	79	0.29	0.17	0.18	0.0	0.36	0.023090930854067247
79	80	0.04	0.01	0.76	0.0	0.19	0.1509376130393852
80	81	0.2	0.35000000000000003	0.44	0.01	0.0	0.06524305192094548
81	82	0.01	0.0	0.01	0.79	0.19	0.05984670252723271
82	83	0.41000000000000003	0.01	0.0	0.53	0.05	0.022174577652301106
83	84	0.09	0.31	0.0	0.59	0.01	0.05718927609705452
