	Iteration	Ag	Ir	Pd	Pt	Ru	Activity
0	1	0.74	0.02	0.13	0.01	0.1	0.05633656298252848
1	2	0.11	0.24	0.01	0.2	0.44	0.016978377579648835
2	3	0.36	0.54	0.02	0.06	0.02	0.005932087601414974
3	4	0.16	0.0	0.14	0.03	0.67	0.028245811358487354
4	5	0.06	0.5	0.16	0.02	0.26	0.010180998311734014
5	6	0.77	0.0	0.01	0.22	0.0	0.0480038059012359
6	7	0.75	0.0	0.23	0.0	0.02	0.10606765967383135
7	8	0.76	0.0	0.11	0.0	0.13	0.05021678122456664
8	9	0.79	0.0	0.15	0.0	0.06	0.07214427789785424
9	10	0.76	0.0	0.16	0.0	0.08	0.0740087056303208
10	11	0.66	0.0	0.3	0.04	0.0	0.11617015227055752
11	12	0.0	0.0	0.79	0.21	0.0	0.12247480208668109
12	13	0.0	0.0	0.21	0.79	0.0	0.014586717065614672
13	14	0.35000000000000003	0.01	0.0	0.64	0.0	0.013963624377567204
14	15	0.0	0.0	0.5	0.5	0.0	0.05212375819360727
15	16	0.19	0.0	0.79	0.02	0.0	0.14459510635257722
16	17	0.0	0.12	0.75	0.12	0.01	0.10907504935564706
17	18	0.47000000000000003	0.01	0.51	0.01	0.0	0.13683109514130531
18	19	0.0	0.0	0.73	0.27	0.0	0.10366992097175408
19	20	0.0	0.0	0.79	0.12	0.09	0.139311899279146
20	21	0.0	0.0	0.79	0.0	0.21	0.1557692068392384
21	22	0.28	0.0	0.66	0.06	0.0	0.12395525136330707
22	23	0.11	0.0	0.79	0.07	0.03	0.1429628496004868
23	24	0.21	0.0	0.79	0.0	0.0	0.14711982318377387
24	25	0.02	0.01	0.79	0.0	0.18	0.1534238963451948
25	26	0.0	0.0	0.71	0.0	0.29	0.12908957211527144
26	27	0.0	0.79	0.0	0.21	0.0	0.021296119728975146
27	28	0.31	0.23	0.46	0.0	0.0	0.08550922456004924
28	29	0.02	0.35000000000000003	0.05	0.58	0.0	0.07296093980064063
29	30	0.28	0.09	0.36	0.27	0.0	0.06441727112512796
30	31	0.01	0.04	0.0	0.44	0.51	0.037032864725180276
31	32	0.0	0.38	0.33	0.27	0.02	0.03572146664888394
32	33	0.02	0.28	0.62	0.02	0.06	0.0713492515523301
33	34	0.04	0.43	0.53	0.0	0.0	0.0474810267189397
34	35	0.13	0.07	0.79	0.01	0.0	0.1374411965513523
35	36	0.36	0.0	0.4	0.0	0.24	0.09042188100922166
36	37	0.0	0.01	0.39	0.05	0.55	0.06127650660007411
37	38	0.05	0.17	0.01	0.77	0.0	0.05434317132697927
38	39	0.24	0.31	0.01	0.44	0.0	0.02555343826495311
39	40	0.01	0.08	0.79	0.0	0.12	0.13719328007980822
40	41	0.05	0.79	0.0	0.01	0.15	0.0016047427567450138
