	Iteration	Ag	Ir	Pd	Pt	Ru	Activity
0	1	0.69	0.16	0.08	0.06	0.01	0.029224570536728715
1	2	0.28	0.13	0.0	0.37	0.22	0.024068159307273736
2	3	0.01	0.03	0.36	0.24	0.36	0.04636845309192712
3	4	0.32	0.06	0.4	0.04	0.18	0.0791219665507727
4	5	0.02	0.6	0.3	0.0	0.08	0.009547773558891763
5	6	0.26	0.04	0.41000000000000003	0.07	0.22	0.07787798791234236
6	7	0.34	0.07	0.4	0.03	0.16	0.08198575893069905
7	8	0.34	0.05	0.39	0.03	0.19	0.08063185032707418
8	9	0.34	0.08	0.47000000000000003	0.0	0.11	0.09702631704349118
9	10	0.34	0.0	0.35000000000000003	0.0	0.31	0.07032692924666423
10	11	0.19	0.01	0.79	0.01	0.0	0.14467183373768572
11	12	0.32	0.05	0.59	0.04	0.0	0.11567800748920766
12	13	0.23	0.19	0.5700000000000001	0.0	0.01	0.10170440051611493
13	14	0.0	0.0	0.79	0.0	0.21	0.1557692068392384
14	15	0.45	0.04	0.5	0.0	0.01	0.12597327753099855
15	16	0.0	0.18	0.79	0.0	0.03	0.11912509965707799
16	17	0.0	0.0	0.0	0.79	0.21	0.06799881075147676
17	18	0.05	0.0	0.77	0.18	0.0	0.1250819397490251
18	19	0.0	0.0	0.79	0.04	0.17	0.1504641216420551
19	20	0.21	0.0	0.79	0.0	0.0	0.14711982318377387
20	21	0.01	0.3	0.0	0.6900000000000001	0.0	0.10090829795888684
21	22	0.0	0.0	0.73	0.0	0.27	0.1345910365930632
22	23	0.28	0.0	0.0	0.72	0.0	0.01096751943206838
23	24	0.46	0.54	0.0	0.0	0.0	0.00019744530231129425
24	25	0.05	0.0	0.36	0.59	0.0	0.03552889263460526
25	26	0.0	0.6	0.0	0.4	0.0	0.05788639921350869
26	27	0.0	0.0	0.0	0.0	1.0	1.1471375512593308e-14
27	28	0.65	0.01	0.3	0.04	0.0	0.11262116697672139
28	29	0.05	0.0	0.79	0.0	0.16	0.1615745067446328
29	30	0.0	0.33	0.21	0.46	0.0	0.044238422178496335
30	31	0.0	0.79	0.0	0.0	0.21	3.6769667703987294e-08
31	32	0.48	0.0	0.27	0.24	0.01	0.06719875532048987
32	33	0.01	0.11	0.0	0.44	0.44	0.039446166916015164
33	34	0.75	0.0	0.01	0.14	0.1	0.02625370916482721
34	35	0.0	0.35000000000000003	0.62	0.03	0.0	0.062085091679231985
35	36	0.12	0.06	0.74	0.02	0.06	0.13828321068205598
36	37	0.19	0.01	0.75	0.03	0.02	0.14273596857330542
37	38	0.08	0.01	0.78	0.07	0.06	0.14392426373592304
38	39	0.04	0.0	0.77	0.0	0.19	0.15541606986320022
39	40	0.48	0.0	0.48	0.04	0.0	0.1323635062919093
40	41	0.03	0.05	0.79	0.05	0.08	0.14027313238435343
41	42	0.07	0.0	0.79	0.0	0.14	0.16233102537097402
42	43	0.14	0.09	0.77	0.0	0.0	0.13334196044003774
43	44	0.07	0.02	0.76	0.07	0.08	0.13888079433856518
44	45	0.02	0.0	0.79	0.0	0.19	0.15766471696709108
45	46	0.0	0.07	0.59	0.34	0.0	0.07273009699591661
46	47	0.2	0.0	0.43	0.33	0.04	0.0734463214525316
47	48	0.06	0.41000000000000003	0.0	0.1	0.43	0.010611411935235925
48	49	0.08	0.39	0.0	0.52	0.01	0.06156571879528918
49	50	0.21	0.0	0.65	0.0	0.14	0.140911062467758
