  n,     Ir,     Pd,     Pt,     Rh,     Ru,    act,   C**2,      l
 47,0.11000,0.54500,0.00000,0.05000,0.29500,0.16380,0.00425,0.42007
 48,0.45500,0.00000,0.54500,0.00000,0.00000,0.16206,0.00427,0.42105
 48,0.11000,0.54000,0.00000,0.05500,0.29500,0.16392,0.00427,0.42105
 49,0.45500,0.00000,0.54500,0.00000,0.00000,0.16205,0.00429,0.42258
 49,0.11000,0.54000,0.00000,0.05500,0.29500,0.16388,0.00429,0.42258
 50,0.45500,0.00000,0.54500,0.00000,0.00000,0.16200,0.00428,0.42405
 50,0.11000,0.54000,0.00000,0.05500,0.29500,0.16379,0.00428,0.42405
 51,0.45500,0.00000,0.54500,0.00000,0.00000,0.16198,0.00421,0.42124
 51,0.11000,0.54000,0.00000,0.05500,0.29500,0.16371,0.00421,0.42124
 52,0.45500,0.00000,0.54500,0.00000,0.00000,0.16198,0.00420,0.41911
 52,0.11000,0.54000,0.00000,0.06000,0.29000,0.16425,0.00420,0.41911
 53,0.45500,0.00000,0.54500,0.00000,0.00000,0.16201,0.00420,0.42204
 53,0.11000,0.54000,0.00000,0.06000,0.29000,0.16420,0.00420,0.42204
 54,0.45500,0.00000,0.54500,0.00000,0.00000,0.16195,0.00421,0.42489
 54,0.11000,0.54000,0.00000,0.06000,0.29000,0.16414,0.00421,0.42489
 55,0.45500,0.00000,0.54500,0.00000,0.00000,0.16194,0.00425,0.42673
 55,0.11000,0.54000,0.00000,0.06000,0.29000,0.16412,0.00425,0.42673
 56,0.45500,0.00000,0.54500,0.00000,0.00000,0.16194,0.00424,0.42584
 56,0.11000,0.54000,0.00000,0.06000,0.29000,0.16433,0.00424,0.42584
 57,0.45500,0.00000,0.54500,0.00000,0.00000,0.16195,0.00423,0.42677
 57,0.10500,0.54000,0.00000,0.06000,0.29500,0.16436,0.00423,0.42677
 58,0.45500,0.00000,0.54500,0.00000,0.00000,0.16190,0.00430,0.43139
 58,0.10500,0.54000,0.00000,0.06000,0.29500,0.16431,0.00430,0.43139
 59,0.45500,0.00000,0.54500,0.00000,0.00000,0.16185,0.00432,0.43535
 59,0.10500,0.54000,0.00000,0.06000,0.29500,0.16426,0.00432,0.43535
 60,0.43500,0.00000,0.56500,0.00000,0.00000,0.16252,0.00454,0.44193
 60,0.10500,0.54000,0.00000,0.06000,0.29500,0.16421,0.00454,0.44193
 61,0.43500,0.00000,0.56500,0.00000,0.00000,0.16244,0.00460,0.44649
 61,0.11000,0.54000,0.00000,0.06000,0.29000,0.16415,0.00460,0.44649
 62,0.43500,0.00000,0.56500,0.00000,0.00000,0.16244,0.00459,0.44681
 62,0.10500,0.54000,0.00000,0.06000,0.29500,0.16416,0.00459,0.44681
 63,0.43500,0.00000,0.56500,0.00000,0.00000,0.16241,0.00492,0.45263
 63,0.11000,0.54500,0.00000,0.05500,0.29000,0.16396,0.00492,0.45263
 64,0.43500,0.00000,0.56500,0.00000,0.00000,0.16241,0.00483,0.44937
 64,0.11500,0.54500,0.00000,0.05000,0.29000,0.16379,0.00483,0.44937
 65,0.43500,0.00000,0.56500,0.00000,0.00000,0.16223,0.00437,0.43065
 65,0.11000,0.55000,0.00000,0.05000,0.29000,0.16416,0.00437,0.43065
 66,0.43000,0.00000,0.57000,0.00000,0.00000,0.16377,0.00404,0.42128
 66,0.11000,0.55000,0.00000,0.05000,0.29000,0.16421,0.00404,0.42128
 67,0.43000,0.00000,0.57000,0.00000,0.00000,0.16375,0.00408,0.42318
 67,0.11000,0.55000,0.00000,0.05000,0.29000,0.16420,0.00408,0.42318
 68,0.43000,0.00000,0.57000,0.00000,0.00000,0.16354,0.00380,0.40740
 68,0.11000,0.55000,0.00000,0.05000,0.29000,0.16405,0.00380,0.40740
 69,0.43000,0.00000,0.57000,0.00000,0.00000,0.16355,0.00381,0.40817
 69,0.11000,0.55000,0.00000,0.05000,0.29000,0.16401,0.00381,0.40817
 70,0.43500,0.00000,0.56500,0.00000,0.00000,0.16339,0.00336,0.38954
 70,0.11000,0.54500,0.00000,0.05000,0.29500,0.16412,0.00336,0.38954
 71,0.43500,0.00000,0.56500,0.00000,0.00000,0.16336,0.00337,0.39205
 71,0.11000,0.54500,0.00000,0.05000,0.29500,0.16402,0.00337,0.39205
 72,0.43500,0.00000,0.56500,0.00000,0.00000,0.16337,0.00333,0.39198
 72,0.11000,0.54500,0.00000,0.05000,0.29500,0.16401,0.00333,0.39198
 73,0.43500,0.00000,0.56500,0.00000,0.00000,0.16337,0.00333,0.39314
 73,0.11000,0.54500,0.00000,0.05000,0.29500,0.16393,0.00333,0.39314
 74,0.43500,0.00000,0.56500,0.00000,0.00000,0.16336,0.00331,0.38917
 74,0.11000,0.55000,0.00000,0.04000,0.30000,0.16466,0.00331,0.38917
 75,0.43500,0.00000,0.56500,0.00000,0.00000,0.16337,0.00330,0.38908
 75,0.11000,0.55000,0.00000,0.04500,0.29500,0.16464,0.00330,0.38908
 76,0.43500,0.00000,0.56500,0.00000,0.00000,0.16327,0.00332,0.39229
 76,0.11000,0.55000,0.00000,0.04500,0.29500,0.16459,0.00332,0.39229
 77,0.43500,0.00000,0.56500,0.00000,0.00000,0.16327,0.00332,0.38994
 77,0.11000,0.55000,0.00000,0.04000,0.30000,0.16506,0.00332,0.38994
 78,0.43500,0.00000,0.56500,0.00000,0.00000,0.16329,0.00341,0.39674
 78,0.11500,0.55500,0.00000,0.03500,0.29500,0.16423,0.00341,0.39674
 79,0.43500,0.00000,0.56500,0.00000,0.00000,0.16331,0.00342,0.39413
 79,0.11500,0.56000,0.00000,0.03000,0.29500,0.16486,0.00342,0.39413
 79,0.00000,0.00000,0.00000,1.00000,0.00000,0.00005,0.00342,0.39413
 80,0.43500,0.00000,0.56500,0.00000,0.00000,0.16331,0.00342,0.39380
 80,0.11500,0.56000,0.00000,0.03000,0.29500,0.16497,0.00342,0.39380
 80,0.00000,0.00000,0.00000,1.00000,0.00000,0.00005,0.00342,0.39380
 81,0.43500,0.00000,0.56500,0.00000,0.00000,0.16332,0.00344,0.39432
 81,0.11500,0.56000,0.00000,0.03000,0.29500,0.16506,0.00344,0.39432
 81,0.00000,0.00000,0.00000,1.00000,0.00000,0.00004,0.00344,0.39432
 82,0.43500,0.00000,0.56500,0.00000,0.00000,0.16332,0.00347,0.39761
 82,0.11500,0.56000,0.00000,0.03000,0.29500,0.16503,0.00347,0.39761
 82,0.00000,0.00000,0.00000,1.00000,0.00000,0.00003,0.00347,0.39761
 83,0.43000,0.00000,0.57000,0.00000,0.00000,0.16331,0.00348,0.40023
 83,0.11500,0.56000,0.00000,0.03500,0.29000,0.16456,0.00348,0.40023
 84,0.43000,0.00000,0.57000,0.00000,0.00000,0.16332,0.00347,0.39913
 84,0.11500,0.56000,0.00000,0.03500,0.29000,0.16456,0.00347,0.39913
 85,0.43000,0.00000,0.57000,0.00000,0.00000,0.16332,0.00348,0.40012
 85,0.11500,0.55500,0.00000,0.04000,0.29000,0.16454,0.00348,0.40012
 86,0.43000,0.00000,0.57000,0.00000,0.00000,0.16326,0.00348,0.39960
 86,0.11500,0.56000,0.00000,0.03500,0.29000,0.16447,0.00348,0.39960
 87,0.43000,0.00000,0.57000,0.00000,0.00000,0.16332,0.00353,0.40293
 87,0.11500,0.56000,0.00000,0.03500,0.29000,0.16444,0.00353,0.40293
 88,0.43000,0.00000,0.57000,0.00000,0.00000,0.16332,0.00356,0.40484
 88,0.11500,0.56000,0.00000,0.03500,0.29000,0.16422,0.00356,0.40484
 89,0.43000,0.00000,0.57000,0.00000,0.00000,0.16333,0.00358,0.40677
 89,0.11500,0.56000,0.00000,0.03000,0.29500,0.16426,0.00358,0.40677
 90,0.43000,0.00000,0.57000,0.00000,0.00000,0.16333,0.00357,0.40688
 90,0.11500,0.56000,0.00000,0.03000,0.29500,0.16427,0.00357,0.40688
 91,0.43000,0.00000,0.57000,0.00000,0.00000,0.16331,0.00357,0.40550
 91,0.11500,0.56000,0.00000,0.03000,0.29500,0.16425,0.00357,0.40550
 92,0.43000,0.00000,0.57000,0.00000,0.00000,0.16331,0.00356,0.40466
 92,0.11500,0.56000,0.00000,0.03000,0.29500,0.16441,0.00356,0.40466
 93,0.43000,0.00000,0.57000,0.00000,0.00000,0.16329,0.00357,0.40463
 93,0.11500,0.56000,0.00000,0.03000,0.29500,0.16442,0.00357,0.40463
 94,0.43000,0.00000,0.57000,0.00000,0.00000,0.16329,0.00357,0.40494
 94,0.11500,0.56000,0.00000,0.03000,0.29500,0.16437,0.00357,0.40494
 95,0.43500,0.00000,0.56500,0.00000,0.00000,0.16353,0.00366,0.40771
 95,0.11500,0.56000,0.00000,0.03000,0.29500,0.16436,0.00366,0.40771
 96,0.43500,0.00000,0.56500,0.00000,0.00000,0.16350,0.00369,0.41104
 96,0.11500,0.56000,0.00000,0.03000,0.29500,0.16434,0.00369,0.41104
 97,0.43500,0.00000,0.56500,0.00000,0.00000,0.16350,0.00369,0.41145
 97,0.11500,0.56000,0.00000,0.03000,0.29500,0.16434,0.00369,0.41145
 98,0.43500,0.00000,0.56500,0.00000,0.00000,0.16350,0.00366,0.41008
 98,0.12000,0.56000,0.00000,0.03000,0.29000,0.16450,0.00366,0.41008
 99,0.43500,0.00000,0.56500,0.00000,0.00000,0.16351,0.00366,0.40960
 99,0.12000,0.56000,0.00000,0.03000,0.29000,0.16461,0.00366,0.40960
100,0.43500,0.00000,0.56500,0.00000,0.00000,0.16351,0.00367,0.41001
100,0.12000,0.56000,0.00000,0.03000,0.29000,0.16461,0.00367,0.41001
101,0.43500,0.00000,0.56500,0.00000,0.00000,0.16350,0.00367,0.41006
101,0.12000,0.56000,0.00000,0.03000,0.29000,0.16461,0.00367,0.41006
102,0.43500,0.00000,0.56500,0.00000,0.00000,0.16350,0.00367,0.41076
102,0.12000,0.56000,0.00000,0.03500,0.28500,0.16448,0.00367,0.41076
103,0.43500,0.00000,0.56500,0.00000,0.00000,0.16350,0.00372,0.41225
103,0.12000,0.56000,0.00000,0.03500,0.28500,0.16453,0.00372,0.41225
104,0.43500,0.00000,0.56500,0.00000,0.00000,0.16349,0.00376,0.41410
104,0.12000,0.56000,0.00000,0.03500,0.28500,0.16447,0.00376,0.41410
105,0.43500,0.00000,0.56500,0.00000,0.00000,0.16348,0.00377,0.41582
105,0.12000,0.56000,0.00000,0.03500,0.28500,0.16446,0.00377,0.41582
106,0.43500,0.00000,0.56500,0.00000,0.00000,0.16348,0.00377,0.41557
106,0.12000,0.56000,0.00000,0.03500,0.28500,0.16451,0.00377,0.41557
107,0.43500,0.00000,0.56500,0.00000,0.00000,0.16353,0.00374,0.41113
107,0.12000,0.56000,0.00000,0.03500,0.28500,0.16460,0.00374,0.41113
108,0.43500,0.00000,0.56500,0.00000,0.00000,0.16353,0.00374,0.41061
108,0.12000,0.56000,0.00000,0.03500,0.28500,0.16470,0.00374,0.41061
109,0.43500,0.00000,0.56500,0.00000,0.00000,0.16353,0.00375,0.41131
109,0.12000,0.56500,0.00000,0.03000,0.28500,0.16463,0.00375,0.41131
110,0.43500,0.00000,0.56500,0.00000,0.00000,0.16354,0.00376,0.41145
110,0.12000,0.56000,0.00000,0.03500,0.28500,0.16461,0.00376,0.41145
111,0.43500,0.00000,0.56500,0.00000,0.00000,0.16351,0.00383,0.41358
111,0.12000,0.56000,0.00000,0.03500,0.28500,0.16454,0.00383,0.41358
112,0.43500,0.00000,0.56500,0.00000,0.00000,0.16351,0.00381,0.41269
112,0.12000,0.56000,0.00000,0.03500,0.28500,0.16465,0.00381,0.41269
