  n,     Ag,     Ir,     Pd,     Pt,     Ru,    act,   C**2,      l
  2,0.00000,0.00000,0.52500,0.00000,0.47500,0.14605,0.01347,1.23791
  3,0.20000,0.08000,0.49500,0.04000,0.18500,0.12768,0.00602,0.54725
  4,0.17000,0.00000,0.76000,0.00000,0.07000,0.15273,0.00782,0.80346
  5,0.31000,0.00000,0.65500,0.00000,0.03500,0.15455,0.00657,0.77228
  6,0.15000,0.00000,0.70000,0.06500,0.08500,0.15625,0.00532,0.48359
  7,0.17500,0.01500,0.72000,0.00000,0.09000,0.15340,0.00459,0.46962
  8,0.18000,0.01500,0.72000,0.00000,0.08500,0.15342,0.00398,0.46208
  9,0.17000,0.00500,0.72500,0.00000,0.10000,0.15388,0.00377,0.47893
 10,0.17500,0.00000,0.72500,0.00000,0.10000,0.15374,0.00344,0.48214
 11,0.17500,0.02500,0.70000,0.00000,0.10000,0.15421,0.00326,0.47416
 12,0.18000,0.00500,0.71500,0.00000,0.10000,0.15229,0.00365,0.50081
 13,0.18000,0.03000,0.70000,0.00000,0.09000,0.15263,0.00354,0.50740
 14,0.18000,0.03500,0.69000,0.00000,0.09500,0.15368,0.00503,0.48901
 14,0.00000,0.49500,0.00000,0.50500,0.00000,0.14281,0.00503,0.48901
 15,0.17500,0.02500,0.69000,0.02000,0.09000,0.15377,0.00511,0.47703
 15,0.00000,0.53500,0.00000,0.46500,0.00000,0.14441,0.00511,0.47703
 16,0.17500,0.02500,0.69000,0.02000,0.09000,0.15365,0.00493,0.48258
 16,0.00000,0.52000,0.00000,0.48000,0.00000,0.14336,0.00493,0.48258
 17,0.18000,0.01500,0.67500,0.02000,0.11000,0.15404,0.00591,0.46796
 17,0.00000,0.49000,0.00000,0.51000,0.00000,0.14328,0.00591,0.46796
 18,0.17500,0.01500,0.67500,0.02500,0.11000,0.15400,0.00554,0.46349
 18,0.00000,0.49500,0.00000,0.50500,0.00000,0.14315,0.00554,0.46349
 19,0.15500,0.04000,0.72500,0.02000,0.06000,0.15437,0.00477,0.41226
 19,0.15500,0.04000,0.72500,0.02000,0.06000,0.15437,0.00477,0.41226
 19,0.00000,0.50500,0.00000,0.49500,0.00000,0.14332,0.00477,0.41226
 20,0.08500,0.09000,0.64500,0.04500,0.13500,0.15677,0.00467,0.40247
 20,0.00000,0.51000,0.00000,0.49000,0.00000,0.14344,0.00467,0.40247
 20,0.08500,0.09000,0.64500,0.04500,0.13500,0.15677,0.00467,0.40247
 21,0.09500,0.09000,0.65000,0.03500,0.13000,0.15595,0.00474,0.41086
 21,0.00000,0.51000,0.00000,0.49000,0.00000,0.14343,0.00474,0.41086
 22,0.10000,0.09000,0.65500,0.03500,0.12000,0.15663,0.00455,0.40931
 22,0.00000,0.51000,0.00000,0.49000,0.00000,0.14343,0.00455,0.40931
 23,0.10000,0.09000,0.65500,0.03500,0.12000,0.15664,0.00436,0.40470
 23,0.00000,0.52000,0.00000,0.48000,0.00000,0.14369,0.00436,0.40470
 24,0.09000,0.08000,0.64500,0.05500,0.13000,0.15403,0.00459,0.41555
 24,0.09000,0.08000,0.64500,0.05500,0.13000,0.15403,0.00459,0.41555
 24,0.00000,0.51500,0.00000,0.48500,0.00000,0.14366,0.00459,0.41555
 24,0.08500,0.08500,0.64000,0.05500,0.13500,0.15403,0.00459,0.41555
 25,1.00000,0.00000,0.00000,0.00000,0.00000,0.01432,0.00425,0.40850
 25,0.09000,0.08000,0.64500,0.05500,0.13000,0.15422,0.00425,0.40850
 25,0.00000,0.51500,0.00000,0.48500,0.00000,0.14365,0.00425,0.40850
 25,0.08500,0.08500,0.64000,0.05500,0.13500,0.15422,0.00425,0.40850
