  n,     Ir,     Pd,     Pt,     Rh,     Ru,    act,   C**2,      l
  2,1.00000,0.00000,0.00000,0.00000,0.00000,-0.00106,0.00384,0.32387
  2,0.08000,0.29500,0.20000,0.25000,0.17500,0.08184,0.00384,0.32387
  3,0.00000,0.45000,0.33000,0.22000,0.00000,0.11861,0.00859,0.68100
  4,0.00000,0.35500,0.25500,0.33500,0.05500,0.11161,0.00469,0.51656
  5,0.00000,0.43000,0.21500,0.17000,0.18500,0.11987,0.00377,0.35150
  5,0.00000,0.00000,0.00000,1.00000,0.00000,-0.00737,0.00377,0.35150
  6,1.00000,0.00000,0.00000,0.00000,0.00000,-0.00492,0.00601,0.44338
  6,0.00000,0.53000,0.09000,0.12000,0.26000,0.15468,0.00601,0.44338
  7,1.00000,0.00000,0.00000,0.00000,0.00000,-0.00333,0.00486,0.42790
  7,0.00000,0.51000,0.12000,0.10500,0.26500,0.15187,0.00486,0.42790
  8,1.00000,0.00000,0.00000,0.00000,0.00000,-0.00390,0.00447,0.43381
  8,0.00000,0.51000,0.12000,0.10500,0.26500,0.15183,0.00447,0.43381
  9,0.00000,0.56500,0.12500,0.06500,0.24500,0.15670,0.00440,0.42346
 10,0.01500,0.57500,0.12000,0.05000,0.24000,0.15777,0.00426,0.42520
 11,0.04000,0.55000,0.11500,0.06000,0.23500,0.15660,0.00385,0.41747
 11,0.00000,0.00000,0.00000,1.00000,0.00000,-0.01203,0.00385,0.41747
 12,0.05000,0.54500,0.11500,0.06000,0.23000,0.15802,0.00360,0.40360
 12,0.00000,0.00000,0.00000,1.00000,0.00000,-0.01038,0.00360,0.40360
 13,0.05000,0.54500,0.11500,0.06000,0.23000,0.15770,0.00361,0.40755
 13,0.00000,0.00000,0.00000,1.00000,0.00000,-0.01083,0.00361,0.40755
 14,0.04500,0.55000,0.11000,0.06500,0.23000,0.15731,0.00364,0.41174
 14,0.00000,0.00000,0.00000,1.00000,0.00000,-0.01129,0.00364,0.41174
 15,0.04500,0.54500,0.11500,0.05000,0.24500,0.15663,0.00379,0.42269
 16,0.04000,0.55500,0.10500,0.06500,0.23500,0.15634,0.00357,0.41758
 16,0.00000,0.00000,0.00000,1.00000,0.00000,-0.01287,0.00357,0.41758
 17,0.05500,0.55500,0.07000,0.06000,0.26000,0.15892,0.00347,0.38707
 17,0.05500,0.55500,0.07000,0.06000,0.26000,0.15892,0.00347,0.38707
 17,0.00000,0.00000,0.00000,1.00000,0.00000,-0.01075,0.00347,0.38707
 18,0.07500,0.57000,0.03000,0.04000,0.28500,0.16164,0.00370,0.38215
 18,0.00000,0.00000,0.00000,1.00000,0.00000,-0.01127,0.00370,0.38215
 19,0.08000,0.57000,0.02500,0.04000,0.28500,0.16189,0.00371,0.38194
 19,0.00000,0.00000,0.00000,1.00000,0.00000,-0.01130,0.00371,0.38194
 20,0.08500,0.57500,0.01500,0.03500,0.29000,0.16354,0.00378,0.37422
 20,0.00000,0.00000,0.00000,1.00000,0.00000,-0.01038,0.00378,0.37422
 21,0.09000,0.57500,0.01000,0.03500,0.29000,0.16368,0.00379,0.37718
 21,0.00000,0.00000,0.00000,1.00000,0.00000,-0.01102,0.00379,0.37718
 22,0.09000,0.57500,0.01000,0.03500,0.29000,0.16361,0.00377,0.37830
 22,0.00000,0.00000,0.00000,1.00000,0.00000,-0.01123,0.00377,0.37830
 23,0.09500,0.57500,0.00500,0.03500,0.29000,0.16383,0.00379,0.37850
 23,0.00000,0.00000,0.00000,1.00000,0.00000,-0.01134,0.00379,0.37850
 24,0.09000,0.57500,0.01000,0.03500,0.29000,0.16358,0.00375,0.37885
 24,0.00000,0.00000,0.00000,1.00000,0.00000,-0.01131,0.00375,0.37885
 25,0.09500,0.57000,0.01000,0.03500,0.29000,0.16336,0.00374,0.38108
 25,0.00000,0.00000,0.00000,1.00000,0.00000,-0.01172,0.00374,0.38108
 26,0.10500,0.56500,0.00500,0.02000,0.30500,0.16382,0.00387,0.38820
 26,0.00000,0.00000,0.00000,1.00000,0.00000,-0.01311,0.00387,0.38820
 27,0.12000,0.56000,0.00000,0.00000,0.32000,0.16514,0.00415,0.39288
 27,0.00000,0.00000,0.00000,1.00000,0.00000,-0.01407,0.00415,0.39288
 28,0.11000,0.56500,0.00000,0.01000,0.31500,0.16437,0.00392,0.39088
 28,0.00000,0.00000,0.00000,1.00000,0.00000,-0.01340,0.00392,0.39088
 29,0.11000,0.57000,0.00000,0.00500,0.31500,0.16447,0.00392,0.39145
 29,0.00000,0.00000,0.00000,1.00000,0.00000,-0.01352,0.00392,0.39145
 30,0.11000,0.57000,0.00000,0.00500,0.31500,0.16446,0.00393,0.38819
 30,0.00000,0.00000,0.99500,0.00000,0.00500,0.06756,0.00393,0.38819
 30,0.00000,0.00000,0.00000,1.00000,0.00000,-0.01390,0.00393,0.38819
 31,0.11000,0.57000,0.00000,0.00500,0.31500,0.16441,0.00393,0.38857
 31,0.00000,0.00000,0.99500,0.00000,0.00500,0.06756,0.00393,0.38857
 31,0.00000,0.00000,0.00000,1.00000,0.00000,-0.01401,0.00393,0.38857
 32,0.11500,0.57000,0.00000,0.00000,0.31500,0.16477,0.00397,0.38863
 32,0.00000,0.00000,0.99500,0.00000,0.00500,0.06757,0.00397,0.38863
 32,0.00000,0.00000,0.00000,1.00000,0.00000,-0.01378,0.00397,0.38863
 33,0.11500,0.57000,0.00000,0.00000,0.31500,0.16474,0.00396,0.38893
 33,0.00000,0.00000,0.99500,0.00000,0.00500,0.06757,0.00396,0.38893
 33,0.00000,0.00000,0.00000,1.00000,0.00000,-0.01388,0.00396,0.38893
 34,0.11000,0.57000,0.00000,0.00000,0.32000,0.16494,0.00397,0.38866
 34,0.00000,0.00000,0.99500,0.00000,0.00500,0.06758,0.00397,0.38866
 34,0.00000,0.00000,0.00000,1.00000,0.00000,-0.01379,0.00397,0.38866
 35,0.11000,0.57000,0.00000,0.00000,0.32000,0.16513,0.00397,0.38851
 35,0.00000,0.00000,1.00000,0.00000,0.00000,0.06759,0.00397,0.38851
 35,0.00000,0.00000,0.00000,1.00000,0.00000,-0.01377,0.00397,0.38851
 36,0.11000,0.57000,0.00000,0.00000,0.32000,0.16510,0.00377,0.39055
 36,0.00000,0.00000,1.00000,0.00000,0.00000,0.06758,0.00377,0.39055
 36,0.00000,0.00000,0.00000,1.00000,0.00000,-0.01470,0.00377,0.39055
 37,0.36500,0.00000,0.63500,0.00000,0.00000,0.16289,0.00540,0.39418
 37,0.11000,0.57000,0.00000,0.00000,0.32000,0.16519,0.00540,0.39418
 37,0.00000,0.00000,0.00000,1.00000,0.00000,-0.02127,0.00540,0.39418
 38,0.41000,0.00000,0.59000,0.00000,0.00000,0.16421,0.00535,0.40172
 38,0.10500,0.57500,0.00000,0.00000,0.32000,0.16520,0.00535,0.40172
 38,0.00000,0.00000,0.00000,1.00000,0.00000,-0.02414,0.00535,0.40172
 39,0.41000,0.00000,0.59000,0.00000,0.00000,0.16434,0.00571,0.40657
 39,0.10500,0.57000,0.00000,0.00000,0.32500,0.16520,0.00571,0.40657
 39,0.00000,0.00000,0.00000,1.00000,0.00000,-0.02456,0.00571,0.40657
 40,0.40500,0.00000,0.59500,0.00000,0.00000,0.16478,0.00664,0.39763
 40,0.11000,0.57000,0.00000,0.00000,0.32000,0.16527,0.00664,0.39763
 40,0.00000,0.00000,0.00000,1.00000,0.00000,-0.01706,0.00664,0.39763
 41,0.41000,0.00000,0.59000,0.00000,0.00000,0.16531,0.00612,0.39049
 41,0.11000,0.57000,0.00000,0.00000,0.32000,0.16526,0.00612,0.39049
 41,0.00000,0.00000,0.00000,1.00000,0.00000,-0.01518,0.00612,0.39049
 42,0.41000,0.00000,0.59000,0.00000,0.00000,0.16527,0.00557,0.38318
 42,0.11000,0.57000,0.00000,0.00000,0.32000,0.16525,0.00557,0.38318
 42,0.00000,0.00000,0.00000,1.00000,0.00000,-0.01333,0.00557,0.38318
 43,0.41500,0.00000,0.58500,0.00000,0.00000,0.16524,0.00511,0.37616
 43,0.11000,0.57000,0.00000,0.00000,0.32000,0.16524,0.00511,0.37616
 43,0.00000,0.00000,0.00000,1.00000,0.00000,0.00021,0.00511,0.37616
 44,0.41500,0.00000,0.58500,0.00000,0.00000,0.16523,0.00510,0.37674
 44,0.11500,0.57000,0.00000,0.00000,0.31500,0.16517,0.00510,0.37674
 44,0.00000,0.00000,0.00000,1.00000,0.00000,0.00021,0.00510,0.37674
 45,0.41500,0.00000,0.58500,0.00000,0.00000,0.16530,0.00522,0.38310
 45,0.11000,0.57000,0.00000,0.00000,0.32000,0.16518,0.00522,0.38310
 45,0.00000,0.00000,0.00000,1.00000,0.00000,0.00022,0.00522,0.38310
 46,0.41500,0.00000,0.58500,0.00000,0.00000,0.16537,0.00513,0.38595
 46,0.11000,0.57000,0.00000,0.00000,0.32000,0.16517,0.00513,0.38595
 47,0.41500,0.00000,0.58500,0.00000,0.00000,0.16529,0.00510,0.39004
 47,0.11000,0.57000,0.00000,0.00000,0.32000,0.16512,0.00510,0.39004
 47,0.00000,0.00000,0.00000,1.00000,0.00000,0.00032,0.00510,0.39004
 48,0.41500,0.00000,0.58500,0.00000,0.00000,0.16529,0.00510,0.39033
 48,0.11000,0.57000,0.00000,0.00000,0.32000,0.16512,0.00510,0.39033
 48,0.00000,0.00000,0.00000,1.00000,0.00000,0.00032,0.00510,0.39033
 49,0.41500,0.00000,0.58500,0.00000,0.00000,0.16529,0.00506,0.38941
 49,0.10500,0.57000,0.00000,0.00000,0.32500,0.16493,0.00506,0.38941
 49,0.00000,0.00000,0.00000,1.00000,0.00000,0.00032,0.00506,0.38941
 50,0.41500,0.00000,0.58500,0.00000,0.00000,0.16523,0.00506,0.39722
 50,0.10500,0.57000,0.00000,0.00000,0.32500,0.16491,0.00506,0.39722
 50,0.00000,0.00000,0.00000,1.00000,0.00000,0.00033,0.00506,0.39722
 51,0.41500,0.00000,0.58500,0.00000,0.00000,0.16508,0.00492,0.39747
 51,0.11000,0.57000,0.00000,0.00000,0.32000,0.16491,0.00492,0.39747
 51,0.00000,0.00000,0.00000,1.00000,0.00000,0.00033,0.00492,0.39747
 52,0.41500,0.00000,0.58500,0.00000,0.00000,0.16508,0.00492,0.39839
 52,0.11500,0.57000,0.00000,0.00000,0.31500,0.16475,0.00492,0.39839
 52,0.00000,0.00000,0.00000,1.00000,0.00000,0.00032,0.00492,0.39839
 53,0.41500,0.00000,0.58500,0.00000,0.00000,0.16508,0.00489,0.39789
 53,0.11000,0.57000,0.00000,0.00000,0.32000,0.16457,0.00489,0.39789
 53,0.00000,0.00000,0.00000,1.00000,0.00000,0.00033,0.00489,0.39789
 54,0.41500,0.00000,0.58500,0.00000,0.00000,0.16504,0.00467,0.39642
 54,0.11000,0.57000,0.00000,0.00000,0.32000,0.16456,0.00467,0.39642
 54,0.00000,0.00000,0.00000,1.00000,0.00000,0.00030,0.00467,0.39642
 55,0.41500,0.00000,0.58500,0.00000,0.00000,0.16504,0.00466,0.39634
 55,0.11000,0.57000,0.00000,0.00000,0.32000,0.16452,0.00466,0.39634
 55,0.00000,0.00000,0.00000,1.00000,0.00000,0.00030,0.00466,0.39634
