  n,     Ir,     Pd,     Pt,     Rh,     Ru,    act,   C**2,      l
  2,0.07500,0.37000,0.00000,0.29000,0.26500,0.10858,0.00654,0.35757
  2,0.00000,0.00000,1.00000,0.00000,0.00000,-0.00170,0.00654,0.35757
  3,0.00000,0.61000,0.00000,0.14000,0.25000,0.14260,0.01138,0.73203
  4,0.00000,0.48500,0.00000,0.12500,0.39000,0.14794,0.00694,0.50426
  5,0.00000,0.48500,0.00000,0.13500,0.38000,0.14647,0.00572,0.51251
  6,0.11000,0.56000,0.00000,0.00000,0.33000,0.16243,0.00575,0.46800
  7,0.08000,0.56500,0.03000,0.00000,0.32500,0.16298,0.00523,0.46857
  8,0.08500,0.56500,0.03000,0.00000,0.32000,0.16283,0.00482,0.48056
  9,0.05500,0.60000,0.02000,0.00000,0.32500,0.16374,0.00479,0.49392
 10,0.06500,0.59500,0.01500,0.00000,0.32500,0.16336,0.00474,0.48943
 10,0.00000,0.02500,0.97500,0.00000,0.00000,0.06567,0.00474,0.48943
 11,0.06000,0.59500,0.02000,0.00000,0.32500,0.16366,0.00434,0.48812
 11,0.00000,0.00000,1.00000,0.00000,0.00000,0.06567,0.00434,0.48812
 12,0.06000,0.59500,0.02000,0.00000,0.32500,0.16344,0.00404,0.49141
 12,0.00000,0.00000,0.99000,0.00000,0.01000,0.06559,0.00404,0.49141
 13,0.06500,0.58500,0.02500,0.00000,0.32500,0.16304,0.00383,0.48309
 13,0.00000,0.00000,0.95500,0.00000,0.04500,0.06587,0.00383,0.48309
 14,0.06500,0.58500,0.02500,0.00000,0.32500,0.16298,0.00343,0.47557
 14,0.00000,0.00000,0.95500,0.00000,0.04500,0.06588,0.00343,0.47557
 15,0.06500,0.58500,0.02500,0.00000,0.32500,0.16293,0.00309,0.46755
 15,0.00000,0.00000,0.95000,0.00000,0.05000,0.06591,0.00309,0.46755
 16,0.08000,0.56000,0.04500,0.00000,0.31500,0.16159,0.00280,0.44664
 16,0.00000,0.00000,0.95500,0.00000,0.04500,0.06587,0.00280,0.44664
 17,0.08500,0.56000,0.04000,0.00000,0.31500,0.16172,0.00285,0.44361
 17,0.00000,0.00000,0.79000,0.21000,0.00000,0.07612,0.00285,0.44361
 18,0.08000,0.56000,0.04000,0.00000,0.32000,0.16110,0.00285,0.45325
 18,0.00000,0.00000,0.79000,0.21000,0.00000,0.07583,0.00285,0.45325
 19,0.08000,0.56000,0.04000,0.00500,0.31500,0.16101,0.00271,0.45255
 19,0.00000,0.00000,0.79000,0.21000,0.00000,0.07648,0.00271,0.45255
 20,0.08500,0.56000,0.03500,0.00500,0.31500,0.16082,0.00269,0.45764
 20,0.00000,0.00000,0.78500,0.21500,0.00000,0.07635,0.00269,0.45764
 21,0.09000,0.55500,0.02000,0.02500,0.31000,0.16220,0.00260,0.44136
 21,0.00000,0.00000,0.78500,0.21000,0.00500,0.07688,0.00260,0.44136
 22,0.09000,0.55500,0.02000,0.02500,0.31000,0.16219,0.00247,0.44061
 22,0.00000,0.00000,0.78500,0.21000,0.00500,0.07687,0.00247,0.44061
 23,0.08500,0.55500,0.02500,0.02500,0.31000,0.16224,0.00247,0.43838
 23,0.00000,0.00000,0.78500,0.21500,0.00000,0.07490,0.00247,0.43838
 24,0.08500,0.55500,0.02500,0.02500,0.31000,0.16225,0.00235,0.43815
 24,0.00000,0.00000,0.78500,0.21500,0.00000,0.07491,0.00235,0.43815
 25,0.30500,0.00000,0.69500,0.00000,0.00000,0.15529,0.00327,0.40113
 25,0.08500,0.55000,0.02500,0.03000,0.31000,0.16309,0.00327,0.40113
 26,0.37500,0.00000,0.62500,0.00000,0.00000,0.15658,0.00332,0.40000
 26,0.08500,0.55000,0.02500,0.03000,0.31000,0.16305,0.00332,0.40000
 27,0.41000,0.00000,0.59000,0.00000,0.00000,0.16243,0.00353,0.40696
 27,0.08500,0.55000,0.02000,0.03000,0.31500,0.16296,0.00353,0.40696
 28,0.41500,0.00000,0.58500,0.00000,0.00000,0.16257,0.00453,0.41096
 28,0.09500,0.55500,0.01000,0.03000,0.31000,0.16303,0.00453,0.41096
 29,0.41500,0.00000,0.58500,0.00000,0.00000,0.16237,0.00460,0.41807
 29,0.09500,0.55500,0.01000,0.03000,0.31000,0.16297,0.00460,0.41807
 30,0.41500,0.00000,0.58500,0.00000,0.00000,0.16232,0.00448,0.41945
 30,0.09500,0.55500,0.01000,0.03000,0.31000,0.16294,0.00448,0.41945
 31,0.41500,0.00000,0.58500,0.00000,0.00000,0.16229,0.00446,0.42208
 31,0.09500,0.55500,0.01000,0.03500,0.30500,0.16297,0.00446,0.42208
 32,0.41500,0.00000,0.58500,0.00000,0.00000,0.16229,0.00464,0.42944
 32,0.10500,0.56000,0.00000,0.03000,0.30500,0.16275,0.00464,0.42944
 33,0.41500,0.00000,0.58500,0.00000,0.00000,0.16206,0.00477,0.43565
 33,0.10500,0.56000,0.00000,0.03000,0.30500,0.16265,0.00477,0.43565
 34,0.41500,0.00000,0.58500,0.00000,0.00000,0.16203,0.00480,0.44083
 34,0.10500,0.56500,0.00000,0.02500,0.30500,0.16264,0.00480,0.44083
 35,0.41500,0.00000,0.58500,0.00000,0.00000,0.16189,0.00473,0.44321
 35,0.10500,0.56500,0.00000,0.02500,0.30500,0.16260,0.00473,0.44321
 35,0.00000,0.00000,0.00000,1.00000,0.00000,0.00025,0.00473,0.44321
 36,0.42000,0.00000,0.58000,0.00000,0.00000,0.16196,0.00476,0.43242
 36,0.11000,0.57000,0.00000,0.02000,0.30000,0.16330,0.00476,0.43242
 36,0.00000,0.00000,0.00000,1.00000,0.00000,0.00031,0.00476,0.43242
 37,0.42000,0.00000,0.58000,0.00000,0.00000,0.16191,0.00480,0.43770
 37,0.11000,0.57000,0.00000,0.02000,0.30000,0.16329,0.00480,0.43770
 37,0.00000,0.00000,0.00000,1.00000,0.00000,0.00032,0.00480,0.43770
 38,0.42000,0.00000,0.58000,0.00000,0.00000,0.16181,0.00480,0.44117
 38,0.11000,0.56500,0.00000,0.02000,0.30500,0.16333,0.00480,0.44117
 38,0.00000,0.00000,0.00000,1.00000,0.00000,0.00032,0.00480,0.44117
 39,0.42000,0.00000,0.58000,0.00000,0.00000,0.16166,0.00491,0.44455
 39,0.11000,0.56500,0.00000,0.02500,0.30000,0.16323,0.00491,0.44455
 40,0.42000,0.00000,0.58000,0.00000,0.00000,0.16146,0.00477,0.44371
 40,0.10500,0.56500,0.00000,0.02500,0.30500,0.16314,0.00477,0.44371
 41,0.42000,0.00000,0.58000,0.00000,0.00000,0.16145,0.00474,0.44387
 41,0.10500,0.56500,0.00000,0.02500,0.30500,0.16278,0.00474,0.44387
 42,0.42000,0.00000,0.58000,0.00000,0.00000,0.16141,0.00478,0.44775
 42,0.10500,0.56500,0.00000,0.02500,0.30500,0.16277,0.00478,0.44775
 43,0.42500,0.00000,0.57500,0.00000,0.00000,0.16115,0.00491,0.45318
 43,0.10500,0.56500,0.00000,0.02500,0.30500,0.16276,0.00491,0.45318
 44,0.42500,0.00000,0.57500,0.00000,0.00000,0.16116,0.00480,0.44792
 44,0.10500,0.56000,0.00000,0.04000,0.29500,0.16383,0.00480,0.44792
 45,0.42500,0.00000,0.57500,0.00000,0.00000,0.16121,0.00495,0.45246
 45,0.10500,0.56000,0.00000,0.04000,0.29500,0.16375,0.00495,0.45246
 46,0.42500,0.00000,0.57500,0.00000,0.00000,0.16121,0.00494,0.45194
 46,0.10500,0.56000,0.00000,0.04500,0.29000,0.16392,0.00494,0.45194
 47,0.42500,0.00000,0.57500,0.00000,0.00000,0.16119,0.00486,0.44981
 47,0.11000,0.56000,0.00000,0.04500,0.28500,0.16396,0.00486,0.44981
 48,0.42500,0.00000,0.57500,0.00000,0.00000,0.16109,0.00482,0.45216
 48,0.10500,0.56000,0.00000,0.04500,0.29000,0.16395,0.00482,0.45216
 49,0.42500,0.00000,0.57500,0.00000,0.00000,0.16101,0.00478,0.45464
 49,0.10500,0.56000,0.00000,0.04500,0.29000,0.16391,0.00478,0.45464
 50,0.42500,0.00000,0.57500,0.00000,0.00000,0.16106,0.00473,0.45278
 50,0.11000,0.56000,0.00000,0.04500,0.28500,0.16383,0.00473,0.45278
 51,0.42500,0.00000,0.57500,0.00000,0.00000,0.16097,0.00472,0.45531
 51,0.10500,0.56000,0.00000,0.04500,0.29000,0.16372,0.00472,0.45531
 52,0.42500,0.00000,0.57500,0.00000,0.00000,0.16101,0.00470,0.45741
 52,0.10500,0.56000,0.00000,0.04500,0.29000,0.16372,0.00470,0.45741
 53,0.42500,0.00000,0.57500,0.00000,0.00000,0.16178,0.00497,0.44981
 53,0.10500,0.56000,0.00000,0.04500,0.29000,0.16386,0.00497,0.44981
 53,0.00000,0.00000,0.00000,1.00000,0.00000,0.00023,0.00497,0.44981
 54,0.42500,0.00000,0.57500,0.00000,0.00000,0.16178,0.00497,0.45016
 54,0.10500,0.56000,0.00000,0.04500,0.29000,0.16403,0.00497,0.45016
 54,0.00000,0.00000,0.00000,1.00000,0.00000,0.00023,0.00497,0.45016
 55,0.42500,0.00000,0.57500,0.00000,0.00000,0.16174,0.00494,0.44851
 55,0.10500,0.55500,0.00000,0.04500,0.29500,0.16417,0.00494,0.44851
 55,0.00000,0.00000,0.00000,1.00000,0.00000,0.00022,0.00494,0.44851
 56,0.42500,0.00000,0.57500,0.00000,0.00000,0.16171,0.00491,0.45046
 56,0.10500,0.55500,0.00000,0.04500,0.29500,0.16417,0.00491,0.45046
 57,0.42500,0.00000,0.57500,0.00000,0.00000,0.16171,0.00495,0.45202
 57,0.10500,0.55500,0.00000,0.04500,0.29500,0.16394,0.00495,0.45202
 58,0.42500,0.00000,0.57500,0.00000,0.00000,0.16171,0.00499,0.45379
 58,0.10500,0.55500,0.00000,0.04500,0.29500,0.16394,0.00499,0.45379
 59,0.42500,0.00000,0.57500,0.00000,0.00000,0.16171,0.00502,0.45457
 59,0.10500,0.56000,0.00000,0.04000,0.29500,0.16407,0.00502,0.45457
 60,0.42500,0.00000,0.57500,0.00000,0.00000,0.16170,0.00503,0.45464
 60,0.10500,0.56000,0.00000,0.04500,0.29000,0.16396,0.00503,0.45464
 61,0.42500,0.00000,0.57500,0.00000,0.00000,0.16149,0.00496,0.44830
 61,0.10500,0.55500,0.00000,0.04500,0.29500,0.16387,0.00496,0.44830
 62,0.42500,0.00000,0.57500,0.00000,0.00000,0.16148,0.00491,0.44680
 62,0.11000,0.55500,0.00000,0.04500,0.29000,0.16410,0.00491,0.44680
 63,0.42500,0.00000,0.57500,0.00000,0.00000,0.16150,0.00498,0.45069
 63,0.11000,0.55500,0.00000,0.04500,0.29000,0.16409,0.00498,0.45069
 64,0.42500,0.00000,0.57500,0.00000,0.00000,0.16263,0.00520,0.45007
 64,0.11000,0.55500,0.00000,0.04500,0.29000,0.16411,0.00520,0.45007
 65,0.42500,0.00000,0.57500,0.00000,0.00000,0.16262,0.00530,0.45152
 65,0.11000,0.56000,0.00000,0.04000,0.29000,0.16451,0.00530,0.45152
 66,0.42500,0.00000,0.57500,0.00000,0.00000,0.16262,0.00532,0.45187
 66,0.11000,0.56000,0.00000,0.04000,0.29000,0.16468,0.00532,0.45187
 67,0.42500,0.00000,0.57500,0.00000,0.00000,0.16262,0.00538,0.45267
 67,0.11000,0.56500,0.00000,0.04000,0.28500,0.16487,0.00538,0.45267
 68,0.42500,0.00000,0.57500,0.00000,0.00000,0.16263,0.00554,0.45647
 68,0.11000,0.57000,0.00000,0.03000,0.29000,0.16450,0.00554,0.45647
 69,0.42500,0.00000,0.57500,0.00000,0.00000,0.16264,0.00551,0.45584
 69,0.11000,0.57000,0.00000,0.04000,0.28000,0.16389,0.00551,0.45584
 70,0.42500,0.00000,0.57500,0.00000,0.00000,0.16265,0.00540,0.45384
 70,0.11000,0.56500,0.00000,0.04000,0.28500,0.16393,0.00540,0.45384
 71,0.42500,0.00000,0.57500,0.00000,0.00000,0.16260,0.00550,0.45807
 71,0.11000,0.56500,0.00000,0.04000,0.28500,0.16393,0.00550,0.45807
 72,0.42500,0.00000,0.57500,0.00000,0.00000,0.16260,0.00550,0.45867
 72,0.11000,0.56500,0.00000,0.04000,0.28500,0.16389,0.00550,0.45867
 73,0.42500,0.00000,0.57500,0.00000,0.00000,0.16261,0.00561,0.46057
 73,0.11000,0.56500,0.00000,0.04000,0.28500,0.16388,0.00561,0.46057
 74,0.42500,0.00000,0.57500,0.00000,0.00000,0.16263,0.00577,0.46484
 74,0.11000,0.56500,0.00000,0.04000,0.28500,0.16381,0.00577,0.46484
 75,0.42500,0.00000,0.57500,0.00000,0.00000,0.16263,0.00581,0.46574
 75,0.11000,0.56500,0.00000,0.04000,0.28500,0.16399,0.00581,0.46574
 76,0.42500,0.00000,0.57500,0.00000,0.00000,0.16263,0.00585,0.46889
