# features, adsorption energy relative to Pt(111) (eV), OH.db row id, slab.db row id
1,0,0,0,0,4,0,2,0,0,1,0,1,1,0,1,0,0,0,2,-0.376736,1,124
1,0,0,0,0,2,2,0,2,0,1,0,1,1,0,0,0,1,2,0,-0.568611,2,4
0,0,0,0,1,0,2,2,2,0,1,1,1,0,0,1,0,0,2,0,-0.768737,3,126
0,0,0,0,1,0,0,4,2,0,0,0,1,1,1,0,1,2,0,0,-0.667310,4,138
0,0,0,0,1,0,2,2,2,0,1,0,2,0,0,0,0,2,0,1,-0.791916,5,1
0,0,0,1,0,0,0,4,2,0,1,0,0,1,1,0,2,0,0,1,-0.290712,6,139
0,0,0,1,0,0,4,0,2,0,0,0,0,1,2,1,0,0,0,2,-0.343659,7,137
1,0,0,0,0,2,0,2,2,0,1,0,1,1,0,0,2,0,0,1,-0.496882,8,130
1,0,0,0,0,2,2,0,2,0,1,0,0,2,0,0,0,0,0,3,-0.509178,9,133
0,0,0,0,1,0,2,2,2,0,1,0,1,1,0,1,0,0,0,2,-0.730545,10,135
0,0,0,0,1,0,0,2,4,0,1,2,0,0,0,0,3,0,0,0,-0.709018,11,143
0,0,0,1,0,0,0,2,2,2,1,1,1,0,0,1,0,0,2,0,-0.328728,12,2
1,0,0,0,0,2,2,0,2,0,0,2,1,0,0,0,0,2,0,1,-0.614979,13,6
1,0,0,0,0,0,2,2,2,0,1,0,0,2,0,0,3,0,0,0,-0.653322,14,160
0,0,0,1,0,2,0,4,0,0,1,0,1,1,0,0,0,0,3,0,-0.162467,15,174
1,0,0,0,0,0,4,0,0,2,0,0,2,1,0,0,2,0,1,0,-0.659720,17,8
1,0,0,0,0,0,0,2,4,0,0,0,2,0,1,0,0,0,0,3,-0.491677,18,62
1,0,0,0,0,0,2,2,2,0,1,0,2,0,0,0,3,0,0,0,-0.677236,20,166
1,0,0,0,0,2,0,2,0,2,1,1,0,1,0,0,0,1,0,2,-0.357191,21,134
0,0,1,0,0,0,4,0,2,0,1,0,0,0,2,0,0,1,0,2,-0.182521,23,170
0,0,0,0,1,2,2,0,2,0,1,1,0,0,1,0,2,0,1,0,-0.727002,24,3
0,0,0,1,0,0,4,2,0,0,0,0,1,1,1,0,0,3,0,0,-0.416994,25,165
1,0,0,0,0,2,4,0,0,0,1,0,1,1,0,0,0,1,2,0,-0.575562,26,149
1,0,0,0,0,2,2,0,2,0,1,0,1,1,0,0,3,0,0,0,-0.641811,27,22
0,0,0,0,1,0,2,2,0,2,2,0,1,0,0,0,3,0,0,0,-0.837067,28,125
0,0,0,0,1,0,2,2,0,2,0,1,1,1,0,0,3,0,0,0,-0.828434,29,127
0,0,0,0,1,0,2,2,2,0,0,0,2,0,1,1,0,0,2,0,-0.752961,30,5
0,0,0,0,1,0,2,2,2,0,0,1,1,1,0,3,0,0,0,0,-0.714355,31,136
1,0,0,0,0,4,0,2,0,0,1,0,1,1,0,0,2,0,0,1,-0.466597,32,123
0,0,0,0,1,0,2,2,2,0,0,0,1,1,1,0,0,0,0,3,-0.753626,33,30
0,0,0,0,1,0,2,0,4,0,0,1,2,0,0,0,0,2,1,0,-0.847851,34,207
1,0,0,0,0,2,0,0,4,0,0,1,1,1,0,0,3,0,0,0,-0.546794,35,12
0,0,0,1,0,0,2,2,2,0,1,0,1,1,0,2,0,0,0,1,-0.254844,36,51
0,0,0,0,1,2,2,0,2,0,0,0,1,2,0,2,0,0,1,0,-0.711607,37,158
1,0,0,0,0,0,2,2,0,2,0,0,0,3,0,2,0,1,0,0,-0.567930,38,36
