  n,     Ag,     Ir,     Pd,     Pt,     Ru,    act,   C**2,      l
 75,0.00000,0.10000,0.63500,0.00000,0.26500,0.15853,0.00347,0.57021
 76,0.00000,0.10000,0.63500,0.00000,0.26500,0.15854,0.00347,0.57014
 77,0.00000,0.10000,0.63500,0.00000,0.26500,0.15855,0.00344,0.56958
 78,0.00000,0.10000,0.63500,0.00000,0.26500,0.15843,0.00347,0.57229
 79,0.00000,0.10000,0.63500,0.00000,0.26500,0.15845,0.00348,0.57226
 80,0.00000,0.10000,0.63500,0.00000,0.26500,0.15849,0.00336,0.56825
 81,0.00000,0.10000,0.63500,0.00000,0.26500,0.15848,0.00340,0.56997
 82,0.00000,0.10000,0.63500,0.00000,0.26500,0.15848,0.00338,0.56929
 83,0.00000,0.10000,0.63500,0.00000,0.26500,0.15844,0.00336,0.56925
 84,0.00000,0.10000,0.63500,0.00000,0.26500,0.15841,0.00336,0.56930
 85,0.00000,0.10000,0.63500,0.00000,0.26500,0.15846,0.00337,0.56938
 86,0.00000,0.10000,0.63500,0.00000,0.26500,0.15853,0.00337,0.56818
 87,0.00000,0.10000,0.63500,0.00000,0.26500,0.15847,0.00335,0.56803
 88,0.00000,0.10000,0.63500,0.00000,0.26500,0.15846,0.00335,0.56803
 89,0.00000,0.10000,0.63500,0.00000,0.26500,0.15848,0.00330,0.56640
 90,0.00000,0.10000,0.63500,0.00000,0.26500,0.15848,0.00331,0.56682
 91,0.00000,0.10000,0.63500,0.00000,0.26500,0.15847,0.00337,0.56968
 92,0.00000,0.10000,0.63500,0.00000,0.26500,0.15850,0.00338,0.56961
 93,0.00000,0.10000,0.63500,0.00000,0.26500,0.15858,0.00338,0.56866
 94,0.00000,0.10000,0.63000,0.00000,0.27000,0.15861,0.00339,0.56852
 95,0.00000,0.10000,0.63500,0.00000,0.26500,0.15852,0.00336,0.56863
 96,0.00000,0.10000,0.63500,0.00000,0.26500,0.15852,0.00336,0.56863
 97,0.00000,0.10000,0.63500,0.00000,0.26500,0.15859,0.00339,0.56873
 98,0.00000,0.10000,0.63500,0.00000,0.26500,0.15859,0.00339,0.56879
 99,0.00000,0.10000,0.63500,0.00000,0.26500,0.15856,0.00339,0.56933
100,0.00000,0.10000,0.63500,0.00000,0.26500,0.15854,0.00339,0.56949
101,0.00000,0.10000,0.63500,0.00000,0.26500,0.15860,0.00339,0.56885
102,0.00000,0.10000,0.63500,0.00000,0.26500,0.15857,0.00339,0.56924
103,0.00000,0.10000,0.63500,0.00000,0.26500,0.15851,0.00338,0.56941
104,0.00000,0.10000,0.63500,0.00000,0.26500,0.15848,0.00338,0.56978
105,0.00000,0.10000,0.63500,0.00000,0.26500,0.15849,0.00334,0.56854
106,0.00000,0.10000,0.63500,0.00000,0.26500,0.15846,0.00334,0.56903
107,0.00000,0.10000,0.63500,0.00000,0.26500,0.15845,0.00336,0.56971
108,0.00000,0.10000,0.63500,0.00000,0.26500,0.15846,0.00336,0.56972
109,0.00000,0.10000,0.63500,0.00000,0.26500,0.15846,0.00336,0.56972
110,0.00000,0.10000,0.63500,0.00000,0.26500,0.15850,0.00337,0.56974
111,0.00000,0.10000,0.63500,0.00000,0.26500,0.15850,0.00337,0.56975
112,0.00000,0.10000,0.63500,0.00000,0.26500,0.15853,0.00338,0.56990
113,0.00000,0.10000,0.63500,0.00000,0.26500,0.15854,0.00328,0.56818
114,0.00000,0.10000,0.63500,0.00000,0.26500,0.15856,0.00328,0.56783
115,0.00000,0.10000,0.63500,0.00000,0.26500,0.15858,0.00328,0.56761
116,0.00000,0.10000,0.63500,0.00000,0.26500,0.15852,0.00327,0.56795
117,0.00000,0.10000,0.63500,0.00000,0.26500,0.15847,0.00326,0.56812
118,0.00000,0.10000,0.63500,0.00000,0.26500,0.15851,0.00326,0.56750
119,0.00000,0.10000,0.63500,0.00000,0.26500,0.15853,0.00326,0.56712
120,0.00000,0.10000,0.63500,0.00000,0.26500,0.15858,0.00327,0.56710
121,0.00000,0.10000,0.63500,0.00000,0.26500,0.15864,0.00326,0.56603
122,0.00000,0.10000,0.63500,0.00000,0.26500,0.15858,0.00327,0.56699
123,0.00000,0.10000,0.63500,0.00000,0.26500,0.15864,0.00328,0.56667
124,0.00000,0.10000,0.63500,0.00000,0.26500,0.15864,0.00328,0.56670
125,0.00000,0.10000,0.63500,0.00000,0.26500,0.15861,0.00327,0.56658
126,0.00000,0.10000,0.63500,0.00000,0.26500,0.15859,0.00328,0.56698
127,0.00000,0.10000,0.63500,0.00000,0.26500,0.15861,0.00328,0.56693
128,0.00000,0.10000,0.63500,0.00000,0.26500,0.15862,0.00329,0.56696
129,0.00000,0.10000,0.63500,0.00000,0.26500,0.15857,0.00328,0.56739
130,0.00000,0.10000,0.63500,0.00000,0.26500,0.15860,0.00329,0.56748
131,0.00000,0.10000,0.63500,0.00000,0.26500,0.15864,0.00329,0.56691
132,0.00000,0.09500,0.64000,0.00000,0.26500,0.15870,0.00330,0.56685
133,0.00000,0.09500,0.64000,0.00000,0.26500,0.15877,0.00330,0.56568
134,0.00000,0.09500,0.64000,0.00000,0.26500,0.15879,0.00330,0.56558
135,0.00000,0.09500,0.64000,0.00000,0.26500,0.15882,0.00330,0.56548
136,0.00000,0.09000,0.64500,0.00000,0.26500,0.15889,0.00330,0.56444
137,0.00000,0.09000,0.65000,0.00000,0.26000,0.15900,0.00331,0.56294
138,0.00000,0.09000,0.65000,0.00000,0.26000,0.15900,0.00301,0.54818
139,0.00000,0.09000,0.65000,0.00000,0.26000,0.15896,0.00300,0.55662
140,0.00000,0.09000,0.65000,0.00000,0.26000,0.15899,0.00300,0.55641
141,0.00000,0.09500,0.64000,0.00000,0.26500,0.15884,0.00300,0.55760
142,0.00000,0.09000,0.64500,0.00000,0.26500,0.15891,0.00300,0.55697
143,0.00000,0.09000,0.64500,0.00000,0.26500,0.15891,0.00300,0.55700
144,0.00000,0.09500,0.64000,0.00000,0.26500,0.15884,0.00300,0.55738
145,0.00000,0.09500,0.64000,0.00000,0.26500,0.15884,0.00300,0.55741
146,0.00000,0.09500,0.64000,0.00000,0.26500,0.15886,0.00300,0.55720
147,0.00000,0.09500,0.64000,0.00000,0.26500,0.15887,0.00300,0.55722
148,0.00000,0.09500,0.64000,0.00000,0.26500,0.15883,0.00300,0.55719
149,0.00000,0.09500,0.64000,0.00000,0.26500,0.15884,0.00300,0.55713
