     Ag,     Ir,     Pd,     Pt,     Ru, activity
0.40063,0.21615,0.23399,0.05463,0.09460,0.0785090
0.24644,0.15737,0.22405,0.20984,0.16229,0.0819384
0.00142,0.00100,0.00070,0.99226,0.00463,0.0400195
0.00449,0.00053,0.08541,0.00239,0.90718,0.0002102
0.01179,0.52350,0.24344,0.22095,0.00032,0.0722457
0.15586,0.01644,0.60556,0.21805,0.00410,0.1323560
0.00383,0.00055,0.99119,0.00186,0.00258,0.0668449
0.00449,0.00308,0.55935,0.43129,0.00178,0.0894436
0.19773,0.17242,0.59287,0.03452,0.00247,0.1402387
0.36278,0.00076,0.63157,0.00242,0.00247,0.1290013
0.14482,0.04533,0.59355,0.00469,0.21161,0.1439667
0.00112,0.23851,0.56600,0.00029,0.19408,0.1428921
0.00234,0.07880,0.58878,0.10612,0.22396,0.1511144
0.00185,0.00473,0.60742,0.00299,0.38301,0.1394150
0.00115,0.00112,0.50197,0.17507,0.32069,0.1372757
0.00186,0.19725,0.44720,0.00313,0.35056,0.1114720
0.00406,0.27875,0.63775,0.07598,0.00347,0.1198549
0.38328,0.00499,0.40987,0.19705,0.00482,0.1053540
0.00275,0.98796,0.00457,0.00001,0.00471,0.0000062
0.00164,0.00066,0.67586,0.09158,0.23027,0.1504751
0.00378,0.00151,0.00106,0.58005,0.41360,0.0299847
0.00287,0.38443,0.00434,0.60743,0.00092,0.1385542
0.21431,0.26044,0.00120,0.52137,0.00268,0.0628807
0.98141,0.00413,0.00457,0.00499,0.00490,0.0172402
0.00084,0.44163,0.00114,0.40839,0.14800,0.0743740
0.00087,0.25425,0.18038,0.56117,0.00332,0.0958291
0.53374,0.00152,0.00196,0.00205,0.46074,0.0345577
0.00127,0.10226,0.68109,0.00138,0.21401,0.1601040
0.00151,0.11374,0.69457,0.00146,0.18873,0.1540285
0.39272,0.60066,0.00133,0.00163,0.00366,0.0042680
0.00076,0.50085,0.00237,0.00224,0.49377,0.0000001
0.66600,0.00084,0.00092,0.32908,0.00317,0.0135637
0.10015,0.00323,0.71570,0.00492,0.17600,0.1418247
0.38497,0.00178,0.42436,0.00027,0.18862,0.0986163
0.00034,0.10524,0.61477,0.11007,0.16958,0.1473170
0.17171,0.37494,0.44587,0.00395,0.00352,0.1154484
0.09751,0.13652,0.63572,0.00451,0.12575,0.1481691
0.17118,0.00483,0.00218,0.22419,0.59762,0.0091645
0.11874,0.00336,0.56720,0.13791,0.17279,0.1431643
0.00382,0.16488,0.50586,0.19326,0.13217,0.1318577
0.26620,0.00360,0.00275,0.72636,0.00110,0.0398080
0.00394,0.00332,0.36568,0.40706,0.21999,0.1169752
0.33095,0.30041,0.00035,0.00328,0.36502,0.0042803
0.72064,0.27302,0.00052,0.00299,0.00283,0.0302274
0.35668,0.00479,0.00383,0.37874,0.25596,0.0251985
0.00164,0.62965,0.36596,0.00032,0.00242,0.0524322
0.00351,0.55006,0.00290,0.44067,0.00286,0.1429684
0.34239,0.15660,0.49706,0.00198,0.00197,0.1246231
0.68283,0.00381,0.30988,0.00253,0.00095,0.0298214
0.19184,0.00353,0.33819,0.46549,0.00095,0.1061642
0.00046,0.00485,0.24733,0.74252,0.00484,0.0769813
0.18725,0.00413,0.30176,0.00021,0.50664,0.0720727
0.16359,0.11582,0.71763,0.00002,0.00295,0.1474425
0.13766,0.00037,0.48861,0.19854,0.17481,0.1381972
0.00079,0.68636,0.00017,0.31220,0.00049,0.1198473
0.00018,0.00199,0.29365,0.21625,0.48793,0.0712360
0.10539,0.14587,0.60745,0.00176,0.13953,0.1486366
0.00309,0.07980,0.68570,0.00347,0.22795,0.1571754
0.00167,0.75267,0.00428,0.00349,0.23788,0.0000816
0.17600,0.15473,0.49745,0.16892,0.00290,0.1243298
0.00473,0.00301,0.68493,0.12276,0.18457,0.1417227
0.00472,0.22105,0.76942,0.00105,0.00375,0.1263359
0.00035,0.09640,0.66832,0.00132,0.23361,0.1576417
0.00498,0.16749,0.00016,0.73189,0.09549,0.0842318
0.00467,0.10075,0.66355,0.00248,0.22855,0.1571679
0.11190,0.14641,0.59709,0.00342,0.14118,0.1491383
0.22305,0.00348,0.76712,0.00377,0.00259,0.1952970
0.20758,0.21428,0.36007,0.00289,0.21517,0.1049417
0.16743,0.54108,0.00072,0.28999,0.00078,0.0547366
0.75789,0.00015,0.00115,0.00199,0.23882,0.0609783
0.00068,0.25284,0.00220,0.00139,0.74289,0.0000000
0.45530,0.00403,0.17594,0.12018,0.24454,0.0577089
0.00021,0.22285,0.00443,0.30246,0.47006,0.0143677
0.12704,0.00427,0.15663,0.54002,0.17204,0.0756511
0.40502,0.00106,0.16583,0.42697,0.00111,0.0637965
0.20099,0.00143,0.79570,0.00049,0.00138,0.2002085
0.00043,0.48793,0.26809,0.00011,0.24344,0.0323768
0.48540,0.27162,0.00222,0.23916,0.00160,0.0276541
0.16433,0.00329,0.26748,0.24546,0.31945,0.0864684
0.00439,0.19486,0.26258,0.29278,0.24539,0.0815033
0.14690,0.70155,0.14497,0.00210,0.00447,0.0261635
0.58380,0.18637,0.00270,0.00357,0.22356,0.0253472
0.20733,0.24654,0.25585,0.28946,0.00083,0.0908837
0.34570,0.40313,0.24465,0.00389,0.00264,0.0683166
0.00317,0.19968,0.40586,0.38824,0.00305,0.0984918
0.00338,0.00465,0.33463,0.00304,0.65431,0.0399798
0.25893,0.00454,0.00085,0.00109,0.73459,0.0028806
0.09327,0.21074,0.16655,0.00133,0.52812,0.0217600
0.00059,0.22110,0.00078,0.55105,0.22648,0.0637224
0.20051,0.26398,0.00012,0.26420,0.27120,0.0286752
0.16814,0.00168,0.78550,0.04321,0.00148,0.1794541
0.00245,0.00477,0.00259,0.22833,0.76186,0.0052993
0.21812,0.55775,0.00448,0.00089,0.21876,0.0011347
0.00362,0.40789,0.58181,0.00469,0.00199,0.1106595
0.62243,0.00236,0.00351,0.17511,0.19659,0.0286740
0.60798,0.08649,0.15801,0.14737,0.00015,0.0540007
0.13779,0.00351,0.49906,0.00095,0.35869,0.1291801
0.00217,0.35661,0.42323,0.13267,0.08532,0.1021505
0.24214,0.00239,0.33881,0.31150,0.10516,0.1061538
0.13807,0.00134,0.00104,0.44268,0.41687,0.0277519
0.00283,0.00325,0.80701,0.18567,0.00123,0.0809280
