     Ir,     Pd,     Pt,     Rh,     Ru, activity
0.12122,0.54828,0.00165,0.04586,0.28299,0.1636746
0.11439,0.54812,0.00423,0.04554,0.28773,0.1614606
0.11783,0.54694,0.00254,0.04776,0.28493,0.1677179
0.43340,0.00241,0.55830,0.00415,0.00174,0.1613129
0.12158,0.54971,0.00057,0.04523,0.28291,0.1698592
0.12113,0.54954,0.00131,0.04632,0.28170,0.1615020
0.11629,0.54778,0.00390,0.04454,0.28749,0.1618948
0.12055,0.54781,0.00122,0.04438,0.28603,0.1582368
0.43285,0.00429,0.56025,0.00124,0.00137,0.1660572
0.43445,0.00313,0.55785,0.00009,0.00447,0.1597930
0.11682,0.54779,0.00348,0.04378,0.28812,0.1614731
0.12179,0.54793,0.00060,0.04388,0.28580,0.1678990
0.12133,0.54642,0.00306,0.04529,0.28390,0.1595141
0.43059,0.00490,0.56249,0.00078,0.00124,0.1585763
0.11960,0.55017,0.00023,0.04217,0.28784,0.1627715
0.12118,0.54853,0.00340,0.04344,0.28345,0.1635018
0.11709,0.54596,0.00493,0.04547,0.28654,0.1608164
0.11864,0.55014,0.00217,0.04379,0.28527,0.1651807
0.12074,0.54969,0.00186,0.04248,0.28522,0.1647960
0.11874,0.54846,0.00111,0.04633,0.28536,0.1656667
0.12137,0.55116,0.00254,0.04326,0.28167,0.1602248
0.11636,0.54841,0.00473,0.04219,0.28831,0.1643151
0.11581,0.55000,0.00462,0.04027,0.28930,0.1668012
0.11890,0.54819,0.00461,0.04187,0.28643,0.1643180
0.11805,0.54938,0.00347,0.04146,0.28764,0.1611697
0.11738,0.55034,0.00261,0.04238,0.28729,0.1556789
0.12112,0.54969,0.00074,0.04567,0.28278,0.1614887
0.11949,0.55019,0.00165,0.04341,0.28526,0.1695685
0.11628,0.54985,0.00468,0.04051,0.28868,0.1629122
0.12259,0.55036,0.00246,0.03933,0.28526,0.1659184
0.11925,0.55059,0.00148,0.04356,0.28512,0.1619648
0.11842,0.54777,0.00392,0.04108,0.28882,0.1620710
0.12299,0.54630,0.00143,0.04669,0.28259,0.1632618
0.11970,0.55015,0.00097,0.04454,0.28464,0.1593829
0.12141,0.54768,0.00057,0.04290,0.28744,0.1640518
0.11726,0.55090,0.00478,0.03786,0.28920,0.1595068
0.11982,0.54564,0.00418,0.04394,0.28643,0.1624538
0.12027,0.54626,0.00373,0.04254,0.28721,0.1623615
0.11729,0.54931,0.00477,0.03836,0.29027,0.1621302
0.12028,0.54941,0.00202,0.04305,0.28523,0.1631326
0.12030,0.54755,0.00284,0.04647,0.28284,0.1633700
0.12085,0.54802,0.00465,0.04090,0.28558,0.1639738
0.12288,0.54595,0.00271,0.04768,0.28079,0.1651350
0.11857,0.54902,0.00321,0.04231,0.28689,0.1634766
0.11985,0.54803,0.00432,0.04293,0.28487,0.1614217
0.11948,0.54559,0.00404,0.04733,0.28355,0.1712213
0.12037,0.54413,0.00445,0.04808,0.28297,0.1581504
0.11989,0.54533,0.00394,0.04526,0.28558,0.1651565
