  n,     Ag,     Ir,     Pd,     Pt,     Ru,    act,   C**2,      l
  2,0.00000,0.00000,0.17500,0.27500,0.55000,0.04386,0.00118,0.84312
  3,0.12000,0.13000,0.11500,0.27500,0.36000,0.03981,0.00059,0.38293
  4,0.00000,0.04500,0.23000,0.72500,0.00000,0.09534,0.00414,0.91919
  5,0.00000,0.19000,0.24500,0.56000,0.00500,0.08262,0.00203,0.67482
  6,0.00000,0.23500,0.36500,0.40000,0.00000,0.09487,0.00273,0.78380
  7,0.00000,0.18000,0.48000,0.34000,0.00000,0.09779,0.00271,0.84673
  8,0.00000,0.47000,0.48000,0.05000,0.00000,0.10799,0.00484,1.15786
  9,0.00000,0.24500,0.55000,0.20500,0.00000,0.10696,0.00238,0.65685
 10,0.00000,0.24000,0.76000,0.00000,0.00000,0.12388,0.00373,0.72013
 11,0.00000,0.25000,0.75000,0.00000,0.00000,0.12334,0.00362,0.72659
 12,0.24000,0.10500,0.65500,0.00000,0.00000,0.14382,0.00393,0.63457
 13,0.22000,0.12500,0.65500,0.00000,0.00000,0.14194,0.00356,0.62326
 14,0.22000,0.15000,0.63000,0.00000,0.00000,0.14479,0.00340,0.59257
 15,0.20000,0.13000,0.62500,0.00000,0.04500,0.14536,0.00323,0.57701
 16,0.19000,0.10000,0.65500,0.00000,0.05500,0.14419,0.00330,0.59427
 17,0.19500,0.10500,0.65000,0.00000,0.05000,0.14389,0.00331,0.59936
 18,0.19500,0.11000,0.65000,0.00000,0.04500,0.14348,0.00336,0.60638
 19,0.19500,0.10500,0.65000,0.00000,0.05000,0.14382,0.00329,0.59930
 20,0.20000,0.11000,0.65000,0.00000,0.04000,0.14335,0.00335,0.60729
 21,0.20500,0.11500,0.64500,0.00000,0.03500,0.14360,0.00332,0.60426
 22,0.20500,0.12500,0.64500,0.00000,0.02500,0.14388,0.00331,0.60211
 23,0.21000,0.13000,0.64500,0.00000,0.01500,0.14417,0.00330,0.60038
 24,0.21000,0.13000,0.64500,0.00000,0.01500,0.14414,0.00330,0.60075
 25,0.21500,0.13500,0.64500,0.00000,0.00500,0.14448,0.00329,0.59785
 26,0.21000,0.13500,0.64500,0.00000,0.01000,0.14435,0.00328,0.59799
 27,0.20500,0.12500,0.65000,0.00000,0.02000,0.14405,0.00329,0.60061
 28,0.21000,0.11000,0.68000,0.00000,0.00000,0.14518,0.00320,0.58511
 29,0.21000,0.08000,0.71000,0.00000,0.00000,0.14704,0.00328,0.57231
 30,0.19000,0.00000,0.81000,0.00000,0.00000,0.16366,0.00483,0.52098
 31,0.19500,0.00000,0.80500,0.00000,0.00000,0.16206,0.00438,0.53534
 32,0.19500,0.00000,0.80500,0.00000,0.00000,0.16188,0.00406,0.53183
 33,0.19000,0.00000,0.81000,0.00000,0.00000,0.16322,0.00622,0.55937
 33,0.00000,0.36500,0.00000,0.63500,0.00000,0.14509,0.00622,0.55937
 34,0.19000,0.00000,0.81000,0.00000,0.00000,0.16314,0.00645,0.56396
 34,0.00000,0.46500,0.00000,0.53500,0.00000,0.14992,0.00645,0.56396
 35,0.18000,0.00000,0.82000,0.00000,0.00000,0.16739,0.00655,0.42349
 35,0.00000,0.46000,0.00000,0.54000,0.00000,0.15064,0.00655,0.42349
 36,0.17500,0.00000,0.82500,0.00000,0.00000,0.16824,0.00691,0.41847
 36,0.00000,0.46000,0.00000,0.54000,0.00000,0.15077,0.00691,0.41847
 37,0.18000,0.00000,0.82000,0.00000,0.00000,0.16795,0.00636,0.41298
 37,0.00000,0.46000,0.00000,0.54000,0.00000,0.15077,0.00636,0.41298
