     composition,   mean,    std,    min,    max, n_runs,    act, std_act
        Ag18Pd82,   50.2,   20.5,      4,     87,     64, 0.1918,  0.0134
     Ir9Pd64Ru27,   28.2,   28.2,      2,    121,     64, 0.1554,  0.0094
        Ir48Pt52,   25.3,   10.2,      9,     67,     64, 0.1462,  0.0026
        Ag78Ru22,   92.6,   26.7,     36,    148,     54, 0.0617,  0.0040
        Ir46Ru54,   72.7,   20.0,      3,    101,     21, 0.0046,  0.0105
        Ir10Ru90,  110.4,   26.5,     46,    144,     17, 0.0024,  0.0029
           Ru100,   48.4,   32.6,      2,    133,     54, 0.0007,  0.0014
