     Ir,     Pd,     Pt,     Rh,     Ru, activity
0.23499,0.11169,0.29987,0.21708,0.13637,0.0498179
0.33178,0.17262,0.12337,0.24047,0.13176,0.0463225
0.00142,0.00264,0.00255,0.99088,0.00250,0.0000006
0.14981,0.00077,0.22005,0.00245,0.62692,0.0072602
0.19443,0.38614,0.31609,0.10238,0.00097,0.0818643
0.00085,0.78929,0.20557,0.00338,0.00091,0.0524459
0.00390,0.40612,0.58468,0.00088,0.00442,0.0649379
0.34179,0.35994,0.29019,0.00446,0.00361,0.0722857
0.00043,0.45743,0.25338,0.28635,0.00240,0.0871244
0.00253,0.47617,0.14076,0.15780,0.22274,0.1520460
0.00318,0.52197,0.00293,0.09478,0.37713,0.1491277
0.00467,0.46959,0.18239,0.00428,0.33906,0.1464306
0.13991,0.52617,0.01659,0.04249,0.27485,0.1662771
0.21580,0.43269,0.00335,0.00286,0.34530,0.1346928
0.08828,0.58051,0.00237,0.12639,0.20245,0.1653599
0.08597,0.63575,0.00384,0.00090,0.27354,0.1597792
0.25665,0.60154,0.00337,0.00443,0.13401,0.1429326
0.00430,0.43868,0.00040,0.34414,0.21248,0.1095621
0.00087,0.00173,0.99447,0.00257,0.00035,0.0653388
0.09895,0.54675,0.07994,0.03942,0.23494,0.1533458
0.00076,0.00255,0.65919,0.00144,0.33606,0.0708733
0.99141,0.00029,0.00363,0.00065,0.00401,0.0003167
0.00396,0.00346,0.66336,0.32524,0.00397,0.0667835
0.00473,0.00053,0.00054,0.46749,0.52671,0.0001210
0.00271,0.28050,0.29993,0.11366,0.30320,0.1034906
0.00396,0.62662,0.00365,0.12284,0.24293,0.1393126
0.23032,0.54627,0.00032,0.22076,0.00233,0.1148088
0.31162,0.00416,0.67691,0.00328,0.00403,0.1558389
0.47041,0.00402,0.52086,0.00226,0.00246,0.1642052
0.38343,0.00431,0.00064,0.60945,0.00217,0.0003310
0.37022,0.00377,0.53720,0.00245,0.08636,0.1354362
0.61863,0.00443,0.37101,0.00280,0.00314,0.1320993
0.62675,0.00277,0.00039,0.00169,0.36841,0.0000109
0.00161,0.00050,0.00030,0.00033,0.99726,0.0000000
0.38336,0.00130,0.53291,0.07943,0.00300,0.1369438
0.13111,0.51841,0.00196,0.10634,0.24218,0.1599481
0.00324,0.00465,0.33632,0.65361,0.00219,0.0220445
0.00477,0.40535,0.00005,0.00495,0.58488,0.1106527
0.63705,0.35386,0.00339,0.00124,0.00445,0.0426150
0.11124,0.57023,0.00176,0.00032,0.31645,0.1617150
0.18210,0.80768,0.00308,0.00433,0.00281,0.0986694
0.12017,0.52621,0.00237,0.09428,0.25696,0.1649079
0.00371,0.31368,0.00434,0.67371,0.00455,0.0186999
0.00025,0.41113,0.07127,0.13781,0.37953,0.1347139
0.70647,0.00295,0.00205,0.28690,0.00164,0.0007567
0.10392,0.55185,0.07637,0.00188,0.26598,0.1606868
0.00204,0.00027,0.37475,0.32240,0.30053,0.0187311
0.11795,0.53847,0.09631,0.00407,0.24320,0.1464616
0.00319,0.60447,0.00074,0.00204,0.38956,0.1449172
0.34505,0.07272,0.57650,0.00431,0.00142,0.1193837
0.29449,0.00103,0.00377,0.00189,0.69883,0.0000002
0.00319,0.00042,0.00370,0.73780,0.25488,0.0000813
0.00165,0.69780,0.00228,0.29685,0.00142,0.0762704
0.12671,0.54339,0.00075,0.08920,0.23996,0.1631404
0.12783,0.53921,0.00210,0.09474,0.23612,0.1653536
0.13581,0.59022,0.00112,0.00178,0.27107,0.1639111
0.00130,0.50842,0.28781,0.00191,0.20056,0.1351765
0.31548,0.00203,0.00144,0.32379,0.35725,0.0003558
0.43641,0.00038,0.55492,0.00400,0.00428,0.1676663
0.13519,0.52156,0.00441,0.10704,0.23181,0.1670524
0.10009,0.52363,0.00080,0.06222,0.31325,0.1626805
0.16011,0.51026,0.00437,0.11427,0.21098,0.1581503
0.48873,0.00418,0.32585,0.17874,0.00251,0.0878363
0.13944,0.61387,0.00097,0.00215,0.24358,0.1642236
0.00108,0.00396,0.00129,0.20480,0.78887,0.0003271
0.09344,0.55111,0.07220,0.09631,0.18694,0.1568794
0.11230,0.54639,0.00365,0.00207,0.33558,0.1602539
0.00111,0.14177,0.72985,0.00163,0.12565,0.0644698
0.09540,0.51452,0.00271,0.08724,0.30014,0.1609170
0.43927,0.00288,0.55254,0.00331,0.00201,0.1654986
0.00423,0.59235,0.10513,0.00019,0.29810,0.1549476
0.00002,0.54073,0.11985,0.10071,0.23869,0.1594297
0.49442,0.00432,0.35032,0.00308,0.14787,0.0735413
0.00257,0.23175,0.49377,0.27105,0.00085,0.0475548
0.11984,0.40084,0.00225,0.15539,0.32169,0.1408414
0.36169,0.62884,0.00452,0.00069,0.00427,0.1058317
0.43078,0.00173,0.56441,0.00143,0.00165,0.1630809
0.22500,0.34792,0.00420,0.42111,0.00176,0.0685385
0.00444,0.47698,0.13210,0.00085,0.38564,0.1445993
0.12584,0.46330,0.14633,0.00082,0.26371,0.1395392
0.00374,0.78678,0.00305,0.00410,0.20232,0.1034115
0.12580,0.59567,0.00312,0.07935,0.19605,0.1652118
0.09534,0.56799,0.06996,0.09825,0.16846,0.1548131
0.16250,0.60074,0.00194,0.00387,0.23095,0.1555642
0.22192,0.51047,0.00245,0.07407,0.19109,0.1423588
0.00315,0.52575,0.13850,0.10834,0.22426,0.1582345
0.00074,0.25159,0.16266,0.40190,0.18311,0.0711779
0.09911,0.54873,0.00329,0.00101,0.34786,0.1638160
0.21791,0.00084,0.38398,0.39603,0.00124,0.0396048
0.18853,0.62656,0.17977,0.00473,0.00041,0.0917506
0.00188,0.49574,0.18885,0.11838,0.19515,0.1496481
0.09619,0.54945,0.00326,0.00055,0.35055,0.1629025
0.29585,0.00274,0.69513,0.00465,0.00162,0.1506344
0.09068,0.48722,0.07034,0.16083,0.19093,0.1499780
0.15625,0.31088,0.00159,0.00344,0.52783,0.0943954
0.18554,0.00105,0.70233,0.00435,0.10673,0.1204450
0.00364,0.33006,0.39945,0.00402,0.26283,0.1074798
0.07959,0.56461,0.00228,0.07866,0.27486,0.1647825
0.00494,0.32328,0.00232,0.22547,0.44399,0.0984987
0.12951,0.60801,0.00408,0.00151,0.25689,0.1629972
0.44379,0.34714,0.00469,0.20391,0.00047,0.0667554
0.19775,0.00302,0.49002,0.00272,0.30648,0.0703617
0.00026,0.20001,0.23209,0.00023,0.56741,0.0585484
0.09665,0.56177,0.00240,0.00429,0.33489,0.1661072
0.09568,0.55884,0.00408,0.00248,0.33893,0.1652266
0.00008,0.57920,0.12574,0.00042,0.29455,0.1558827
0.18433,0.00403,0.70495,0.10225,0.00445,0.1048130
0.59893,0.12387,0.27378,0.00223,0.00118,0.0733439
0.13746,0.61506,0.00487,0.00205,0.24056,0.1597822
0.00135,0.56465,0.00061,0.11874,0.31465,0.1447891
0.07124,0.50804,0.06556,0.06397,0.29118,0.1585302
0.21788,0.53129,0.00372,0.00332,0.24379,0.1556894
0.11423,0.60314,0.00057,0.08314,0.19893,0.1591177
0.00019,0.56038,0.12035,0.09149,0.22759,0.1511374
0.12889,0.60722,0.00032,0.00452,0.25905,0.1626060
0.00492,0.50367,0.27221,0.08594,0.13327,0.1365867
0.11427,0.59725,0.00152,0.09216,0.19479,0.1573676
0.13018,0.49101,0.00227,0.16845,0.20808,0.1578336
0.12801,0.48793,0.00398,0.17906,0.20103,0.1564534
0.22658,0.52825,0.00129,0.00253,0.24135,0.1438790
0.08823,0.53038,0.00263,0.06474,0.31402,0.1547535
0.12108,0.61233,0.00340,0.09502,0.16818,0.1527720
0.08184,0.48210,0.08725,0.07888,0.26993,0.1534870
0.13440,0.18273,0.00376,0.47595,0.20315,0.0473049
0.00360,0.58630,0.13812,0.00175,0.27023,0.1573389
0.08868,0.55345,0.00046,0.00329,0.35413,0.1577697
0.42675,0.32156,0.00023,0.00046,0.25100,0.0683330
0.00496,0.52607,0.09660,0.00339,0.36897,0.1508592
0.00120,0.00292,0.40293,0.00435,0.58860,0.0246403
0.16935,0.00261,0.00147,0.82424,0.00233,0.0000278
0.00217,0.56995,0.19874,0.00205,0.22710,0.1496414
0.09724,0.58338,0.08362,0.00235,0.23341,0.1593906
0.10575,0.50765,0.11667,0.00213,0.26780,0.1473301
0.18800,0.66833,0.00217,0.14096,0.00055,0.1185263
0.00404,0.53674,0.09574,0.12070,0.24278,0.1568472
0.10799,0.50993,0.00497,0.19479,0.18232,0.1556844
0.00495,0.56724,0.09618,0.13249,0.19915,0.1538742
0.00047,0.59737,0.00405,0.00441,0.39370,0.1488469
0.00130,0.48806,0.11269,0.08893,0.30901,0.1520357
0.44205,0.00281,0.54761,0.00490,0.00263,0.1617106
0.00103,0.59894,0.11630,0.00388,0.27985,0.1510133
0.08058,0.54128,0.00481,0.08017,0.29316,0.1616178
0.08639,0.54443,0.00254,0.07771,0.28892,0.1634455
0.10464,0.49676,0.09056,0.14039,0.16765,0.1491091
0.08469,0.54652,0.00100,0.07683,0.29096,0.1543231
