	Iteration	Ag	Ir	Pd	Pt	Ru	Activity
0	1	0.04	0.33	0.3	0.01	0.32	0.06040221579347961
1	2	0.11	0.02	0.46	0.22	0.19	0.1418693840005998
2	3	0.38	0.01	0.46	0.01	0.14	0.09603425433273158
3	4	0.05	0.35	0.42	0.02	0.16	0.10080552356785104
4	5	0.09	0.49	0.15	0.07	0.2	0.03198027063533394
5	6	0.08	0.11	0.56	0.18	0.07	0.1295041222679978
6	7	0.13	0.0	0.43	0.29	0.15	0.13394904444210984
7	8	0.08	0.0	0.46	0.17	0.29	0.13785724456176535
8	9	0.12	0.01	0.51	0.35000000000000003	0.01	0.12835963520800914
9	10	0.08	0.01	0.61	0.3	0.0	0.11818855077860113
10	11	0.0	0.0	0.0	1.0	0.0	0.03824379969709924
11	12	0.01	0.09	0.44	0.26	0.2	0.1337371660081294
12	13	0.9400000000000001	0.0	0.0	0.06	0.0	0.014482464075382402
13	14	0.19	0.06	0.48	0.21	0.06	0.12596830936742556
14	15	0.0	0.29	0.71	0.0	0.0	0.1208552717924606
15	16	0.0	0.0	0.45	0.22	0.33	0.1344129513932753
16	17	0.0	0.0	1.0	0.0	0.0	0.05850410476771107
17	18	0.0	0.0	0.58	0.0	0.42	0.14291415571637628
18	19	0.07	0.0	0.44	0.23	0.26	0.13949575852547727
19	20	0.07	0.0	0.45	0.22	0.26	0.1406906533859622
20	21	0.0	0.12	0.56	0.0	0.32	0.14902987437540235
21	22	0.1	0.0	0.62	0.0	0.28	0.14341639620601837
22	23	0.05	0.91	0.02	0.02	0.0	0.0060693010140596415
23	24	0.0	0.0	0.59	0.08	0.33	0.15691036969495198
24	25	0.37	0.07	0.0	0.55	0.01	0.03215960515626224
25	26	0.0	0.0	0.55	0.04	0.41	0.14121990941652462
26	27	0.0	0.04	0.63	0.07	0.26	0.1558926733983604
27	28	0.0	0.02	0.58	0.05	0.35	0.15565888269970124
28	29	0.0	0.04	0.59	0.05	0.32	0.16184353970631077
29	30	0.04	0.04	0.5700000000000001	0.04	0.31	0.1550489217721479
30	31	0.0	0.06	0.61	0.06	0.27	0.1564134397208959
31	32	0.0	0.04	0.36	0.6	0.0	0.09070467618739103
32	33	0.04	0.06	0.64	0.03	0.23	0.15661197813198577
33	34	0.0	0.48	0.0	0.51	0.01	0.14324449178063844
34	35	0.0	0.02	0.5700000000000001	0.08	0.33	0.15584110736797704
35	36	0.0	0.34	0.0	0.66	0.0	0.13558693349449394
36	37	0.0	0.55	0.0	0.45	0.0	0.14828455288797843
37	38	0.0	0.34	0.0	0.43	0.23	0.04992948039683213
38	39	0.5700000000000001	0.41000000000000003	0.01	0.0	0.01	0.017643678979793714
39	40	0.19	0.18	0.61	0.01	0.01	0.14415617714277232
40	41	0.02	0.05	0.6	0.05	0.28	0.15744074390301233
41	42	0.01	0.05	0.6	0.06	0.28	0.15852555975135324
42	43	0.05	0.1	0.62	0.0	0.23	0.15642595911574245
43	44	0.0	0.04	0.61	0.07	0.28	0.15916826172211943
44	45	0.02	0.03	0.61	0.07	0.27	0.1571228536901565
45	46	0.0	0.05	0.61	0.05	0.29	0.15990469303864993
46	47	0.0	0.04	0.61	0.05	0.3	0.16144433336235137
47	48	0.0	0.36	0.38	0.26	0.0	0.09042133247821396
48	49	0.33	0.01	0.65	0.01	0.0	0.1346548128197258
49	50	0.01	0.04	0.64	0.02	0.29	0.15739152344743743
50	51	0.19	0.07	0.74	0.0	0.0	0.15716052267578526
51	52	0.0	0.05	0.61	0.04	0.3	0.16139165670634864
52	53	0.0	0.02	0.62	0.05	0.31	0.15975180279517273
53	54	0.0	0.65	0.35000000000000003	0.0	0.0	0.04656456907533715
54	55	0.27	0.35000000000000003	0.38	0.0	0.0	0.10253860337034032
55	56	0.2	0.09	0.7000000000000001	0.0	0.01	0.14941645530481096
56	57	0.16	0.04	0.79	0.01	0.0	0.1741754832356657
57	58	0.0	0.05	0.62	0.04	0.29	0.159146189290712
58	59	0.13	0.28	0.59	0.0	0.0	0.13643978272612448
59	60	0.0	0.06	0.62	0.04	0.28	0.15867495306118665
60	61	0.19	0.01	0.8	0.0	0.0	0.19353494176299618
61	62	0.11	0.07	0.79	0.03	0.0	0.15292052793104471
62	63	0.0	0.0	0.0	0.0	1.0	8.465553336061072e-14
63	64	0.42	0.0	0.0	0.0	0.58	0.020916955417976432
64	65	0.15	0.03	0.77	0.05	0.0	0.16188664233245859
65	66	0.61	0.07	0.32	0.0	0.0	0.06712567683269952
66	67	0.64	0.0	0.02	0.34	0.0	0.0189440813379778
67	68	0.2	0.42	0.02	0.36	0.0	0.055076582419405724
68	69	0.0	0.0	0.0	0.63	0.37	0.03293579586571
69	70	0.0	0.2	0.29	0.51	0.0	0.09067384427918793
70	71	0.18	0.0	0.81	0.0	0.01	0.1929668374518463
71	72	0.26	0.0	0.74	0.0	0.0	0.178911550241878
72	73	0.17	0.0	0.8	0.03	0.0	0.18856366288778859
73	74	0.18	0.0	0.8200000000000001	0.0	0.0	0.20858474086881798
