	Iteration	Ag	Ir	Pd	Pt	Ru	Activity
94	95	0.11	0.24	0.65	0.0	0.0	0.13978464383929046
95	96	0.0	0.11	0.58	0.01	0.3	0.15351049875034947
96	97	0.0	0.15	0.62	0.01	0.22	0.15215291102035008
97	98	0.03	0.0	0.63	0.11	0.23	0.15619571540131133
98	99	0.01	0.25	0.44	0.01	0.29	0.10985144674111055
99	100	0.0	0.21	0.52	0.0	0.27	0.135030332476459
100	101	0.0	0.02	0.61	0.09	0.28	0.15994119020498979
101	102	0.43	0.0	0.3	0.27	0.0	0.087475284523947
102	103	0.04	0.18	0.0	0.76	0.02	0.09386095389821916
103	104	0.03	0.11	0.64	0.0	0.22	0.15501371521260637
104	105	0.03	0.04	0.66	0.01	0.26	0.15785983246376062
