	Iteration	Ag	Ir	Pd	Pt	Ru	Activity
0	1	0.26	0.27	0.23	0.21	0.03	0.07899670864894592
1	2	0.09	0.08	0.06	0.07	0.7	0.0048461908531581555
2	3	0.05	0.12	0.41	0.14	0.28	0.12277017109308525
3	4	0.18	0.2	0.07	0.12	0.43	0.022472480117937246
4	5	0.42	0.06	0.08	0.11	0.33	0.03845879715733515
5	6	0.06	0.19	0.59	0.16	0.0	0.12244928219714946
6	7	0.07	0.11	0.43	0.26	0.13	0.12848628314249744
7	8	0.02	0.12	0.46	0.06	0.34	0.1277814989050958
8	9	0.09	0.17	0.46	0.21	0.07	0.12125910727986508
9	10	0.05	0.13	0.49	0.24	0.09	0.1286593386780897
10	11	0.0	0.0	0.64	0.05	0.31	0.15841956837951132
11	12	0.0	0.0	0.46	0.54	0.0	0.08766436657622241
12	13	0.0	0.05	0.45	0.3	0.2	0.1399855146715382
13	14	0.0	0.43	0.5700000000000001	0.0	0.0	0.10449608989326051
14	15	0.0	0.08	0.03	0.87	0.02	0.06683638839370187
15	16	0.0	0.0	1.0	0.0	0.0	0.05850410476771107
16	17	0.29	0.0	0.71	0.0	0.0	0.1665447318435588
17	18	0.0	0.0	0.58	0.14	0.28	0.15577483101704973
18	19	0.0	0.0	0.7000000000000001	0.0	0.3	0.1551198430552218
19	20	0.0	0.0	0.61	0.0	0.39	0.152672341580066
20	21	0.26	0.0	0.65	0.09	0.0	0.13970530855431823
21	22	0.0	0.92	0.01	0.07	0.0	0.026761910145434532
22	23	0.24	0.0	0.76	0.0	0.0	0.18762665717244015
23	24	0.36	0.03	0.6	0.01	0.0	0.12206950535737396
24	25	0.12	0.0	0.63	0.0	0.25	0.14009269937903343
25	26	0.92	0.01	0.07	0.0	0.0	0.01564425677516849
26	27	0.0	0.43	0.0	0.5700000000000001	0.0	0.14773211243770765
27	28	0.33	0.0	0.04	0.63	0.0	0.03877529986007193
28	29	0.55	0.45	0.0	0.0	0.0	0.012793726503789186
29	30	0.11	0.0	0.79	0.1	0.0	0.15026472817116265
30	31	0.0	0.35000000000000003	0.18	0.46	0.01	0.09262734198484185
31	32	0.0	0.68	0.32	0.0	0.0	0.03792277827959495
32	33	0.17	0.1	0.72	0.01	0.0	0.15169007463864115
33	34	0.0	0.58	0.0	0.42	0.0	0.14383334777683157
34	35	0.18	0.35000000000000003	0.0	0.46	0.01	0.06250959530102274
35	36	0.6	0.02	0.38	0.0	0.0	0.05127684546460616
36	37	0.34	0.0	0.38	0.28	0.0	0.10752645983044375
37	38	0.0	0.0	0.0	0.49	0.51	0.021853241166926912
38	39	0.64	0.0	0.01	0.34	0.01	0.01715583122780096
39	40	0.25	0.34	0.41000000000000003	0.0	0.0	0.11072135792761656
40	41	0.13	0.0	0.55	0.32	0.0	0.12701959009304484
41	42	0.0	0.23	0.77	0.0	0.0	0.12056438028926823
42	43	0.15	0.02	0.8300000000000001	0.0	0.0	0.19397398855220188
43	44	0.22	0.02	0.76	0.0	0.0	0.17617033204468027
44	45	0.0	0.0	0.72	0.28	0.0	0.08059979977232123
45	46	0.15	0.0	0.8200000000000001	0.03	0.0	0.18833704169351115
46	47	0.0	0.51	0.0	0.0	0.49	2.498535056905179e-08
47	48	0.18	0.0	0.8200000000000001	0.0	0.0	0.20858474086881798
48	49	0.14	0.06	0.8	0.0	0.0	0.1697657742675402
49	50	0.19	0.0	0.81	0.0	0.0	0.2044127317029268
50	51	0.3	0.67	0.01	0.0	0.02	0.004318261310365422
51	52	0.21	0.0	0.3	0.49	0.0	0.10252220304680751
52	53	0.01	0.43	0.28	0.26	0.02	0.08174620855557531
53	54	0.01	0.26	0.01	0.68	0.04	0.10910481584259682
54	55	0.26	0.01	0.3	0.01	0.42	0.07987586318358668
55	56	0.41000000000000003	0.24	0.29	0.06	0.0	0.08779756754986992
56	57	0.08	0.0	0.22	0.7000000000000001	0.0	0.08696953687291324
57	58	0.14	0.0	0.77	0.0	0.09	0.13604777306085916
58	59	0.0	0.01	0.3	0.36	0.33	0.10451812473342735
59	60	0.03	0.68	0.02	0.27	0.0	0.08413222556513711
60	61	0.2	0.0	0.78	0.02	0.0	0.18789770724178018
61	62	0.19	0.01	0.79	0.01	0.0	0.18917264472556614
62	63	0.19	0.01	0.8	0.0	0.0	0.19353494176299618
63	64	0.17	0.01	0.81	0.0	0.01	0.18894374204914166
64	65	0.0	0.0	0.49	0.11	0.4	0.13516728556857674
65	66	0.21	0.01	0.78	0.0	0.0	0.19021733881414205
66	67	0.23	0.0	0.77	0.0	0.0	0.19349961074348546
67	68	0.21	0.0	0.78	0.0	0.01	0.18634130467227866
68	69	0.17	0.02	0.8	0.0	0.01	0.18130814739354167
69	70	0.2	0.0	0.8	0.0	0.0	0.2034807516802866
70	71	0.22	0.23	0.55	0.0	0.0	0.1373737689124742
71	72	0.0	0.31	0.35000000000000003	0.0	0.34	0.0665121510814971
72	73	0.0	0.13	0.63	0.0	0.24	0.15617034039670646
73	74	0.17	0.0	0.48	0.15	0.2	0.13363824128094232
74	75	0.03	0.16	0.33	0.48	0.0	0.09486389391600952
75	76	0.77	0.23	0.0	0.0	0.0	0.03752844951137484
76	77	0.0	0.42	0.0	0.35000000000000003	0.23	0.040729881763728666
77	78	0.29	0.14	0.42	0.15	0.0	0.1139720548186739
78	79	0.44	0.26	0.0	0.3	0.0	0.030319307930420404
79	80	0.36	0.01	0.21	0.42	0.0	0.07632365595098783
80	81	0.16	0.09	0.49	0.0	0.26	0.1325869357096077
81	82	0.12	0.25	0.63	0.0	0.0	0.1403778208765353
82	83	0.0	0.0	0.3	0.0	0.7	0.03204189816345976
83	84	0.0	0.35000000000000003	0.49	0.16	0.0	0.1002121523864477
84	85	0.17	0.02	0.25	0.31	0.25	0.09060903239771713
85	86	0.23	0.48	0.2	0.09	0.0	0.060612049210409816
86	87	0.14	0.05	0.0	0.8	0.01	0.05570007530337271
87	88	0.62	0.01	0.06	0.02	0.29	0.04982476505987664
88	89	0.53	0.02	0.26	0.19	0.0	0.06846877810725208
89	90	0.0	0.23	0.19	0.58	0.0	0.08973776227593878
90	91	0.01	0.1	0.77	0.09	0.03	0.11218350783037367
91	92	0.18	0.01	0.79	0.02	0.0	0.18461737323737376
92	93	0.01	0.14	0.62	0.01	0.22	0.15283215207391018
93	94	0.15	0.01	0.84	0.0	0.0	0.20374173394446993
94	95	0.21	0.0	0.73	0.05	0.01	0.15667160907276997
95	96	0.35000000000000003	0.25	0.07	0.0	0.33	0.024367212015329726
96	97	0.29	0.5	0.0	0.2	0.01	0.03208506445876507
97	98	0.0	0.21	0.33	0.25	0.21	0.09583708847389114
98	99	0.1	0.07	0.6	0.13	0.1	0.1370072661396001
99	100	0.21	0.12	0.15	0.51	0.01	0.07502366771423609
100	101	0.0	0.56	0.13	0.31	0.0	0.08347822133291158
101	102	0.42	0.15	0.42	0.0	0.01	0.10814931498062044
102	103	0.31	0.0	0.51	0.17	0.01	0.121229415425501
103	104	0.26	0.0	0.01	0.43	0.3	0.02843673490934088
104	105	0.09	0.45	0.42	0.0	0.04	0.09654984229473149
