     Ir,     Pd,     Pt,     Rh,     Ru, activity
0.36376,0.14374,0.22665,0.09177,0.17407,0.0454662
0.20136,0.15282,0.16386,0.20087,0.28109,0.0466828
0.00465,0.00111,0.98632,0.00463,0.00329,0.0672950
0.00093,0.00120,0.00408,0.99274,0.00104,0.0000011
0.00233,0.76202,0.23065,0.00433,0.00068,0.0562714
0.00311,0.00084,0.00271,0.00134,0.99201,0.0000000
0.00349,0.32555,0.66563,0.00112,0.00422,0.0602333
0.00417,0.00484,0.70984,0.27675,0.00440,0.0627644
0.00484,0.00329,0.71873,0.00027,0.27287,0.0767293
0.00354,0.64177,0.00124,0.00405,0.34940,0.1368820
0.00256,0.50946,0.00254,0.00376,0.48167,0.1475014
0.00388,0.44249,0.15311,0.00496,0.39555,0.1405385
0.15644,0.47657,0.00339,0.00472,0.35889,0.1477277
0.42646,0.56515,0.00454,0.00306,0.00079,0.0972064
0.00044,0.50582,0.00347,0.14971,0.34057,0.1419258
0.00235,0.57161,0.00079,0.42138,0.00387,0.0649197
0.11960,0.53383,0.00026,0.00109,0.34522,0.1610241
0.14678,0.51756,0.10849,0.00033,0.22683,0.1486987
0.15436,0.55585,0.00293,0.08756,0.19931,0.1582138
0.30263,0.42752,0.00309,0.26303,0.00373,0.0990402
0.98461,0.00358,0.00464,0.00424,0.00293,0.0003772
0.00089,0.43292,0.26363,0.19813,0.10443,0.1317943
0.18500,0.47765,0.21117,0.12330,0.00289,0.1010330
0.00198,0.18609,0.31156,0.49757,0.00280,0.0280154
0.05160,0.52614,0.08855,0.08879,0.24493,0.1635937
0.56537,0.00012,0.00281,0.42736,0.00435,0.0005091
0.00462,0.49294,0.28171,0.00194,0.21879,0.1405799
0.31871,0.00174,0.67596,0.00144,0.00215,0.1540099
0.31769,0.00125,0.55659,0.12114,0.00333,0.1161100
0.24722,0.00380,0.62698,0.00245,0.11954,0.1217197
0.47432,0.00464,0.51439,0.00325,0.00340,0.1610076
0.00029,0.00312,0.00272,0.57350,0.42037,0.0004106
0.14419,0.47513,0.00374,0.14050,0.23643,0.1505935
0.00312,0.00022,0.38808,0.00081,0.60777,0.0218495
0.40312,0.00402,0.00152,0.00002,0.59132,0.0000003
0.37893,0.07055,0.54653,0.00350,0.00049,0.1152880
0.62032,0.00342,0.37348,0.00000,0.00278,0.1335326
0.00332,0.00209,0.43337,0.28565,0.27557,0.0258600
0.00346,0.31272,0.00339,0.00336,0.67706,0.0825593
0.19936,0.67491,0.00059,0.12457,0.00058,0.1206702
0.00403,0.54329,0.13091,0.09361,0.22816,0.1500243
0.16896,0.59097,0.00418,0.00388,0.23201,0.1545134
0.00006,0.34259,0.00037,0.44987,0.20711,0.0807570
0.00269,0.43016,0.16752,0.12632,0.27332,0.1388599
0.09686,0.55764,0.00272,0.00462,0.33816,0.1677186
0.71089,0.00216,0.00065,0.00080,0.28550,0.0000002
0.27320,0.00460,0.00143,0.71962,0.00115,0.0001927
0.00025,0.27316,0.44740,0.00248,0.27672,0.0954598
0.07178,0.55030,0.07157,0.00089,0.30546,0.1599840
0.00160,0.00089,0.00347,0.27151,0.72254,0.0000000
0.70816,0.28222,0.00199,0.00341,0.00422,0.0248494
0.44487,0.00349,0.54706,0.00023,0.00435,0.1653017
0.08924,0.56218,0.00499,0.15100,0.19259,0.1613828
0.45540,0.00223,0.45894,0.00034,0.08308,0.1220264
0.00177,0.62869,0.00110,0.18636,0.18208,0.1279309
0.00119,0.57072,0.21401,0.21403,0.00006,0.1049936
0.09287,0.55058,0.00227,0.06296,0.29131,0.1649366
0.19898,0.53243,0.00203,0.07594,0.19062,0.1575249
0.35997,0.00280,0.00011,0.34385,0.29327,0.0002309
0.25455,0.50489,0.00357,0.00133,0.23566,0.1425905
0.10343,0.50519,0.06205,0.16449,0.16483,0.1485770
0.32833,0.00450,0.27854,0.38444,0.00420,0.0374725
0.14048,0.61786,0.00033,0.00081,0.24052,0.1598760
0.00141,0.55122,0.44471,0.00007,0.00259,0.0667540
0.00311,0.28600,0.49568,0.21337,0.00184,0.0574665
0.00231,0.26259,0.00433,0.73007,0.00070,0.0103362
0.24808,0.00044,0.36882,0.00025,0.38241,0.0453693
0.08406,0.55582,0.08016,0.00443,0.27553,0.1626365
0.10200,0.54296,0.00314,0.05819,0.29371,0.1624119
0.10498,0.55284,0.00231,0.00363,0.33623,0.1607007
0.10116,0.54045,0.00296,0.06708,0.28835,0.1607059
0.15334,0.63312,0.00109,0.00488,0.20757,0.1542706
0.08170,0.55172,0.08708,0.00162,0.27788,0.1607912
0.10902,0.54583,0.00004,0.07205,0.27306,0.1616193
0.10303,0.50683,0.09643,0.00031,0.29340,0.1517729
0.09703,0.51457,0.00292,0.07310,0.31238,0.1577290
0.00406,0.98534,0.00272,0.00344,0.00445,0.0366412
0.21225,0.30527,0.00466,0.47467,0.00315,0.0550078
0.09396,0.46010,0.00363,0.08965,0.35266,0.1538497
0.56635,0.00381,0.30271,0.12456,0.00256,0.0912215
0.09859,0.54439,0.07550,0.07648,0.20505,0.1597816
0.09903,0.54675,0.00272,0.00485,0.34665,0.1653941
0.11579,0.46519,0.17014,0.00062,0.24826,0.1401752
0.10249,0.54602,0.00096,0.00417,0.34637,0.1644528
0.10185,0.54296,0.00139,0.00025,0.35354,0.1669458
0.00345,0.56897,0.12176,0.00175,0.30406,0.1602622
0.12054,0.61024,0.00063,0.00250,0.26608,0.1649700
0.00112,0.00444,0.25118,0.74089,0.00237,0.0103685
0.00020,0.56709,0.12946,0.00258,0.30068,0.1553316
0.09279,0.55311,0.00387,0.00007,0.35016,0.1655733
0.13384,0.51830,0.00117,0.16807,0.17862,0.1550441
0.00006,0.55326,0.00064,0.00149,0.44455,0.1444157
0.13230,0.45270,0.00351,0.00243,0.40906,0.1488253
0.00323,0.34750,0.00473,0.20301,0.44154,0.1064091
0.50762,0.26143,0.23015,0.00021,0.00059,0.0598511
0.14226,0.64234,0.00132,0.00377,0.21032,0.1578603
0.10094,0.56931,0.00244,0.06302,0.26429,0.1626996
0.10296,0.57140,0.00013,0.05815,0.26738,0.1657615
0.12861,0.61674,0.07597,0.00199,0.17669,0.1501500
0.00281,0.51236,0.12030,0.00180,0.36273,0.1494276
0.10814,0.58525,0.00229,0.00037,0.30395,0.1663639
0.32735,0.32163,0.00291,0.00119,0.34692,0.0787032
0.00045,0.54989,0.14359,0.08693,0.21914,0.1612309
0.00089,0.48690,0.11529,0.17736,0.21955,0.1468379
0.00161,0.00336,0.50791,0.48227,0.00485,0.0503834
0.13039,0.48654,0.00115,0.17253,0.20938,0.1530699
0.08101,0.56538,0.07004,0.07059,0.21298,0.1634133
0.00463,0.78724,0.00448,0.20027,0.00338,0.0676450
0.00310,0.59159,0.16073,0.00387,0.24071,0.1518119
0.09184,0.58372,0.00225,0.06104,0.26116,0.1627157
0.25860,0.00422,0.73064,0.00242,0.00412,0.1433183
0.08689,0.55404,0.07360,0.07050,0.21497,0.1596232
0.17298,0.55881,0.00314,0.06954,0.19552,0.1597951
0.53519,0.23904,0.00209,0.21896,0.00472,0.0340903
0.08468,0.57233,0.00240,0.06217,0.27842,0.1571960
0.18041,0.00480,0.00399,0.00357,0.80723,0.0000596
0.00072,0.52916,0.20593,0.06569,0.19850,0.1586832
0.09095,0.55533,0.08099,0.07920,0.19354,0.1536699
0.22970,0.76187,0.00407,0.00123,0.00314,0.1038417
0.13298,0.56911,0.00277,0.00305,0.29209,0.1637715
0.00383,0.72136,0.00020,0.00017,0.27444,0.1211244
0.00244,0.52385,0.09576,0.07983,0.29812,0.1546028
0.09558,0.53844,0.00199,0.06491,0.29907,0.1670184
0.09143,0.53769,0.00306,0.06690,0.30091,0.1622395
0.00147,0.53647,0.23109,0.00104,0.22993,0.1479023
0.09581,0.56793,0.07942,0.07862,0.17822,0.1536280
0.00241,0.00366,0.00033,0.80290,0.19070,0.0002188
0.00245,0.44842,0.15276,0.00385,0.39251,0.1419924
0.16056,0.57125,0.00059,0.00417,0.26343,0.1641634
0.18957,0.55732,0.00149,0.06404,0.18758,0.1559033
0.14076,0.46063,0.00146,0.16619,0.23095,0.1509492
0.11333,0.55565,0.00493,0.00492,0.32117,0.1664201
0.19542,0.33175,0.47038,0.00043,0.00202,0.0672964
0.08463,0.54003,0.00223,0.06610,0.30701,0.1656732
0.75017,0.00403,0.23642,0.00489,0.00448,0.0802769
0.10980,0.54245,0.00270,0.18679,0.15825,0.1529308
0.00404,0.10061,0.78554,0.00185,0.10796,0.0647560
0.00391,0.45848,0.19909,0.10857,0.22995,0.1507485
0.07579,0.46806,0.09764,0.20722,0.15129,0.1380963
0.00324,0.00357,0.22865,0.53827,0.22627,0.0069281
0.24121,0.59649,0.15535,0.00284,0.00412,0.0941574
0.00446,0.54967,0.00421,0.10663,0.33503,0.1475169
0.00451,0.57555,0.12805,0.08777,0.20412,0.1559098
0.11086,0.55547,0.00310,0.00459,0.32597,0.1663858
0.00074,0.49927,0.10445,0.17584,0.21969,0.1521220
0.16712,0.57478,0.00079,0.00377,0.25354,0.1618785
0.08269,0.55136,0.06032,0.00063,0.30501,0.1619622
0.11079,0.51453,0.00239,0.07082,0.30148,0.1552558
0.08528,0.54375,0.06375,0.00453,0.30268,0.1589647
0.10519,0.55198,0.00458,0.00029,0.33796,0.1642303
