ID	Elements	Generation	Position	Velocity	F_damp	F_b_best	F_h_best	F_g_best	F_b_worst	F_h_worst	F_g_worst	mut_prob	flip_prob	mut_rate	v_max	Activity	Distance	v_min
0	['Ag', 'Ir', 'Pd', 'Pt', 'Ru']	0	[0.8  0.05 0.05 0.05 0.05]	[-0.179  0.045  0.045  0.045  0.045]	0.63	1.11	1.0	1.76	0.08	0.11	0.02	0.13	0.54	0.19	0.2	0.027012725749533062	1.03	0.071
1	['Ag', 'Ir', 'Pd', 'Pt', 'Ru']	0	[0.05 0.8  0.05 0.05 0.05]	[ 0.045 -0.179  0.045  0.045  0.045]	0.63	1.11	1.0	1.76	0.08	0.11	0.02	0.13	0.54	0.19	0.2	0.007287080786378375	1.1	0.071
2	['Ag', 'Ir', 'Pd', 'Pt', 'Ru']	0	[0.05 0.05 0.8  0.05 0.05]	[ 0.045  0.045 -0.179  0.045  0.045]	0.63	1.11	1.0	1.76	0.08	0.11	0.02	0.13	0.54	0.19	0.2	0.1416984889241232	0.1	0.071
3	['Ag', 'Ir', 'Pd', 'Pt', 'Ru']	0	[0.05 0.05 0.05 0.8  0.05]	[ 0.045  0.045  0.045 -0.179  0.045]	0.63	1.11	1.0	1.76	0.08	0.11	0.02	0.13	0.54	0.19	0.2	0.031007911986536824	1.1	0.071
4	['Ag', 'Ir', 'Pd', 'Pt', 'Ru']	0	[0.05 0.05 0.05 0.05 0.8 ]	[ 0.045  0.045  0.045  0.045 -0.179]	0.63	1.11	1.0	1.76	0.08	0.11	0.02	0.13	0.54	0.19	0.2	0.015787588371734072	1.03	0.071
0	['Ag', 'Ir', 'Pd', 'Pt', 'Ru']	1	[0.662 0.086 0.062 0.095 0.095]	[-0.175  0.026  0.078  0.036  0.036]	0.63	1.11	1.0	1.76	0.08	0.11	0.02	0.13	0.54	0.19	0.2	0.026734550388219296	0.936	0.071
1	['Ag', 'Ir', 'Pd', 'Pt', 'Ru']	1	[0.059 0.648 0.175 0.059 0.059]	[ 0.037 -0.178  0.067  0.037  0.037]	0.63	1.11	1.0	1.76	0.08	0.11	0.02	0.13	0.54	0.19	0.2	0.012105440319264681	0.904	0.071
2	['Ag', 'Ir', 'Pd', 'Pt', 'Ru']	1	[0.068 0.019 0.777 0.068 0.068]	[ 0.001  0.06  -0.061  0.001  0.001]	0.63	1.11	1.0	1.76	0.08	0.11	0.02	0.13	0.54	0.19	0.2	0.14164516373060074	0.087	0.071
3	['Ag', 'Ir', 'Pd', 'Pt', 'Ru']	1	[0.053 0.046 0.193 0.659 0.049]	[ 0.003 -0.004  0.143 -0.14  -0.001]	0.63	1.11	1.0	1.76	0.08	0.11	0.02	0.13	0.54	0.19	0.2	0.02475330030636788	0.9	0.071
4	['Ag', 'Ir', 'Pd', 'Pt', 'Ru']	1	[0.052 0.065 0.178 0.052 0.653]	[ 0.031  0.041  0.073  0.031 -0.176]	0.63	1.11	1.0	1.76	0.08	0.11	0.02	0.13	0.54	0.19	0.2	0.03461647385926942	0.838	0.071
0	['Ag', 'Ir', 'Pd', 'Pt', 'Ru']	2	[0.542 0.068 0.22  0.085 0.085]	[-0.12  -0.018  0.158 -0.01  -0.01 ]	0.63	1.11	1.0	1.76	0.08	0.11	0.02	0.13	0.54	0.19	0.2	0.06133745119802215	0.737	0.071
1	['Ag', 'Ir', 'Pd', 'Pt', 'Ru']	2	[0.059 0.506 0.315 0.059 0.061]	[-0.    -0.142  0.14  -0.     0.002]	0.63	1.11	1.0	1.76	0.08	0.11	0.02	0.13	0.54	0.19	0.2	0.021958692886969777	0.706	0.071
2	['Ag', 'Ir', 'Pd', 'Pt', 'Ru']	2	[0.062 0.103 0.718 0.062 0.055]	[-0.006  0.115 -0.087 -0.006 -0.016]	0.63	1.11	1.0	1.76	0.08	0.11	0.02	0.13	0.54	0.19	0.2	0.11786450033311603	0.157	0.071
3	['Ag', 'Ir', 'Pd', 'Pt', 'Ru']	2	[0.054 0.037 0.338 0.52  0.051]	[ 0.001 -0.009  0.145 -0.138  0.002]	0.63	1.11	1.0	1.76	0.08	0.11	0.02	0.13	0.54	0.19	0.2	0.0390104873631586	0.7	0.071
4	['Ag', 'Ir', 'Pd', 'Pt', 'Ru']	2	[0.051 0.056 0.323 0.056 0.514]	[-0.001 -0.009  0.145  0.004 -0.138]	0.63	1.11	1.0	1.76	0.08	0.11	0.02	0.13	0.54	0.19	0.2	0.0448769478932849	0.638	0.071
0	['Ag', 'Ir', 'Pd', 'Pt', 'Ru']	3	[0.414 0.061 0.373 0.077 0.075]	[-0.128 -0.007  0.153 -0.008 -0.01 ]	0.63	1.11	1.0	1.76	0.08	0.11	0.02	0.13	0.54	0.19	0.2	0.08624485696250729	0.54	0.071
1	['Ag', 'Ir', 'Pd', 'Pt', 'Ru']	3	[0.057 0.367 0.458 0.06  0.058]	[-0.002 -0.139  0.143  0.001 -0.003]	0.63	1.11	1.0	1.76	0.08	0.11	0.02	0.13	0.54	0.19	0.2	0.04375287559167872	0.509	0.071
2	['Ag', 'Ir', 'Pd', 'Pt', 'Ru']	3	[0.06  0.045 0.718 0.114 0.063]	[-0.018  0.133 -0.144  0.037 -0.008]	0.63	1.11	1.0	1.76	0.08	0.11	0.02	0.13	0.54	0.19	0.2	0.1220430133265165	0.157	0.071
3	['Ag', 'Ir', 'Pd', 'Pt', 'Ru']	3	[0.054 0.039 0.478 0.378 0.051]	[ 0.     0.002  0.14  -0.142 -0.   ]	0.63	1.11	1.0	1.76	0.08	0.11	0.02	0.13	0.54	0.19	0.2	0.06292389843788947	0.503	0.071
4	['Ag', 'Ir', 'Pd', 'Pt', 'Ru']	3	[0.052 0.053 0.465 0.056 0.374]	[ 0.001 -0.003  0.143 -0.    -0.14 ]	0.63	1.11	1.0	1.76	0.08	0.11	0.02	0.13	0.54	0.19	0.2	0.065699880345409	0.442	0.071
0	['Ag', 'Ir', 'Pd', 'Pt', 'Ru']	4	[0.284 0.05  0.524 0.075 0.067]	[-0.13  -0.011  0.151 -0.002 -0.008]	0.63	1.11	1.0	1.76	0.08	0.11	0.02	0.13	0.54	0.19	0.2	0.10390113349466351	0.345	0.071
1	['Ag', 'Ir', 'Pd', 'Pt', 'Ru']	4	[0.002 0.451 0.537 0.009 0.001]	[-0.067  0.12   0.095 -0.096 -0.052]	0.63	1.11	1.0	1.76	0.08	0.11	0.02	0.13	0.54	0.19	0.2	0.04121034858189965	0.54	0.071
