0	[[0.2  0.2  0.3  1.2  1.7  0.6  1.2  0.4  0.1  0.01]]	[40, 40, 40, 40, 40]	200
0	[[0.5  1.6  0.   0.1  0.9  0.8  1.3  0.3  0.9  0.07]]	[40, 40, 40, 40, 40]	200
0	[[0.1  1.8  0.6  0.4  1.   1.4  0.7  0.8  0.6  0.13]]	[40, 40, 17, 40, 40]	177
0	[[1.   0.2  1.6  0.7  0.8  1.8  0.1  0.6  0.7  0.27]]	[40, 40, 40, 40, 13]	173
0	[[0.4  1.8  0.8  1.3  0.8  1.2  1.5  0.8  0.1  0.29]]	[40, 40, 40, 40, 40]	200
0	[[0.1  0.9  2.   0.7  1.   1.   2.   0.3  0.3  0.06]]	[40, 40, 40, 40, 40]	200
0	[[0.4  1.3  0.   1.3  0.3  1.5  0.   0.7  0.8  0.37]]	[40, 40, 40, 40, 40]	200
0	[[0.9  1.4  1.4  1.   1.2  0.7  1.1  0.4  0.7  0.45]]	[40, 40, 40, 30, 40]	190
0	[[0.2 0.  1.4 0.2 1.5 1.4 0.6 0.8 0.9 0.5]]	[40, 40, 40, 40, 40]	200
0	[[0.6  1.5  0.2  1.7  0.1  0.5  1.9  0.7  0.2  0.48]]	[11, 40, 40, 40, 40]	171
0	[[0.1 1.4 0.5 0.4 1.2 0.4 1.9 0.4 0.2 0.5]]	[40, 40, 40, 40, 40]	200
0	[[1.   1.5  2.   1.   0.   1.   1.2  0.8  0.4  0.47]]	[40, 40, 40, 21, 40]	181
0	[[1.   0.9  1.   1.6  0.2  1.5  0.9  0.8  0.1  0.14]]	[28, 22, 40, 9, 8]	107
0	[[0.8  0.2  1.   1.7  1.3  0.4  0.   0.4  0.4  0.04]]	[40, 40, 40, 40, 40]	200
0	[[1.   1.1  0.3  0.2  1.7  1.5  1.8  0.7  0.6  0.38]]	[40, 40, 40, 40, 40]	200
0	[[0.9 0.5 0.2 0.1 0.4 1.  0.9 0.2 0.8 0.2]]	[40, 40, 40, 40, 40]	200
