	Samples	Length Scale	MAE	R_square	RMSE
0	15	0.42	0.0546	0.755	0.0711
1	20	0.48	0.0505	0.818	0.0668
2	25	0.46	0.0578	0.768	0.0756
3	30	0.48	0.0526	0.811	0.0704
4	35	0.48	0.0515	0.819	0.07
5	40	0.52	0.044	0.864	0.0619
6	45	0.5	0.0466	0.849	0.0653
7	50	0.54	0.0425	0.873	0.0606
8	55	0.5	0.0468	0.846	0.0664
9	60	0.54	0.0418	0.878	0.0601
10	65	0.52	0.0436	0.866	0.0628
11	70	0.48	0.0487	0.824	0.0703
12	75	0.48	0.0485	0.824	0.0705
13	80	0.5	0.0461	0.844	0.0671
14	85	0.52	0.0482	0.833	0.0702
15	90	0.52	0.0501	0.815	0.0737
16	95	0.52	0.05	0.816	0.0731
17	100	0.52	0.0495	0.819	0.0725
