	Samples	Length Scale	MAE	R_square	RMSE
0	15	0.26	0.1002	-0.09	0.1365
1	20	0.44	0.0874	0.441	0.1166
2	25	0.48	0.057	0.742	0.0767
3	30	0.32	0.0992	0.496	0.1217
4	35	0.2	0.0854	0.216	0.1179
5	40	0.38	0.053	0.834	0.0701
6	45	0.28	0.0658	0.734	0.0859
7	50	0.34	0.0423	0.896	0.0564
8	55	0.36	0.0341	0.932	0.0471
9	60	0.28	0.0389	0.91	0.0527
10	65	0.32	0.0344	0.929	0.0474
11	70	0.3	0.0412	0.899	0.0568
12	75	0.32	0.0356	0.929	0.049
13	80	0.34	0.0332	0.943	0.0437
14	85	0.34	0.0343	0.941	0.0451
15	90	0.32	0.0344	0.94	0.045
16	95	0.34	0.0331	0.945	0.0433
17	100	0.34	0.032	0.951	0.0411
