     Ag,     Ir,     Pd,     Pt,     Ru, activity
0.52364,0.06539,0.13613,0.12124,0.15359,0.0550063
0.30111,0.23852,0.24139,0.05079,0.16819,0.0786543
0.00460,0.20820,0.78136,0.00141,0.00443,0.1273718
0.00094,0.00091,0.00333,0.99194,0.00287,0.0405408
0.00442,0.00420,0.98949,0.00139,0.00050,0.0688283
0.00208,0.26991,0.54532,0.18216,0.00053,0.1115102
0.00214,0.18416,0.59554,0.00260,0.21555,0.1506893
0.18072,0.00086,0.58865,0.00124,0.22853,0.1337332
0.00438,0.00276,0.44151,0.00447,0.54688,0.0823809
0.00011,0.00242,0.59638,0.19483,0.20627,0.1472085
0.00057,0.00110,0.30494,0.41112,0.28227,0.1061606
0.20874,0.00155,0.53902,0.24802,0.00266,0.1301306
0.39715,0.00019,0.00039,0.59974,0.00254,0.0261697
0.24163,0.14045,0.61137,0.00244,0.00412,0.1376677
0.06471,0.10308,0.58385,0.09220,0.15616,0.1536451
0.00077,0.98635,0.00408,0.00423,0.00457,0.0001702
0.00451,0.39187,0.00256,0.00153,0.59952,0.0000001
0.00282,0.00285,0.52456,0.46879,0.00098,0.0901166
0.00131,0.42556,0.00385,0.56831,0.00097,0.1442491
0.00431,0.31651,0.00280,0.49723,0.17914,0.0675508
0.00102,0.57965,0.00137,0.41640,0.00156,0.1427218
0.17279,0.44359,0.00373,0.37983,0.00007,0.0665939
0.53167,0.00202,0.46202,0.00193,0.00236,0.0591390
0.13566,0.00407,0.45468,0.18515,0.22044,0.1385494
0.40512,0.00020,0.00438,0.00487,0.58543,0.0181841
0.00043,0.53605,0.45889,0.00312,0.00152,0.0792392
0.00367,0.27123,0.43906,0.00217,0.28387,0.1122516
0.99190,0.00137,0.00041,0.00327,0.00306,0.0140459
0.00265,0.39997,0.15231,0.44403,0.00104,0.0989811
0.00383,0.04406,0.70531,0.00049,0.24631,0.1585210
0.00004,0.00091,0.00165,0.32265,0.67475,0.0092760
0.60119,0.38822,0.00370,0.00412,0.00277,0.0189188
0.08402,0.00464,0.69290,0.08916,0.12928,0.1360277
0.28284,0.00031,0.32693,0.38850,0.00142,0.0999632
0.00082,0.00463,0.67267,0.00001,0.32187,0.1587506
0.00387,0.07745,0.63093,0.00488,0.28288,0.1590887
0.18975,0.28711,0.51666,0.00259,0.00388,0.1271997
0.00036,0.70342,0.00098,0.00204,0.29319,0.0000003
0.28357,0.00097,0.00444,0.36942,0.34160,0.0263676
0.00376,0.00280,0.00125,0.72678,0.26540,0.0443623
0.00063,0.00084,0.58682,0.09891,0.31280,0.1470109
0.06029,0.12435,0.63528,0.00344,0.17663,0.1490928
0.27023,0.13877,0.43851,0.14802,0.00447,0.1208022
0.34559,0.00241,0.32409,0.00308,0.32484,0.0894401
0.00492,0.00070,0.00097,0.00484,0.98858,0.0000000
0.28920,0.70420,0.00064,0.00235,0.00361,0.0012320
0.00051,0.08100,0.69286,0.00270,0.22293,0.1541238
0.00037,0.00470,0.24480,0.74529,0.00483,0.0747614
0.00093,0.26436,0.00172,0.72860,0.00439,0.1161920
0.00345,0.08247,0.59223,0.07482,0.24703,0.1558183
0.00249,0.07839,0.61839,0.00430,0.29644,0.1572396
0.23665,0.00086,0.75843,0.00091,0.00316,0.1954087
0.00252,0.15426,0.39672,0.26823,0.17826,0.1155075
0.69427,0.00206,0.00225,0.29800,0.00342,0.0159637
0.36549,0.27859,0.00023,0.00122,0.35446,0.0062309
0.21844,0.50007,0.27607,0.00426,0.00116,0.0694115
0.15168,0.00467,0.22431,0.15964,0.45970,0.0612883
0.13616,0.15276,0.13200,0.57877,0.00030,0.0823306
0.28332,0.00004,0.70909,0.00340,0.00415,0.1649485
0.00472,0.54611,0.00328,0.26387,0.18202,0.0348242
0.70962,0.00380,0.00199,0.00495,0.27964,0.0517263
0.45781,0.22012,0.00144,0.31857,0.00207,0.0313991
0.09911,0.00143,0.36248,0.42364,0.11334,0.1181306
0.77067,0.00276,0.21719,0.00446,0.00491,0.0212410
0.46676,0.24655,0.27729,0.00490,0.00450,0.0834049
0.00035,0.22410,0.00312,0.29686,0.47557,0.0132879
0.12652,0.11434,0.39508,0.00290,0.36116,0.1092925
0.00289,0.69367,0.13212,0.16819,0.00313,0.0546517
0.17339,0.30385,0.30176,0.21770,0.00330,0.0979111
0.13395,0.12640,0.00237,0.00215,0.73513,0.0001930
0.17908,0.00028,0.00470,0.81349,0.00245,0.0474831
0.27399,0.00113,0.25028,0.29038,0.18421,0.0853926
0.18732,0.00390,0.79966,0.00479,0.00435,0.1937712
0.07784,0.13507,0.41967,0.36410,0.00332,0.1079243
0.00014,0.17158,0.21814,0.00411,0.60603,0.0158240
0.00309,0.53572,0.25866,0.00122,0.20131,0.0355823
0.23480,0.53026,0.00057,0.00105,0.23332,0.0006885
0.50010,0.00470,0.28369,0.20790,0.00360,0.0810784
0.24064,0.23951,0.00020,0.27396,0.24569,0.0290514
0.18562,0.00068,0.80863,0.00333,0.00174,0.2060918
0.00414,0.00032,0.00456,0.52577,0.46522,0.0247958
0.48673,0.00441,0.00458,0.16085,0.34341,0.0250518
0.38536,0.46588,0.00272,0.14598,0.00006,0.0222966
0.00100,0.00288,0.40656,0.20841,0.38115,0.1196449
0.00146,0.46367,0.34121,0.19156,0.00210,0.0827047
0.20171,0.00040,0.00102,0.61078,0.18609,0.0419869
0.00244,0.11746,0.17607,0.59329,0.11074,0.0855119
0.14757,0.00470,0.77981,0.06386,0.00407,0.1661628
0.00208,0.30882,0.20075,0.14823,0.34012,0.0390446
0.00233,0.00370,0.74680,0.24452,0.00265,0.0832701
0.32155,0.09802,0.44105,0.00117,0.13821,0.1181506
0.00339,0.35541,0.63710,0.00212,0.00197,0.1187045
0.80926,0.18150,0.00357,0.00195,0.00372,0.0395323
0.15962,0.29045,0.10937,0.00077,0.43978,0.0213408
0.00454,0.00125,0.19251,0.00199,0.79970,0.0057923
0.18152,0.00092,0.81668,0.00048,0.00040,0.2109871
0.62151,0.19941,0.00340,0.00123,0.17445,0.0261509
0.11520,0.32184,0.43346,0.00049,0.12903,0.1147675
0.55741,0.00358,0.24984,0.00041,0.18877,0.0724637
0.33856,0.15439,0.20233,0.30130,0.00343,0.0816414
0.00142,0.76723,0.00089,0.22715,0.00331,0.0980297
0.20447,0.00059,0.00292,0.17130,0.62072,0.0071102
0.00469,0.00180,0.17798,0.30063,0.51491,0.0412914
0.49126,0.00103,0.00114,0.36678,0.13979,0.0190601
0.00249,0.00297,0.50489,0.33187,0.15778,0.1361107
0.33000,0.00116,0.43744,0.12397,0.10744,0.1133201
0.08475,0.12303,0.16862,0.36300,0.26060,0.0748266
0.15178,0.04577,0.79559,0.00399,0.00288,0.1701031
0.49484,0.00413,0.11479,0.00299,0.38326,0.0522164
0.12833,0.66846,0.00113,0.19877,0.00330,0.0420326
0.16941,0.21610,0.00086,0.61270,0.00093,0.0702402
0.11768,0.11652,0.67192,0.08924,0.00463,0.1397071
0.19645,0.00210,0.19359,0.00417,0.60369,0.0379035
0.00017,0.15308,0.29828,0.54643,0.00203,0.0910543
0.00323,0.00056,0.19124,0.62299,0.18198,0.0839895
0.08352,0.00486,0.54951,0.00300,0.35912,0.1386535
0.12057,0.15502,0.42375,0.13496,0.16569,0.1314698
0.00457,0.28070,0.59257,0.00066,0.12150,0.1396915
0.00027,0.79512,0.19818,0.00208,0.00434,0.0135446
0.00255,0.49701,0.00015,0.09164,0.40866,0.0011253
0.79797,0.00243,0.00432,0.10251,0.09277,0.0437633
0.00337,0.31840,0.24637,0.31449,0.11737,0.0831772
0.17580,0.00275,0.81802,0.00159,0.00185,0.2016840
0.17158,0.00327,0.82250,0.00021,0.00244,0.1999890
