  n,     Ag,     Ir,     Pd,     Pt,     Ru,    act,   C**2,      l
  2,0.00000,0.12000,0.34500,0.53500,0.00000,0.13075,0.01008,0.94928
  3,0.01000,0.19500,0.41500,0.33000,0.05000,0.11932,0.00527,0.63878
  4,0.05500,0.09000,0.39000,0.36500,0.10000,0.11657,0.00385,0.59947
  5,0.03000,0.04000,0.47500,0.36000,0.09500,0.12061,0.00345,0.63704
  6,0.14500,0.01000,0.48500,0.36000,0.00000,0.12489,0.00317,0.64427
  7,0.16000,0.02000,0.55000,0.26500,0.00500,0.12463,0.00323,0.64476
  8,0.20000,0.00000,0.71000,0.09000,0.00000,0.14133,0.00408,0.62807
  9,0.38500,0.01000,0.12000,0.48500,0.00000,0.13593,0.01439,0.59706
  9,0.00000,0.00000,1.00000,0.00000,0.00000,0.24087,0.01439,0.59706
 10,0.00000,0.00000,1.00000,0.00000,0.00000,0.23280,0.01055,0.50136
 11,0.00000,0.00000,1.00000,0.00000,0.00000,0.23043,0.00887,0.48429
 12,0.00000,0.00000,1.00000,0.00000,0.00000,0.22850,0.00769,0.47202
 13,0.18000,0.00000,0.82000,0.00000,0.00000,0.20910,0.00651,0.23851
 13,0.10500,0.06500,0.49000,0.28000,0.06000,0.13653,0.00651,0.23851
 13,0.00000,0.00500,0.14000,0.85000,0.00500,0.06219,0.00651,0.23851
 14,0.17000,0.00000,0.82500,0.00000,0.00500,0.20610,0.00618,0.24088
 14,0.00500,0.00500,0.14000,0.84500,0.00500,0.06222,0.00618,0.24088
 15,0.17000,0.00000,0.83000,0.00000,0.00000,0.20839,0.00647,0.23137
 15,0.10000,0.06500,0.51000,0.30000,0.02500,0.13702,0.00647,0.23137
 15,0.00000,0.00500,0.14000,0.85000,0.00500,0.06222,0.00647,0.23137
 16,0.17500,0.00000,0.82500,0.00000,0.00000,0.20903,0.00636,0.23061
 16,0.00500,0.00500,0.14000,0.84500,0.00500,0.06226,0.00636,0.23061
 17,0.17500,0.00000,0.82500,0.00000,0.00000,0.20900,0.00609,0.23301
 17,0.00000,0.00500,0.14500,0.84500,0.00500,0.06226,0.00609,0.23301
 18,0.17500,0.00000,0.82500,0.00000,0.00000,0.20896,0.00574,0.23312
 18,0.00000,0.00500,0.14500,0.84500,0.00500,0.06225,0.00574,0.23312
 19,0.17500,0.00000,0.82500,0.00000,0.00000,0.20897,0.00571,0.23725
 20,0.17500,0.00000,0.82500,0.00000,0.00000,0.20892,0.00541,0.23651
 21,0.17500,0.00000,0.82500,0.00000,0.00000,0.20886,0.00535,0.24070
 22,0.17500,0.00000,0.82500,0.00000,0.00000,0.20884,0.00517,0.24208
 23,0.17500,0.00000,0.82500,0.00000,0.00000,0.20882,0.00506,0.24438
 24,0.17500,0.00000,0.82500,0.00000,0.00000,0.20883,0.00506,0.24858
 25,0.17500,0.00000,0.82500,0.00000,0.00000,0.20881,0.00495,0.25127
 26,0.17500,0.00000,0.82500,0.00000,0.00000,0.20877,0.00479,0.25246
 27,0.17500,0.00000,0.82500,0.00000,0.00000,0.20873,0.00459,0.25171
 28,0.17500,0.00000,0.82500,0.00000,0.00000,0.20872,0.00456,0.25559
 29,0.17500,0.00000,0.82500,0.00000,0.00000,0.20868,0.00439,0.25503
 30,0.17500,0.00000,0.82500,0.00000,0.00000,0.20864,0.00423,0.25457
 31,0.17500,0.00000,0.82500,0.00000,0.00000,0.20862,0.00412,0.25511
 32,0.17500,0.00000,0.82500,0.00000,0.00000,0.20858,0.00397,0.25430
 33,0.17500,0.00000,0.82500,0.00000,0.00000,0.20854,0.00385,0.25465
 34,0.17500,0.00000,0.82500,0.00000,0.00000,0.20851,0.00376,0.25563
 35,0.17500,0.00000,0.82500,0.00000,0.00000,0.20847,0.00367,0.25684
 36,0.17500,0.00000,0.82500,0.00000,0.00000,0.20844,0.00359,0.25758
 37,0.17500,0.00000,0.82500,0.00000,0.00000,0.20868,0.00387,0.25492
 37,0.12000,0.00000,0.50000,0.31500,0.06500,0.12998,0.00387,0.25492
 37,0.00000,0.00000,0.49000,0.06000,0.45000,0.12102,0.00387,0.25492
 38,0.17500,0.00000,0.82500,0.00000,0.00000,0.20873,0.00391,0.25789
 38,0.01500,0.00000,0.48500,0.21500,0.28500,0.14134,0.00391,0.25789
 39,0.17500,0.00000,0.82500,0.00000,0.00000,0.20871,0.00391,0.26035
 39,0.04500,0.00000,0.47500,0.19500,0.28500,0.14320,0.00391,0.26035
 40,0.17500,0.00000,0.82500,0.00000,0.00000,0.20873,0.00394,0.25971
 40,0.02500,0.06000,0.47000,0.12500,0.32000,0.14533,0.00394,0.25971
 40,0.00000,0.00000,0.00000,0.00000,1.00000,0.00045,0.00394,0.25971
 41,0.18000,0.00000,0.82000,0.00000,0.00000,0.20872,0.00401,0.25762
 41,0.04000,0.04500,0.47000,0.14500,0.30000,0.14431,0.00401,0.25762
 41,0.04000,0.04500,0.47000,0.14500,0.30000,0.14431,0.00401,0.25762
 42,0.18000,0.00000,0.82000,0.00000,0.00000,0.20866,0.00401,0.25920
 42,0.03500,0.04500,0.47000,0.15000,0.30000,0.14386,0.00401,0.25920
 43,0.18000,0.00000,0.82000,0.00000,0.00000,0.20863,0.00391,0.25921
 43,0.03500,0.04500,0.47000,0.15000,0.30000,0.14384,0.00391,0.25921
 44,0.18000,0.00000,0.82000,0.00000,0.00000,0.20863,0.00391,0.26295
 44,0.03500,0.04500,0.47500,0.15000,0.29500,0.14353,0.00391,0.26295
 45,0.18000,0.00000,0.82000,0.00000,0.00000,0.20864,0.00393,0.26733
 45,0.02500,0.04500,0.47500,0.15500,0.30000,0.14281,0.00393,0.26733
 46,0.18500,0.00000,0.81500,0.00000,0.00000,0.20867,0.00397,0.27231
 46,0.02000,0.03500,0.47500,0.19000,0.28000,0.14235,0.00397,0.27231
 47,0.18500,0.00000,0.81500,0.00000,0.00000,0.20868,0.00404,0.27348
 47,0.02000,0.01500,0.48000,0.21500,0.27000,0.14180,0.00404,0.27348
 47,0.02000,0.01500,0.48000,0.21500,0.27000,0.14180,0.00404,0.27348
 48,0.18500,0.00000,0.81500,0.00000,0.00000,0.20866,0.00403,0.27568
 48,0.02500,0.42000,0.12500,0.43000,0.00000,0.09472,0.00403,0.27568
 48,0.01000,0.05500,0.48000,0.20000,0.25500,0.14327,0.00403,0.27568
 49,0.18500,0.00000,0.81500,0.00000,0.00000,0.20866,0.00400,0.27740
 49,0.03000,0.41500,0.12000,0.43500,0.00000,0.09446,0.00400,0.27740
 49,0.01000,0.05500,0.48000,0.20000,0.25500,0.14309,0.00400,0.27740
 50,0.18500,0.00000,0.81500,0.00000,0.00000,0.20879,0.00428,0.28248
 50,0.00000,0.31500,0.00000,0.68500,0.00000,0.12650,0.00428,0.28248
 50,0.01500,0.05500,0.47500,0.20500,0.25000,0.14303,0.00428,0.28248
 51,0.18500,0.00000,0.81500,0.00000,0.00000,0.20875,0.00415,0.28081
 51,0.00000,0.31500,0.00000,0.68500,0.00000,0.12645,0.00415,0.28081
