  n,     Ag,     Ir,     Pd,     Pt,     Ru,    act,   C**2,      l
  2,0.00000,0.00000,0.17500,0.27500,0.55000,0.04386,0.00118,0.84312
  3,0.00000,0.00000,0.92500,0.00000,0.07500,0.16854,0.01233,0.88580
  4,0.00000,0.00000,0.65500,0.00000,0.34500,0.15811,0.00696,0.46408
  5,0.00000,0.00000,0.64500,0.00000,0.35500,0.15917,0.00607,0.49890
  6,0.00000,0.02500,0.63500,0.00000,0.34000,0.15941,0.00544,0.51633
  7,0.00000,0.02000,0.63000,0.04000,0.31000,0.15867,0.00486,0.51063
  8,0.00000,0.02500,0.63000,0.04500,0.30000,0.15875,0.00409,0.49610
  9,0.00000,0.05500,0.65000,0.05500,0.24000,0.15757,0.00359,0.45807
 10,0.00000,0.04500,0.65000,0.05500,0.25000,0.15761,0.00335,0.46026
 10,0.00000,0.04500,0.65000,0.05500,0.25000,0.15761,0.00335,0.46026
 11,0.00000,0.05500,0.65500,0.03500,0.25500,0.15648,0.00345,0.47349
 12,0.00000,0.42000,0.00000,0.58000,0.00000,0.15030,0.00518,0.45846
 12,0.00000,0.04500,0.65000,0.04500,0.26000,0.15712,0.00518,0.45846
 13,0.00000,0.37000,0.00000,0.63000,0.00000,0.15349,0.00547,0.43712
 13,0.00000,0.06000,0.65500,0.05000,0.23500,0.15994,0.00547,0.43712
 14,0.00000,0.46500,0.00000,0.53500,0.00000,0.15060,0.00526,0.42362
 14,0.00000,0.06500,0.65500,0.04500,0.23500,0.16020,0.00526,0.42362
 15,0.00000,0.42000,0.00000,0.58000,0.00000,0.14957,0.00506,0.37001
 15,0.00000,0.07500,0.64500,0.04500,0.23500,0.16306,0.00506,0.37001
 16,0.00000,0.42500,0.00000,0.57500,0.00000,0.14927,0.00554,0.39391
 16,0.00000,0.06500,0.65500,0.03000,0.25000,0.15781,0.00554,0.39391
 17,0.00000,0.42500,0.00000,0.57500,0.00000,0.14915,0.00550,0.40066
 17,0.00000,0.08000,0.66000,0.01000,0.25000,0.15801,0.00550,0.40066
 18,0.00000,0.42500,0.00000,0.57500,0.00000,0.14937,0.00564,0.39195
 18,0.00000,0.08000,0.66000,0.00500,0.25500,0.15800,0.00564,0.39195
