     Ag,     Ir,     Pd,     Pt,     Ru, activity
0.17312,0.18964,0.04812,0.28526,0.30386,0.0382400
0.02026,0.29390,0.15255,0.42516,0.10813,0.0844655
0.00191,0.22933,0.08862,0.67885,0.00128,0.0994839
0.00447,0.00042,0.43483,0.55805,0.00223,0.0890008
0.00299,0.98838,0.00297,0.00400,0.00167,0.0005218
0.00083,0.16851,0.20645,0.62179,0.00241,0.0882091
0.00152,0.00323,0.82447,0.17065,0.00013,0.0786885
0.00010,0.37084,0.00365,0.62236,0.00305,0.1387707
0.00470,0.48378,0.00384,0.50726,0.00043,0.1384001
0.13918,0.36147,0.00268,0.49543,0.00124,0.0839749
0.00411,0.00385,0.50820,0.00263,0.48120,0.1147997
0.29107,0.00007,0.51806,0.00096,0.18984,0.1124410
0.00463,0.00035,0.52790,0.19728,0.26984,0.1506212
0.00262,0.13104,0.56620,0.06991,0.23024,0.1544088
0.00406,0.03418,0.63188,0.06294,0.26693,0.1537629
0.00432,0.06302,0.57562,0.10815,0.24888,0.1558997
0.05335,0.04788,0.56935,0.09477,0.23466,0.1550160
0.00060,0.12868,0.61730,0.00194,0.25149,0.1565507
0.04310,0.10796,0.59929,0.00171,0.24794,0.1554604
0.00000,0.08971,0.59326,0.06136,0.25567,0.1543373
0.00445,0.22162,0.63535,0.00409,0.13449,0.1508792
0.00477,0.11699,0.61608,0.03560,0.22655,0.1593646
0.00200,0.12822,0.64886,0.00171,0.21921,0.1587716
0.99070,0.00282,0.00364,0.00264,0.00019,0.0114135
0.02643,0.11905,0.64129,0.00422,0.20901,0.1610466
0.04786,0.11404,0.64516,0.00085,0.19210,0.1617130
0.00128,0.00135,0.00176,0.00196,0.99365,0.0000000
0.05732,0.11411,0.64457,0.00428,0.17972,0.1520238
0.00172,0.12492,0.65260,0.00213,0.21864,0.1552195
0.02531,0.12779,0.62833,0.00011,0.21846,0.1546013
0.18806,0.23551,0.57035,0.00417,0.00191,0.1332616
0.03360,0.11516,0.61290,0.03724,0.20110,0.1523541
0.00013,0.13012,0.64259,0.00025,0.22690,0.1588040
0.00079,0.12718,0.64383,0.00149,0.22671,0.1581805
0.00213,0.12681,0.63981,0.00446,0.22678,0.1579750
0.00031,0.50757,0.48655,0.00201,0.00356,0.0891190
0.00140,0.12984,0.64103,0.00174,0.22600,0.1623624
0.24802,0.00009,0.49821,0.25073,0.00295,0.1287674
0.00021,0.12377,0.64505,0.00101,0.22997,0.1585829
0.00213,0.12338,0.64779,0.00041,0.22630,0.1540551
0.00024,0.13571,0.63174,0.00400,0.22830,0.1577805
0.00132,0.13446,0.63224,0.00382,0.22815,0.1587324
0.06903,0.00340,0.58908,0.13565,0.20284,0.1488135
0.00409,0.13978,0.62335,0.00137,0.23141,0.1566913
0.11515,0.00007,0.43911,0.22808,0.21758,0.1342019
0.00420,0.13507,0.62874,0.00044,0.23155,0.1610974
0.00051,0.00129,0.00138,0.54925,0.44757,0.0252473
0.54996,0.44212,0.00308,0.00321,0.00163,0.0138026
0.00193,0.52016,0.00080,0.00155,0.47557,0.0000001
0.00392,0.13908,0.62579,0.00347,0.22774,0.1575044
0.00417,0.13540,0.62856,0.00309,0.22878,0.1575413
0.00443,0.11566,0.62217,0.03977,0.21796,0.1566440
0.00070,0.13199,0.63466,0.00261,0.23004,0.1547364
0.00267,0.12736,0.63460,0.00328,0.23209,0.1547119
0.00442,0.13797,0.62930,0.00046,0.22784,0.1561604
0.00351,0.11082,0.62383,0.04199,0.21986,0.1562531
0.00169,0.12584,0.64350,0.00154,0.22742,0.1623412
0.00488,0.11736,0.64844,0.00178,0.22753,0.1593881
0.00314,0.11315,0.65077,0.00303,0.22991,0.1617467
0.27939,0.00047,0.71451,0.00214,0.00350,0.1710707
0.60646,0.00293,0.00472,0.38245,0.00345,0.0145752
0.46503,0.00008,0.00332,0.00096,0.53061,0.0246511
0.00232,0.00135,0.30160,0.22620,0.46853,0.0721621
0.27443,0.00151,0.72226,0.00113,0.00067,0.1773151
0.00457,0.21345,0.51681,0.26040,0.00477,0.1072473
0.25083,0.00098,0.74225,0.00420,0.00174,0.1882662
0.21326,0.00039,0.00083,0.78121,0.00430,0.0439774
0.72471,0.00360,0.00457,0.00034,0.26678,0.0573642
0.20921,0.00121,0.78136,0.00489,0.00333,0.1964262
0.17262,0.00089,0.82093,0.00382,0.00174,0.2046031
0.67038,0.00480,0.31703,0.00403,0.00376,0.0343322
0.20579,0.37845,0.24078,0.00290,0.17208,0.0665580
0.27055,0.72029,0.00446,0.00179,0.00291,0.0020992
0.35827,0.17891,0.26546,0.19308,0.00428,0.0893339
0.00475,0.62604,0.00279,0.22437,0.14206,0.0375965
0.00403,0.25080,0.31605,0.00085,0.42827,0.0540990
0.44374,0.25937,0.00065,0.00228,0.29397,0.0112790
0.27098,0.00058,0.25668,0.46806,0.00371,0.0902828
0.40768,0.00071,0.00040,0.30720,0.28401,0.0221465
