  n,     Ir,     Pd,     Pt,     Rh,     Ru,    act,   C**2,      l
  2,1.00000,0.00000,0.00000,0.00000,0.00000,-0.00157,0.00450,0.33906
  2,0.07000,0.29500,0.34500,0.00000,0.29000,0.09263,0.00450,0.33906
  3,0.00000,0.40000,0.42000,0.00000,0.18000,0.10766,0.00567,0.64573
  4,0.00000,0.71500,0.04000,0.00000,0.24500,0.12916,0.00757,0.85103
  5,0.00000,0.57500,0.11000,0.00000,0.31500,0.14385,0.00557,0.47982
  6,0.00000,0.55000,0.01500,0.00000,0.43500,0.15493,0.00669,0.57020
  7,0.00000,0.55000,0.01000,0.00000,0.44000,0.15501,0.00599,0.58055
  8,0.08500,0.53000,0.00000,0.00000,0.38500,0.15790,0.00556,0.53962
  9,0.08500,0.53000,0.00000,0.00000,0.38500,0.15820,0.00509,0.54606
 10,0.08500,0.53500,0.06000,0.00000,0.32000,0.15705,0.00398,0.48448
 11,0.09000,0.53500,0.05000,0.00000,0.32500,0.15669,0.00386,0.49448
 12,0.09000,0.53500,0.05000,0.00000,0.32500,0.15660,0.00362,0.49970
 13,0.09000,0.53500,0.05000,0.00000,0.32500,0.15664,0.00321,0.49227
 14,0.09500,0.54000,0.02500,0.02500,0.31500,0.15823,0.00296,0.46825
 15,0.09500,0.54000,0.02500,0.02500,0.31500,0.15843,0.00299,0.46378
 16,0.09500,0.54500,0.02000,0.02000,0.32000,0.15864,0.00290,0.45939
 17,0.09500,0.54500,0.02000,0.02000,0.32000,0.15854,0.00282,0.46498
 18,0.09500,0.54500,0.02000,0.02000,0.32000,0.15841,0.00278,0.46806
 19,0.09500,0.54500,0.02000,0.02000,0.32000,0.15842,0.00262,0.46714
 20,0.09500,0.54500,0.02000,0.02000,0.32000,0.15839,0.00253,0.46910
 21,0.08500,0.54000,0.03000,0.03000,0.31500,0.15858,0.00248,0.46358
 22,0.10000,0.55000,0.00500,0.05500,0.29000,0.16113,0.00246,0.44435
 23,1.00000,0.00000,0.00000,0.00000,0.00000,-0.00862,0.00264,0.43304
 23,0.11500,0.56000,0.00000,0.07000,0.25500,0.16251,0.00264,0.43304
 24,1.00000,0.00000,0.00000,0.00000,0.00000,0.00031,0.00247,0.42952
 24,0.11000,0.56000,0.00000,0.07000,0.26000,0.16253,0.00247,0.42952
 25,1.00000,0.00000,0.00000,0.00000,0.00000,0.00028,0.00238,0.42793
 25,0.11000,0.56000,0.00000,0.07000,0.26000,0.16257,0.00238,0.42793
 26,0.10500,0.56000,0.00000,0.08000,0.25500,0.16340,0.00251,0.40653
 27,0.12000,0.55500,0.00000,0.06500,0.26000,0.16349,0.00245,0.40062
 28,0.12000,0.55500,0.00000,0.06500,0.26000,0.16351,0.00243,0.40355
 29,0.29000,0.00000,0.71000,0.00000,0.00000,0.15013,0.00323,0.39166
 29,0.12500,0.56000,0.00000,0.06500,0.25000,0.16360,0.00323,0.39166
 30,0.37500,0.00000,0.62500,0.00000,0.00000,0.15632,0.00430,0.38913
 30,0.13000,0.56000,0.00000,0.06500,0.24500,0.16367,0.00430,0.38913
 31,0.41500,0.00000,0.58500,0.00000,0.00000,0.16426,0.00446,0.39757
 31,0.13000,0.56000,0.00000,0.06500,0.24500,0.16368,0.00446,0.39757
 32,0.42000,0.00000,0.58000,0.00000,0.00000,0.16363,0.00468,0.40463
 32,0.13000,0.56000,0.00000,0.06500,0.24500,0.16353,0.00468,0.40463
 33,0.42000,0.00000,0.58000,0.00000,0.00000,0.16352,0.00459,0.40703
 33,0.13000,0.56000,0.00000,0.06500,0.24500,0.16349,0.00459,0.40703
 34,0.42000,0.00000,0.58000,0.00000,0.00000,0.16348,0.00446,0.40812
 34,0.13000,0.56000,0.00000,0.06500,0.24500,0.16348,0.00446,0.40812
