	Samples	Length Scale	MAE	R_square	RMSE
0	15	0.36	0.0743	0.656	0.1043
1	20	0.38	0.0548	0.84	0.0825
2	25	0.46	0.055	0.856	0.0855
3	30	0.44	0.0616	0.832	0.0956
4	35	0.44	0.0583	0.844	0.0908
5	40	0.52	0.0584	0.839	0.0939
6	45	0.54	0.0599	0.831	0.0975
7	50	0.54	0.0603	0.829	0.098
8	55	0.52	0.0611	0.823	0.099
9	60	0.54	0.0625	0.821	0.1007
10	65	0.54	0.063	0.821	0.101
11	70	0.54	0.0632	0.819	0.1017
12	75	0.54	0.0602	0.826	0.0995
13	80	0.52	0.0602	0.828	0.0981
14	85	0.54	0.0606	0.822	0.1008
15	90	0.52	0.0604	0.824	0.0993
16	95	0.52	0.0609	0.822	0.0998
17	100	0.52	0.0607	0.824	0.0992
