	Samples	Length Scale	MAE	R_square	RMSE
0	15	0.14	0.1437	-3.17	0.1883
1	20	0.34	0.0674	0.758	0.0968
2	25	0.46	0.0499	0.861	0.0792
3	30	0.48	0.0533	0.854	0.082
4	35	0.46	0.0429	0.915	0.0656
5	40	0.5	0.0446	0.907	0.0696
6	45	0.52	0.0303	0.97	0.0407
7	50	0.54	0.028	0.976	0.0364
8	55	0.54	0.0284	0.976	0.037
9	60	0.5	0.0239	0.982	0.032
10	65	0.54	0.0268	0.978	0.0349
11	70	0.54	0.029	0.974	0.0384
12	75	0.54	0.0273	0.976	0.0365
13	80	0.54	0.0266	0.978	0.035
14	85	0.54	0.0265	0.978	0.0352
15	90	0.54	0.0255	0.98	0.0335
16	95	0.54	0.0253	0.98	0.0333
17	100	0.54	0.0246	0.981	0.0325
