	Samples	Length Scale	MAE	R_square	RMSE
0	15	0.54	0.056	0.808	0.0785
1	20	0.54	0.0413	0.899	0.0532
2	25	0.46	0.0359	0.893	0.0505
3	30	0.54	0.0404	0.894	0.0555
4	35	0.42	0.046	0.863	0.0635
5	40	0.44	0.0439	0.884	0.0599
6	45	0.54	0.0423	0.895	0.057
7	50	0.42	0.0372	0.919	0.0493
8	55	0.54	0.04	0.91	0.0534
9	60	0.42	0.0318	0.939	0.0425
10	65	0.54	0.0302	0.95	0.0386
11	70	0.44	0.0269	0.961	0.0336
12	75	0.48	0.0253	0.965	0.032
13	80	0.5	0.0255	0.964	0.0324
14	85	0.48	0.025	0.965	0.0318
15	90	0.5	0.0243	0.966	0.0314
16	95	0.4	0.0234	0.969	0.0299
17	100	0.46	0.0233	0.969	0.0299
