  n,     Ag,     Ir,     Pd,     Pt,     Ru,    act,   C**2,      l
  2,0.00000,0.09000,0.69000,0.22000,0.00000,0.11857,0.00834,0.83065
  3,0.00000,0.15500,0.53500,0.31000,0.00000,0.11344,0.00501,0.67959
  4,0.00000,0.15500,0.53000,0.31500,0.00000,0.11330,0.00393,0.70726
  5,0.00000,0.02000,0.51000,0.11000,0.36000,0.13047,0.00470,0.68134
  6,0.00000,0.05500,0.57000,0.10000,0.27500,0.13961,0.00429,0.53956
  7,0.05500,0.05500,0.57500,0.05500,0.26000,0.14295,0.00392,0.54330
  8,0.01500,0.11500,0.58000,0.02500,0.26500,0.14641,0.00359,0.54263
  9,0.00000,0.06000,0.65500,0.04000,0.24500,0.15819,0.00444,0.43055
 10,0.00000,0.07000,0.66000,0.02500,0.24500,0.15649,0.00430,0.44831
 11,0.00000,0.07000,0.65500,0.03500,0.24000,0.15647,0.00378,0.44077
 12,0.00000,0.06500,0.63500,0.07500,0.22500,0.15726,0.00358,0.44109
 13,0.00000,0.05000,0.63500,0.07500,0.24000,0.15676,0.00344,0.45001
 14,0.00000,0.05000,0.63500,0.07500,0.24000,0.15657,0.00326,0.45188
 15,0.00000,0.04000,0.64000,0.08000,0.24000,0.15613,0.00341,0.46622
 16,0.00000,0.04000,0.64000,0.08000,0.24000,0.15606,0.00340,0.46830
 17,0.00000,0.02000,0.66000,0.04000,0.28000,0.15473,0.00434,0.50755
 18,0.00000,0.02000,0.66000,0.04000,0.28000,0.15469,0.00396,0.50356
 19,0.00000,0.01500,0.65500,0.05500,0.27500,0.15462,0.00375,0.50822
 20,0.00000,0.01500,0.65500,0.05500,0.27500,0.15449,0.00355,0.49744
 21,0.00000,0.01000,0.65000,0.06000,0.28000,0.15463,0.00338,0.49556
 22,0.00000,0.01000,0.65000,0.06000,0.28000,0.15451,0.00323,0.49316
 23,0.00000,0.00500,0.65000,0.06500,0.28000,0.15446,0.00317,0.50040
 24,0.00000,0.43000,0.00000,0.57000,0.00000,0.13956,0.00420,0.47114
 24,0.00000,0.00500,0.65000,0.06000,0.28500,0.15529,0.00420,0.47114
 25,0.00000,0.51500,0.00000,0.48500,0.00000,0.14438,0.00440,0.47624
 25,0.00000,0.01500,0.65500,0.05000,0.28000,0.15536,0.00440,0.47624
 26,0.00000,0.51500,0.00000,0.48500,0.00000,0.14452,0.00413,0.46337
 26,0.00000,0.01000,0.65000,0.06000,0.28000,0.15522,0.00413,0.46337
 27,0.00000,0.51500,0.00000,0.48500,0.00000,0.14444,0.00403,0.46553
 27,0.00000,0.00500,0.65000,0.06000,0.28500,0.15534,0.00403,0.46553
 28,0.00000,0.51000,0.00000,0.49000,0.00000,0.14437,0.00479,0.44108
 28,0.00000,0.04500,0.66000,0.02000,0.27500,0.15545,0.00479,0.44108
 29,0.00000,0.51000,0.00000,0.49000,0.00000,0.14431,0.00477,0.44732
 29,0.00000,0.02500,0.65500,0.04000,0.28000,0.15566,0.00477,0.44732
 30,0.00000,0.50500,0.00000,0.49500,0.00000,0.14420,0.00517,0.44454
 30,0.00000,0.03000,0.65500,0.03500,0.28000,0.15526,0.00517,0.44454
 31,0.00000,0.50500,0.00000,0.49500,0.00000,0.14484,0.00551,0.43939
 31,0.00000,0.03500,0.65000,0.04000,0.27500,0.15501,0.00551,0.43939
 32,0.00000,0.50500,0.00000,0.49500,0.00000,0.14475,0.00564,0.44855
 32,0.00000,0.04000,0.65500,0.03000,0.27500,0.15488,0.00564,0.44855
