     Ag,     Ir,     Pd,     Pt,     Ru, activity
0.25383,0.16894,0.12812,0.29660,0.15251,0.0634371
0.00539,0.17264,0.49621,0.30183,0.02393,0.1125603
0.00441,0.00046,0.98593,0.00442,0.00479,0.0712360
0.00482,0.51707,0.47150,0.00298,0.00363,0.0897163
0.00245,0.00048,0.49658,0.07532,0.42517,0.1299542
0.00348,0.00120,0.12642,0.00069,0.86821,0.0007930
0.15516,0.04463,0.56721,0.00396,0.22904,0.1402123
0.00228,0.16437,0.57044,0.00221,0.26070,0.1459944
0.00359,0.27406,0.39143,0.00185,0.32906,0.0790494
0.00137,0.00660,0.67097,0.06156,0.25950,0.1541671
0.83285,0.00322,0.15455,0.00458,0.00479,0.0169304
0.00060,0.00149,0.58160,0.18909,0.22723,0.1518939
0.00232,0.23248,0.70495,0.00026,0.05999,0.1371845
0.00020,0.00097,0.00041,0.86603,0.13240,0.0474612
0.25641,0.00226,0.52738,0.21336,0.00060,0.1271118
0.24717,0.21708,0.53086,0.00228,0.00261,0.1335025
0.05286,0.08519,0.61719,0.09822,0.14654,0.1430806
0.00392,0.99358,0.00062,0.00091,0.00097,0.0000002
0.00360,0.00341,0.41051,0.58023,0.00224,0.0885382
0.43394,0.00417,0.00480,0.55377,0.00332,0.0254578
0.00299,0.00384,0.00369,0.50398,0.48550,0.0229089
0.49348,0.49624,0.00404,0.00130,0.00494,0.0098915
0.39217,0.00172,0.60455,0.00108,0.00048,0.1156103
0.00475,0.43664,0.00477,0.54938,0.00446,0.1383961
0.00163,0.59903,0.00032,0.39481,0.00421,0.1372383
0.51306,0.00275,0.00398,0.00077,0.47944,0.0298554
0.43527,0.00298,0.39404,0.00470,0.16300,0.0869647
0.14018,0.45192,0.00133,0.40407,0.00250,0.0773556
0.00403,0.00069,0.40247,0.33844,0.25437,0.1210103
0.00238,0.43144,0.15710,0.40902,0.00006,0.0933805
0.00450,0.41658,0.00230,0.41341,0.16322,0.0652885
