     Ir,     Pd,     Pt,     Rh,     Ru, activity
0.20298,0.21535,0.14027,0.20042,0.24098,0.0665499
0.20082,0.28759,0.23513,0.23523,0.04123,0.0780610
0.00348,0.00447,0.98630,0.00247,0.00328,0.0668259
0.00096,0.99389,0.00362,0.00114,0.00039,0.0323481
0.00049,0.00112,0.33137,0.66670,0.00032,0.0202772
0.27912,0.23576,0.47775,0.00314,0.00423,0.0718046
0.00076,0.41057,0.48357,0.08418,0.02092,0.0891949
0.00203,0.15648,0.54989,0.00078,0.29081,0.0730258
0.00060,0.50310,0.23413,0.00179,0.26039,0.1459220
0.00089,0.56611,0.02313,0.00347,0.40641,0.1437005
0.15350,0.55724,0.05424,0.00217,0.23285,0.1571301
0.44766,0.54164,0.00142,0.00452,0.00476,0.0938550
0.00287,0.58991,0.00066,0.18573,0.22084,0.1368807
0.03250,0.64053,0.08315,0.00047,0.24336,0.1517717
0.14586,0.58323,0.17046,0.00071,0.09974,0.1219977
0.14684,0.55687,0.00456,0.00400,0.28772,0.1627283
0.98821,0.00498,0.00399,0.00074,0.00208,0.0005157
0.00143,0.00141,0.00149,0.00080,0.99488,0.0000000
0.25615,0.43915,0.00004,0.00020,0.30446,0.1320894
0.45909,0.00381,0.00175,0.53089,0.00446,0.0004399
0.00439,0.48305,0.11090,0.09705,0.30462,0.1604864
0.00404,0.00402,0.69192,0.29933,0.00069,0.0647133
0.10497,0.53812,0.00454,0.07667,0.27571,0.1624281
0.00057,0.40263,0.00304,0.22678,0.36698,0.1199295
0.08239,0.49650,0.09811,0.00222,0.32078,0.1532530
0.60022,0.00030,0.39365,0.00271,0.00313,0.1401218
0.40444,0.00406,0.58753,0.00193,0.00204,0.1652381
0.39665,0.00079,0.49151,0.10607,0.00498,0.1234619
0.00242,0.35727,0.00097,0.63472,0.00461,0.0222801
0.00366,0.46701,0.18258,0.17486,0.17188,0.1388532
0.62173,0.00280,0.00272,0.00440,0.36836,0.0000054
0.17453,0.63972,0.00247,0.00338,0.17989,0.1484816
0.00009,0.00061,0.35447,0.00070,0.64413,0.0178990
0.23229,0.54147,0.00095,0.22157,0.00372,0.1104825
0.37934,0.00204,0.52413,0.00052,0.09397,0.1308429
0.00357,0.00435,0.00219,0.62964,0.36026,0.0006311
0.00338,0.34144,0.00133,0.00133,0.65252,0.0953846
0.00047,0.00417,0.39505,0.30746,0.29284,0.0225255
0.29492,0.00433,0.69642,0.00378,0.00054,0.1531804
0.00106,0.00477,0.00125,0.29517,0.69775,0.0002815
0.60405,0.23113,0.00126,0.15929,0.00427,0.0263494
0.13326,0.52790,0.00459,0.09526,0.23899,0.1666439
0.29841,0.00229,0.00113,0.00004,0.69812,0.0000001
0.00087,0.00326,0.77836,0.00216,0.21534,0.0792293
0.00294,0.41072,0.16816,0.00159,0.41658,0.1376566
0.13631,0.52573,0.00172,0.09651,0.23972,0.1656166
0.17165,0.50741,0.00378,0.11300,0.20417,0.1567000
0.07004,0.52478,0.06051,0.07086,0.27381,0.1655382
0.00385,0.26729,0.36245,0.36196,0.00446,0.0512829
0.00423,0.00008,0.00440,0.99083,0.00046,0.0000001
0.00042,0.65902,0.21068,0.12790,0.00198,0.0920821
0.08843,0.52603,0.00481,0.06213,0.31860,0.1616731
0.07495,0.52966,0.07173,0.07734,0.24632,0.1584240
0.43630,0.00007,0.56004,0.00079,0.00280,0.1617236
0.10852,0.57158,0.00024,0.00302,0.31664,0.1678432
0.12847,0.43751,0.00193,0.24998,0.18212,0.1356947
0.09953,0.50387,0.00308,0.05965,0.33388,0.1604589
0.00014,0.56521,0.10297,0.05422,0.27746,0.1586089
0.00323,0.70202,0.00303,0.00207,0.28966,0.1306323
0.32819,0.00372,0.00190,0.33809,0.32809,0.0008259
0.24946,0.25031,0.00354,0.49451,0.00218,0.0385829
0.25222,0.00328,0.32081,0.41985,0.00384,0.0337976
0.12282,0.56990,0.00213,0.07684,0.22831,0.1649037
0.19756,0.53270,0.00417,0.06955,0.19602,0.1591021
