  n,     Ir,     Pd,     Pt,     Rh,     Ru,    act,   C**2,      l
  2,0.19500,0.00000,0.31500,0.40500,0.08500,0.02488,0.00062,10.00000
  3,0.00000,1.00000,0.00000,0.00000,0.00000,0.03285,0.00087,4.00180
  4,0.00000,0.00000,1.00000,0.00000,0.00000,0.06706,0.00247,1.46889
  5,0.00000,0.00000,1.00000,0.00000,0.00000,0.06696,0.00215,1.50695
  6,0.00000,0.00000,1.00000,0.00000,0.00000,0.06694,0.00180,1.43370
  7,0.00000,0.00000,1.00000,0.00000,0.00000,0.06618,0.00296,2.08684
  8,0.00000,0.00000,1.00000,0.00000,0.00000,0.06628,0.00146,1.29237
  9,0.00000,0.94000,0.03500,0.00000,0.02500,0.03383,0.00110,0.62160
  9,0.00000,0.00000,0.76500,0.00000,0.23500,0.08084,0.00110,0.62160
 10,0.31500,0.00000,0.68500,0.00000,0.00000,0.14900,0.00255,0.38290
 10,0.00500,0.99500,0.00000,0.00000,0.00000,0.03402,0.00255,0.38290
 10,0.00000,0.00000,0.00000,1.00000,0.00000,0.00013,0.00255,0.38290
 11,0.40500,0.00000,0.59500,0.00000,0.00000,0.16140,0.00326,0.45921
 11,0.00000,1.00000,0.00000,0.00000,0.00000,0.03412,0.00326,0.45921
 11,0.00000,0.00000,0.00000,1.00000,0.00000,0.00034,0.00326,0.45921
 12,0.40000,0.00000,0.60000,0.00000,0.00000,0.16231,0.00341,0.36883
 12,0.00000,1.00000,0.00000,0.00000,0.00000,0.03419,0.00341,0.36883
 12,0.00000,0.00000,0.00000,1.00000,0.00000,0.00011,0.00341,0.36883
 13,0.40000,0.00000,0.60000,0.00000,0.00000,0.16274,0.00495,0.37241
 13,0.00000,0.55500,0.00000,0.00000,0.44500,0.14474,0.00495,0.37241
 13,0.00000,0.00000,0.00000,1.00000,0.00000,0.00005,0.00495,0.37241
 14,0.40000,0.00000,0.60000,0.00000,0.00000,0.16257,0.00490,0.39307
 14,0.00000,0.55000,0.00000,0.00000,0.45000,0.14479,0.00490,0.39307
 14,0.00000,0.00000,0.00000,1.00000,0.00000,0.00008,0.00490,0.39307
 15,0.40000,0.00000,0.60000,0.00000,0.00000,0.16285,0.00484,0.37401
 15,0.00000,0.58000,0.09500,0.00000,0.32500,0.15831,0.00484,0.37401
 15,0.00000,0.00000,0.00000,1.00000,0.00000,0.00006,0.00484,0.37401
 16,0.40000,0.00000,0.60000,0.00000,0.00000,0.16278,0.00467,0.37924
 16,0.00000,0.57500,0.08500,0.02500,0.31500,0.15885,0.00467,0.37924
 17,0.39500,0.00000,0.60500,0.00000,0.00000,0.16295,0.00455,0.36252
 17,0.10000,0.57500,0.03000,0.00000,0.29500,0.16799,0.00455,0.36252
 18,0.40000,0.00000,0.60000,0.00000,0.00000,0.16279,0.00470,0.38005
 18,0.11000,0.60500,0.00500,0.00000,0.28000,0.16780,0.00470,0.38005
 19,0.40000,0.00000,0.60000,0.00000,0.00000,0.16272,0.00471,0.38739
 19,0.12000,0.60000,0.01000,0.00500,0.26500,0.16718,0.00471,0.38739
