	Iteration	Pt	Pd	Au	Ru	Rh	Ir	Re	Os	Activity
0	1	0.1	0.24	0.3	0.01	0.09	0.05	0.02	0.19	-0.5486896642890875
1	2	0.15	0.12	0.07	0.22	0.23	0.06	0.06	0.09	-0.2445168108982761
2	3	0.08	0.04	0.02	0.08	0.31	0.33	0.04	0.1	-0.21258710736131514
3	4	0.36	0.29	0.01	0.02	0.01	0.22	0.09	0.0	-0.47153014572919405
4	5	0.02	0.01	0.4	0.11	0.17	0.17	0.04	0.08	-0.09099808409548973
5	6	0.26	0.11	0.0	0.15	0.1	0.1	0.02	0.26	-0.43759794190513324
6	7	0.01	0.05	0.13	0.06	0.22	0.02	0.44	0.07	-0.2132079489933607
7	8	0.25	0.04	0.11	0.13	0.09	0.12	0.2	0.06	-0.2903470792119409
8	9	0.36	0.35000000000000003	0.02	0.0	0.02	0.0	0.04	0.21	-0.755755097122456
9	10	0.16	0.31	0.25	0.0	0.04	0.04	0.0	0.2	-0.7105762414818322
10	11	0.12	0.31	0.29	0.0	0.06	0.0	0.0	0.22	-0.6598708177458834
11	12	0.09	0.27	0.29	0.0	0.09	0.12	0.06	0.08	-0.4162839708129509
12	13	0.28	0.34	0.22	0.0	0.0	0.02	0.0	0.14	-0.9384110529835679
13	14	0.11	0.38	0.12	0.0	0.0	0.0	0.0	0.39	-0.4786046172104868
14	15	0.54	0.25	0.0	0.0	0.0	0.17	0.0	0.04	-0.5723786616155073
15	16	0.32	0.41000000000000003	0.0	0.0	0.0	0.27	0.0	0.0	-0.443793683947421
16	17	0.41000000000000003	0.21	0.23	0.01	0.05	0.04	0.05	0.0	-0.8721147060366334
17	18	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	-0.3143840678787165
18	19	0.33	0.34	0.2	0.0	0.12	0.0	0.0	0.01	-0.8661983948714502
19	20	0.16	0.24	0.56	0.02	0.0	0.0	0.02	0.0	-0.5880012019642226
20	21	0.01	0.05	0.0	0.93	0.0	0.01	0.0	0.0	-0.17595351237731152
21	22	0.32	0.37	0.29	0.0	0.0	0.0	0.0	0.02	-0.9781347630552342
22	23	0.32	0.3	0.28	0.01	0.06	0.01	0.02	0.0	-0.9302985501920558
23	24	0.39	0.34	0.15	0.03	0.03	0.02	0.04	0.0	-0.8738653190972872
24	25	0.37	0.29	0.26	0.0	0.0	0.0	0.0	0.08	-1.0552001315655037
25	26	0.6900000000000001	0.02	0.11	0.17	0.0	0.0	0.01	0.0	-0.524654119040459
26	27	0.41000000000000003	0.26	0.3	0.0	0.0	0.0	0.03	0.0	-1.0143361880449304
27	28	0.0	0.0	0.0	0.0	0.12	0.8200000000000001	0.06	0.0	-0.34514249190744023
28	29	0.36	0.33	0.13	0.0	0.17	0.0	0.01	0.0	-0.7661947000521989
29	30	0.22	0.6	0.02	0.09	0.05	0.01	0.01	0.0	-0.45395487931210776
30	31	0.37	0.43	0.05	0.08	0.01	0.0	0.06	0.0	-0.7362005659665316
31	32	0.41000000000000003	0.33	0.26	0.0	0.0	0.0	0.0	0.0	-1.009650165660751
32	33	0.36	0.23	0.27	0.0	0.0	0.0	0.0	0.14	-1.0442194512561729
33	34	0.49	0.08	0.41000000000000003	0.0	0.0	0.02	0.0	0.0	-0.8230237395546327
34	35	0.18	0.0	0.02	0.05	0.0	0.0	0.75	0.0	-0.31938093599877326
35	36	0.56	0.0	0.04	0.0	0.4	0.0	0.0	0.0	-0.37199964492402193
36	37	0.21	0.27	0.28	0.24	0.0	0.0	0.0	0.0	-0.7148589302137488
37	38	0.38	0.33	0.27	0.0	0.0	0.01	0.0	0.01	-1.00894089709152
38	39	0.39	0.3	0.29	0.0	0.0	0.0	0.0	0.02	-1.0395202338517178
39	40	0.25	0.08	0.15	0.0	0.01	0.01	0.04	0.46	-0.5546838724404046
