	Iteration	Pt	Pd	Au	Ru	Rh	Ir	Re	Os	Activity
0	1	0.3	0.02	0.2	0.11	0.05	0.01	0.1	0.21	-0.5746605963936671
1	2	0.18	0.04	0.13	0.03	0.33	0.1	0.04	0.15	-0.33441190673813936
2	3	0.15	0.04	0.04	0.39	0.08	0.01	0.23	0.06	-0.2207024391006246
3	4	0.03	0.02	0.04	0.19	0.07	0.44	0.19	0.02	-0.17030612265748343
4	5	0.05	0.12	0.1	0.0	0.4	0.11	0.09	0.13	-0.2658026109252309
5	6	0.11	0.01	0.08	0.18	0.09	0.08	0.37	0.08	-0.19777637540987839
6	7	0.26	0.0	0.18	0.25	0.02	0.0	0.2	0.09	-0.4107715883205689
7	8	0.01	0.03	0.18	0.16	0.26	0.14	0.17	0.05	-0.07780001003843873
8	9	0.41000000000000003	0.03	0.21	0.05	0.01	0.0	0.05	0.24	-0.7219322354260159
9	10	0.28	0.0	0.27	0.12	0.05	0.0	0.05	0.23	-0.5726235148158236
10	11	0.34	0.03	0.16	0.09	0.05	0.0	0.12	0.21	-0.5999240299327844
11	12	0.38	0.0	0.26	0.13	0.0	0.0	0.07	0.16	-0.6710600633297924
12	13	0.3	0.04	0.19	0.04	0.0	0.0	0.02	0.41	-0.6008524799646074
13	14	0.41000000000000003	0.0	0.26	0.06	0.12	0.0	0.1	0.05	-0.5818257375738917
14	15	0.32	0.03	0.18	0.14	0.0	0.0	0.04	0.29	-0.6286038029132734
15	16	0.31	0.04	0.22	0.09	0.0	0.0	0.09	0.25	-0.6706798257718057
16	17	0.52	0.21	0.19	0.02	0.0	0.0	0.06	0.0	-0.8727247957033126
17	18	0.51	0.0	0.23	0.05	0.0	0.0	0.02	0.19	-0.7061550447946872
18	19	0.42	0.05	0.28	0.03	0.0	0.0	0.1	0.12	-0.7912790807732653
19	20	0.47000000000000003	0.0	0.15	0.1	0.0	0.0	0.0	0.28	-0.6289556108631811
20	21	0.43	0.04	0.28	0.09	0.0	0.0	0.0	0.16	-0.8016968831472382
21	22	0.87	0.0	0.0	0.0	0.0	0.02	0.1	0.01	-0.39199453277709556
22	23	0.43	0.0	0.2	0.0	0.0	0.0	0.05	0.32	-0.6462646328158084
23	24	0.12	0.81	0.06	0.0	0.0	0.01	0.0	0.0	-0.27826636561164153
24	25	0.32	0.2	0.32	0.01	0.02	0.08	0.05	0.0	-0.813277198358745
25	26	0.53	0.17	0.25	0.02	0.0	0.03	0.0	0.0	-0.8771481507082335
26	27	0.39	0.37	0.03	0.05	0.09	0.02	0.05	0.0	-0.6896777157297334
27	28	0.5	0.23	0.08	0.0	0.0	0.0	0.18	0.01	-0.7019092709701937
28	29	0.12	0.06	0.76	0.0	0.01	0.01	0.04	0.0	-0.304533301142297
29	30	0.47000000000000003	0.18	0.28	0.04	0.02	0.0	0.01	0.0	-0.9446151738926201
30	31	0.39	0.02	0.48	0.0	0.04	0.01	0.06	0.0	-0.6608723453578249
31	32	0.46	0.13	0.22	0.05	0.13	0.0	0.01	0.0	-0.7657729754472784
32	33	0.35000000000000003	0.4	0.17	0.06	0.01	0.0	0.01	0.0	-0.888437818969495
33	34	0.06	0.02	0.07	0.0	0.76	0.02	0.07	0.0	-0.293484161734552
34	35	0.0	0.05	0.0	0.0	0.0	0.9500000000000001	0.0	0.0	-0.34551603323316954
35	36	0.05	0.07	0.01	0.78	0.03	0.06	0.0	0.0	-0.13543394530811279
36	37	0.32	0.27	0.31	0.07	0.0	0.0	0.02	0.01	-0.9773283859439377
37	38	0.31	0.26	0.13	0.05	0.01	0.23	0.01	0.0	-0.5283948122920472
38	39	0.43	0.18	0.29	0.03	0.01	0.05	0.0	0.01	-0.9194482870403005
39	40	0.41000000000000003	0.17	0.29	0.06	0.0	0.03	0.03	0.01	-0.9203847960940879
40	41	0.02	0.49	0.12	0.3	0.0	0.02	0.05	0.0	-0.2641434095382448
41	42	0.16	0.31	0.46	0.07	0.0	0.0	0.0	0.0	-0.6673559514543799
42	43	0.37	0.24	0.25	0.12	0.0	0.01	0.01	0.0	-0.9486318727895753
43	44	0.42	0.23	0.27	0.01	0.0	0.04	0.03	0.0	-0.9501693010530037
44	45	0.03	0.13	0.03	0.0	0.0	0.08	0.72	0.01	-0.3054822384770458
