	Iteration	Pt	Pd	Au	Ru	Rh	Ir	Re	Os	Activity
0	1	0.0	0.01	0.35	0.06	0.11	0.03	0.26	0.18	-0.21119862869177397
1	2	0.1	0.3	0.18	0.06	0.18	0.04	0.09	0.05	-0.37398282239123065
2	3	0.08	0.22	0.16	0.02	0.02	0.31	0.04	0.15	-0.264674188343942
3	4	0.04	0.08	0.1	0.03	0.37	0.2	0.03	0.15	-0.2504870899901009
4	5	0.03	0.04	0.49	0.07	0.26	0.0	0.1	0.01	-0.1949541047158269
5	6	0.0	0.07	0.38	0.23	0.02	0.07	0.14	0.09	-0.1479409401003674
6	7	0.21	0.14	0.1	0.07	0.01	0.04	0.31	0.12	-0.43934816556247525
7	8	0.1	0.15	0.12	0.02	0.17	0.38	0.03	0.03	-0.21543856961862237
8	9	0.3	0.31	0.0	0.0	0.03	0.0	0.33	0.03	-0.48821712647985793
9	10	0.18	0.18	0.05	0.07	0.06	0.0	0.24	0.22	-0.4569487332258363
10	11	0.25	0.17	0.09	0.05	0.0	0.05	0.35000000000000003	0.04	-0.4364915088923079
11	12	0.26	0.18	0.09	0.05	0.0	0.03	0.34	0.05	-0.47422760011340037
12	13	0.24	0.14	0.07	0.06	0.0	0.03	0.37	0.09	-0.42212219415906255
13	14	0.2	0.11	0.13	0.09	0.0	0.03	0.3	0.14	-0.4453751347435121
14	15	0.23	0.46	0.11	0.0	0.1	0.0	0.09	0.01	-0.5953801844905953
15	16	0.35000000000000003	0.08	0.04	0.06	0.0	0.01	0.39	0.07	-0.4228662693818736
16	17	0.52	0.24	0.1	0.04	0.05	0.02	0.03	0.0	-0.7684436984459004
17	18	0.08	0.5700000000000001	0.02	0.24	0.08	0.0	0.01	0.0	-0.29721982900641786
18	19	0.39	0.48	0.03	0.02	0.01	0.02	0.05	0.0	-0.6739870640248075
19	20	0.3	0.33	0.18	0.02	0.01	0.0	0.15	0.01	-0.806128386236866
20	21	0.27	0.45	0.04	0.02	0.15	0.01	0.06	0.0	-0.5624422353250689
21	22	0.23	0.48	0.07	0.02	0.05	0.0	0.15	0.0	-0.541056766470785
22	23	0.32	0.46	0.03	0.01	0.11	0.0	0.06	0.01	-0.6256601797840511
23	24	0.29	0.5	0.08	0.0	0.04	0.03	0.05	0.01	-0.6324111200702603
24	25	0.46	0.22	0.31	0.0	0.0	0.0	0.01	0.0	-0.9964526673387788
25	26	0.41000000000000003	0.36	0.16	0.0	0.0	0.0	0.07	0.0	-0.8950145465847268
26	27	0.42	0.22	0.15	0.12	0.03	0.0	0.05	0.01	-0.8506641910082959
27	28	0.65	0.16	0.04	0.02	0.09	0.01	0.02	0.01	-0.5755253998656271
28	29	0.53	0.32	0.0	0.0	0.0	0.14	0.0	0.01	-0.5994133949671563
29	30	0.48	0.25	0.12	0.0	0.15	0.0	0.0	0.0	-0.7655317409083724
30	31	0.49	0.21	0.15	0.0	0.0	0.0	0.15	0.0	-0.7875391910091734
31	32	0.47000000000000003	0.39	0.14	0.0	0.0	0.0	0.0	0.0	-0.8738031647760547
32	33	0.39	0.02	0.0	0.58	0.01	0.0	0.0	0.0	-0.3139800549117748
33	34	0.46	0.06	0.47000000000000003	0.0	0.0	0.0	0.0	0.01	-0.7889580707426767
34	35	0.4	0.17	0.43	0.0	0.0	0.0	0.0	0.0	-0.9326577937695857
35	36	0.0	0.0	0.0	0.76	0.24	0.0	0.0	0.0	-0.13290654262973622
36	37	0.45	0.26	0.29	0.0	0.0	0.0	0.0	0.0	-1.0145447260423004
37	38	0.46	0.18	0.36	0.0	0.0	0.0	0.0	0.0	-0.9697490430833107
38	39	0.44	0.26	0.3	0.0	0.0	0.0	0.0	0.0	-1.0199716815712054
39	40	0.44	0.25	0.31	0.0	0.0	0.0	0.0	0.0	-1.0186665021567514
40	41	0.09	0.0	0.0	0.04	0.43	0.0	0.44	0.0	-0.2409212069931144
41	42	0.39	0.29	0.31	0.0	0.0	0.0	0.0	0.01	-1.0357847669106686
42	43	0.49	0.22	0.29	0.0	0.0	0.0	0.0	0.0	-0.9791314141102077
43	44	0.52	0.17	0.31	0.0	0.0	0.0	0.0	0.0	-0.9294542582333691
44	45	0.48	0.23	0.29	0.0	0.0	0.0	0.0	0.0	-0.9899942293884021
