	Iteration	Pt	Pd	Au	Ru	Rh	Ir	Re	Os	Activity
68	69	0.5	0.02	0.02	0.14	0.0	0.32	0.0	0.0	-0.35407015537967845
69	70	0.29	0.0	0.01	0.6	0.0	0.02	0.08	0.0	-0.2480376525404735
70	71	0.37	0.0	0.06	0.39	0.01	0.16	0.01	0.0	-0.32567922040206904
71	72	0.0	0.16	0.01	0.11	0.0	0.04	0.67	0.01	-0.2951979423609791
72	73	0.05	0.0	0.12	0.03	0.04	0.06	0.7000000000000001	0.0	-0.2973106374999304
73	74	0.36	0.13	0.27	0.05	0.0	0.15	0.0	0.04	-0.7042050323978787
74	75	0.06	0.53	0.03	0.04	0.0	0.03	0.26	0.05	-0.2640819672272819
75	76	0.01	0.05	0.0	0.04	0.01	0.78	0.01	0.1	-0.3411218187796579
76	77	0.49	0.0	0.12	0.02	0.01	0.07	0.29	0.0	-0.43694936041446925
77	78	0.03	0.29	0.0	0.51	0.03	0.0	0.14	0.0	-0.2519378069023547
78	79	0.0	0.03	0.09	0.04	0.04	0.0	0.0	0.8	-0.3283987677752183
79	80	0.26	0.22	0.24	0.1	0.0	0.0	0.1	0.08	-0.8395127535362372
80	81	0.01	0.02	0.22	0.02	0.65	0.0	0.08	0.0	-0.2878948366307677
81	82	0.01	0.04	0.0	0.1	0.25	0.01	0.5700000000000001	0.02	-0.25193123316082333
82	83	0.0	0.01	0.0	0.01	0.16	0.01	0.79	0.02	-0.3113766704025825
83	84	0.0	0.0	0.0	0.45	0.03	0.42	0.08	0.02	-0.1810729960843362
84	85	0.31	0.34	0.01	0.28	0.03	0.01	0.02	0.0	-0.6351434777567464
85	86	0.26	0.02	0.0	0.23	0.44	0.0	0.05	0.0	-0.2439472434854244
86	87	0.35000000000000003	0.44	0.11	0.0	0.08	0.01	0.0	0.01	-0.7685628893425136
87	88	0.03	0.0	0.05	0.01	0.23	0.65	0.01	0.02	-0.3250864572165077
88	89	0.41000000000000003	0.23	0.19	0.07	0.03	0.01	0.01	0.05	-0.9445446680031604
89	90	0.01	0.07	0.04	0.52	0.32	0.01	0.0	0.03	-0.12513999235525444
90	91	0.03	0.24	0.38	0.0	0.16	0.01	0.0	0.18	-0.42554341185078537
91	92	0.64	0.0	0.16	0.09	0.01	0.06	0.01	0.03	-0.5590832779361221
92	93	0.32	0.17	0.4	0.01	0.08	0.01	0.01	0.0	-0.8344274879378275
93	94	0.34	0.19	0.0	0.01	0.32	0.02	0.12	0.0	-0.4063887414051525
94	95	0.23	0.42	0.01	0.0	0.0	0.24	0.01	0.09	-0.4282232364928359
95	96	0.34	0.26	0.25	0.08	0.0	0.0	0.01	0.06	-1.007225967437975
96	97	0.18	0.21	0.24	0.28	0.01	0.0	0.0	0.08	-0.6243673730918756
97	98	0.25	0.38	0.02	0.01	0.03	0.01	0.04	0.26	-0.6305830649206418
98	99	0.56	0.01	0.29	0.03	0.03	0.0	0.01	0.07	-0.7191562211867387
99	100	0.15	0.0	0.36	0.05	0.0	0.01	0.04	0.39	-0.44692773748032555
100	101	0.19	0.07	0.22	0.0	0.0	0.0	0.4	0.12	-0.4235880175673584
101	102	0.24	0.2	0.25	0.0	0.08	0.01	0.01	0.21	-0.8242697262154175
102	103	0.33	0.25	0.21	0.01	0.0	0.02	0.15	0.03	-0.8423173840342388
103	104	0.39	0.19	0.2	0.05	0.0	0.05	0.07	0.05	-0.8644922224595482
104	105	0.45	0.12	0.24	0.03	0.06	0.0	0.04	0.06	-0.857026144935743
105	106	0.3	0.26	0.35000000000000003	0.04	0.0	0.01	0.03	0.01	-0.9439632110330778
106	107	0.29	0.17	0.3	0.01	0.04	0.0	0.08	0.11	-0.8778183213283846
107	108	0.28	0.22	0.21	0.05	0.04	0.01	0.0	0.19	-0.8914260187540699
108	109	0.37	0.18	0.25	0.01	0.06	0.01	0.07	0.05	-0.8923180664534087
109	110	0.47000000000000003	0.19	0.23	0.01	0.01	0.04	0.03	0.02	-0.9020366298680489
110	111	0.42	0.23	0.22	0.04	0.02	0.02	0.05	0.0	-0.9197327709540759
111	112	0.28	0.31	0.27	0.03	0.0	0.0	0.09	0.02	-0.9043684620567121
112	113	0.29	0.16	0.41000000000000003	0.04	0.01	0.01	0.07	0.01	-0.8105471724922619
113	114	0.33	0.17	0.31	0.03	0.03	0.05	0.04	0.04	-0.8565550831922031
114	115	0.36	0.26	0.18	0.1	0.02	0.02	0.06	0.0	-0.8627992839879108
115	116	0.33	0.25	0.22	0.1	0.07	0.0	0.0	0.03	-0.8982528729702228
116	117	0.29	0.24	0.23	0.13	0.04	0.04	0.02	0.01	-0.7942323817872221
117	118	0.31	0.2	0.3	0.02	0.13	0.01	0.01	0.02	-0.8283543574250016
118	119	0.45	0.16	0.24	0.11	0.0	0.01	0.03	0.0	-0.887190494694716
119	120	0.39	0.28	0.3	0.02	0.0	0.0	0.0	0.01	-1.0343054189894811
120	121	0.47000000000000003	0.16	0.23	0.0	0.03	0.01	0.05	0.05	-0.899909195760761
121	122	0.38	0.2	0.16	0.0	0.02	0.01	0.01	0.22	-0.9084310484465326
