	Iteration	Pt	Pd	Au	Ru	Rh	Ir	Re	Os	Activity
0	1	0.06	0.21	0.39	0.05	0.0	0.09	0.12	0.08	-0.3654107975061306
1	2	0.14	0.18	0.24	0.07	0.08	0.03	0.16	0.1	-0.4855796861646525
2	3	0.17	0.12	0.09	0.22	0.01	0.14	0.24	0.01	-0.25991858957444397
3	4	0.18	0.28	0.05	0.0	0.13	0.06	0.03	0.27	-0.521247383065235
4	5	0.08	0.03	0.18	0.29	0.15	0.1	0.04	0.13	-0.14333302738124146
5	6	0.02	0.22	0.06	0.09	0.22	0.09	0.04	0.26	-0.24253183143800444
6	7	0.34	0.38	0.04	0.04	0.05	0.05	0.0	0.1	-0.7305105621488289
7	8	0.07	0.01	0.2	0.29	0.29	0.07	0.05	0.02	-0.10668478519182292
8	9	0.5700000000000001	0.14	0.12	0.05	0.04	0.0	0.07	0.01	-0.7014286894677644
9	10	0.25	0.49	0.09	0.05	0.02	0.0	0.09	0.01	-0.6186714956763437
10	11	0.42	0.37	0.01	0.0	0.06	0.08	0.0	0.06	-0.681039731123527
11	12	0.33	0.37	0.08	0.0	0.02	0.0	0.0	0.2	-0.8254829493538949
12	13	0.34	0.38	0.07	0.0	0.02	0.0	0.0	0.19	-0.8169051900301358
13	14	0.31	0.38	0.03	0.09	0.06	0.06	0.0	0.07	-0.6669785436212681
14	15	0.36	0.41000000000000003	0.11	0.0	0.0	0.0	0.0	0.12	-0.8725286907369996
15	16	0.37	0.43	0.12	0.0	0.08	0.0	0.0	0.0	-0.7969622716183105
16	17	0.48	0.03	0.38	0.0	0.0	0.09	0.02	0.0	-0.6954497626003106
17	18	0.0	0.0	0.0	0.0	0.04	0.96	0.0	0.0	-0.3453995732952354
18	19	0.37	0.29	0.21	0.1	0.01	0.01	0.01	0.0	-0.9438498629173395
19	20	0.8300000000000001	0.0	0.07	0.09	0.01	0.0	0.0	0.0	-0.43448674291153566
20	21	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	-0.3293818373872497
21	22	0.61	0.0	0.0	0.0	0.0	0.0	0.39	0.0	-0.3839038911528115
22	23	0.68	0.0	0.0	0.0	0.32	0.0	0.0	0.0	-0.3753542938160656
23	24	0.6900000000000001	0.0	0.0	0.0	0.0	0.31	0.0	0.0	-0.37394617855205403
24	25	0.42	0.31	0.26	0.01	0.0	0.0	0.0	0.0	-1.0144343662486266
25	26	0.4	0.25	0.19	0.16	0.0	0.0	0.0	0.0	-0.9189769417673064
26	27	0.44	0.39	0.11	0.0	0.06	0.0	0.0	0.0	-0.8289336332662824
27	28	0.42	0.3	0.21	0.0	0.0	0.0	0.07	0.0	-0.9519957164974522
