  n,     Ag,     Ir,     Pd,     Pt,     Ru,    act,   C**2,      l
  2,0.36500,0.05000,0.01500,0.37000,0.20000,0.03353,0.00062,0.44595
  3,0.31500,0.06500,0.01500,0.36500,0.24000,0.03186,0.00042,0.42477
  4,0.22000,0.00000,0.00000,0.54500,0.23500,0.03661,0.00045,0.47276
  5,0.06000,0.00000,0.42500,0.51500,0.00000,0.11418,0.00351,0.49241
  6,0.09000,0.00000,0.35500,0.52000,0.03500,0.10427,0.00246,0.43230
  7,0.09000,0.00000,0.36000,0.50500,0.04500,0.10398,0.00216,0.43553
  8,0.18500,0.00000,0.38500,0.40500,0.02500,0.11651,0.00229,0.40454
  9,0.18000,0.00000,0.38000,0.41500,0.02500,0.11536,0.00212,0.40772
 10,0.13000,0.00000,0.41500,0.32500,0.13000,0.12471,0.00238,0.41581
 11,0.12000,0.02000,0.42000,0.31000,0.13000,0.12571,0.00239,0.42819
 12,0.11500,0.00000,0.50500,0.12000,0.26000,0.14369,0.00385,0.49089
 13,0.11500,0.00000,0.50000,0.13000,0.25500,0.14279,0.00361,0.49440
 14,0.14000,0.00000,0.50500,0.12000,0.23500,0.14238,0.00348,0.50362
 15,0.11500,0.00000,0.50500,0.13000,0.25000,0.14083,0.00354,0.51616
 16,0.10000,0.00000,0.55500,0.11000,0.23500,0.14241,0.00351,0.52586
 17,0.09500,0.00000,0.57500,0.11000,0.22000,0.14481,0.00339,0.50599
 18,0.09000,0.00000,0.59500,0.10000,0.21500,0.14638,0.00343,0.50318
 19,0.08500,0.00000,0.58500,0.11000,0.22000,0.14590,0.00330,0.49646
 20,0.07500,0.00000,0.59000,0.11000,0.22500,0.14637,0.00331,0.49541
 21,0.07500,0.00000,0.59000,0.11000,0.22500,0.14637,0.00291,0.48414
 22,0.05000,0.00000,0.60500,0.10500,0.24000,0.14731,0.00302,0.48986
 23,0.00000,0.00000,0.68000,0.04000,0.28000,0.15243,0.00365,0.50919
 24,0.00000,0.00000,0.68500,0.03000,0.28500,0.15264,0.00368,0.51569
 25,0.00000,0.00000,0.70000,0.00500,0.29500,0.15391,0.00376,0.51638
 26,0.00000,0.00000,0.69000,0.02500,0.28500,0.15275,0.00364,0.51525
 27,0.00000,0.07500,0.67000,0.00000,0.25500,0.15644,0.00351,0.48384
 28,0.00000,0.09500,0.66000,0.00000,0.24500,0.15819,0.00358,0.48271
 29,0.00000,0.09000,0.66500,0.00000,0.24500,0.15755,0.00354,0.48386
 30,0.00000,0.10000,0.66000,0.00000,0.24000,0.15940,0.00355,0.47347
 31,0.00000,0.10000,0.66000,0.00000,0.24000,0.15943,0.00354,0.47786
 32,0.00000,0.10000,0.66500,0.00000,0.23500,0.15917,0.00353,0.47933
 33,0.00000,0.10000,0.66500,0.00000,0.23500,0.15920,0.00353,0.47922
 34,0.00000,0.10000,0.66500,0.00000,0.23500,0.15937,0.00353,0.47800
 35,0.00000,0.09500,0.66500,0.00000,0.24000,0.15907,0.00352,0.47938
 36,0.00000,0.10000,0.66500,0.00000,0.23500,0.15919,0.00353,0.47935
 37,0.00000,0.10000,0.66500,0.00000,0.23500,0.15919,0.00353,0.47987
 38,0.00000,0.09500,0.67500,0.00000,0.23000,0.15949,0.00355,0.47885
 39,0.00000,0.09500,0.66000,0.00000,0.24500,0.15917,0.00343,0.47490
 40,0.00000,0.10000,0.65000,0.00000,0.25000,0.15971,0.00341,0.47083
 41,0.00000,0.10000,0.64500,0.00000,0.25500,0.15991,0.00342,0.47050
 42,0.00000,0.10000,0.65000,0.00000,0.25000,0.15960,0.00341,0.47209
 43,0.00000,0.10000,0.65000,0.00000,0.25000,0.15951,0.00341,0.47310
 44,0.00000,0.10000,0.65500,0.00000,0.24500,0.15946,0.00342,0.47393
 45,0.00000,0.10000,0.65500,0.00000,0.24500,0.15948,0.00342,0.47385
 46,0.00000,0.10000,0.65000,0.00000,0.25000,0.15954,0.00341,0.47316
 47,0.00000,0.10000,0.65000,0.00000,0.25000,0.15953,0.00341,0.47338
 48,0.00000,0.10000,0.65500,0.00000,0.24500,0.15946,0.00341,0.47405
 49,0.00000,0.10000,0.65500,0.00000,0.24500,0.15930,0.00342,0.47505
 50,0.00000,0.09500,0.66000,0.00000,0.24500,0.15926,0.00337,0.47092
 51,0.00000,0.09500,0.66000,0.00000,0.24500,0.15920,0.00339,0.47315
 52,0.00000,0.09500,0.66000,0.00000,0.24500,0.15924,0.00338,0.47202
 53,0.00000,0.09500,0.66000,0.00000,0.24500,0.15930,0.00336,0.46991
 54,0.00000,0.09000,0.66000,0.00000,0.25000,0.15948,0.00332,0.46410
 55,0.00000,0.09500,0.66000,0.00000,0.24500,0.15933,0.00337,0.46999
 56,0.00000,0.09000,0.66000,0.00000,0.25000,0.15944,0.00334,0.46605
 57,0.00000,0.09500,0.65500,0.00000,0.25000,0.15942,0.00318,0.46929
 58,0.00000,0.09000,0.66000,0.00000,0.25000,0.15949,0.00316,0.46684
 59,0.00000,0.09000,0.66000,0.00000,0.25000,0.15947,0.00316,0.46734
 60,0.00000,0.09500,0.66000,0.00000,0.24500,0.15933,0.00320,0.47280
 61,0.00000,0.09500,0.65500,0.00000,0.25000,0.15948,0.00315,0.46771
 62,0.00000,0.09500,0.65500,0.00000,0.25000,0.15963,0.00313,0.46338
 63,0.00000,0.09000,0.65500,0.00000,0.25500,0.15967,0.00312,0.46210
 64,0.00000,0.09500,0.65500,0.00000,0.25000,0.15965,0.00313,0.46277
 65,0.00000,0.09500,0.65500,0.00000,0.25000,0.15967,0.00312,0.46240
 66,0.00000,0.09500,0.65500,0.00000,0.25000,0.15959,0.00314,0.46451
 67,0.00000,0.09500,0.65500,0.00000,0.25000,0.15956,0.00315,0.46534
 68,0.00000,0.09000,0.66000,0.00000,0.25000,0.15972,0.00311,0.45938
 69,0.00000,0.09000,0.66000,0.00000,0.25000,0.15963,0.00313,0.46275
 70,0.00000,0.09500,0.65500,0.00000,0.25000,0.15953,0.00315,0.46652
 71,0.00000,0.09500,0.65500,0.00000,0.25000,0.15952,0.00315,0.46697
 72,0.00000,0.09500,0.65500,0.00000,0.25000,0.15950,0.00316,0.46791
 73,0.00000,0.09500,0.65500,0.00000,0.25000,0.15957,0.00315,0.46609
 74,0.00000,0.09500,0.65500,0.00000,0.25000,0.15952,0.00315,0.46704
 75,0.00000,0.09500,0.65500,0.00000,0.25000,0.15952,0.00316,0.46777
 76,0.00000,0.09500,0.65500,0.00000,0.25000,0.15948,0.00317,0.46935
 77,0.00000,0.09500,0.65500,0.00000,0.25000,0.15950,0.00318,0.47172
 78,0.00000,0.09500,0.65500,0.00000,0.25000,0.15949,0.00318,0.47187
 79,0.00000,0.10000,0.65500,0.00000,0.24500,0.15956,0.00325,0.47975
 80,0.00000,0.10500,0.65000,0.00000,0.24500,0.15969,0.00329,0.48189
 81,0.00000,0.11000,0.64500,0.00000,0.24500,0.15981,0.00338,0.48912
 82,0.00000,0.11000,0.64500,0.00000,0.24500,0.15979,0.00336,0.48842
 83,0.00000,0.10500,0.65000,0.00000,0.24500,0.15968,0.00328,0.48295
 84,0.00000,0.10500,0.65000,0.00000,0.24500,0.15973,0.00329,0.48333
 85,0.00000,0.10000,0.65500,0.00000,0.24500,0.15962,0.00321,0.47631
 86,0.00000,0.10000,0.65000,0.00000,0.25000,0.15973,0.00319,0.47429
 87,0.00000,0.10500,0.65000,0.00000,0.24500,0.15970,0.00331,0.49834
 88,0.00000,0.10500,0.65000,0.00000,0.24500,0.15971,0.00331,0.49836
 89,0.00000,0.10500,0.65000,0.00000,0.24500,0.15969,0.00331,0.49839
 90,0.00000,0.10500,0.65000,0.00000,0.24500,0.15968,0.00309,0.49755
 91,0.00000,0.10500,0.65000,0.00000,0.24500,0.15961,0.00308,0.49636
 92,0.00000,0.10500,0.65000,0.00000,0.24500,0.15959,0.00308,0.49655
 93,0.00000,0.10500,0.65000,0.00000,0.24500,0.15958,0.00308,0.49668
 94,0.00000,0.10500,0.65000,0.00000,0.24500,0.15961,0.00307,0.49606
 95,0.00000,0.10500,0.65000,0.00000,0.24500,0.15962,0.00307,0.49572
 96,0.00000,0.51500,0.00000,0.48500,0.00000,0.14303,0.00479,0.47346
 96,0.00000,0.10000,0.65500,0.00000,0.24500,0.15972,0.00479,0.47346
 97,0.00000,0.44500,0.00000,0.55500,0.00000,0.14943,0.00505,0.46320
 97,0.00000,0.10000,0.65500,0.00000,0.24500,0.15976,0.00505,0.46320
 98,0.00000,0.47000,0.00000,0.53000,0.00000,0.14586,0.00488,0.46302
 98,0.00000,0.10500,0.65500,0.00000,0.24000,0.15976,0.00488,0.46302
 99,0.00000,0.47000,0.00000,0.53000,0.00000,0.14585,0.00475,0.46195
 99,0.00000,0.10000,0.65500,0.00000,0.24500,0.15976,0.00475,0.46195
100,0.00000,0.47000,0.00000,0.53000,0.00000,0.14600,0.00472,0.45012
100,0.00000,0.10000,0.65500,0.00000,0.24500,0.15966,0.00472,0.45012
101,0.00000,0.47000,0.00000,0.53000,0.00000,0.14599,0.00472,0.45113
101,0.00000,0.10000,0.65500,0.00000,0.24500,0.15966,0.00472,0.45113
102,0.00000,0.47500,0.00000,0.52500,0.00000,0.14589,0.00512,0.43192
102,0.00000,0.10000,0.65500,0.00000,0.24500,0.15967,0.00512,0.43192
103,0.00000,0.47500,0.00000,0.52500,0.00000,0.14589,0.00473,0.42537
103,0.00000,0.10000,0.65500,0.00000,0.24500,0.15967,0.00473,0.42537
104,0.00000,0.47500,0.00000,0.52500,0.00000,0.14588,0.00445,0.42070
104,0.00000,0.10000,0.65500,0.00000,0.24500,0.15966,0.00445,0.42070
105,0.00000,0.47500,0.00000,0.52500,0.00000,0.14583,0.00432,0.42133
105,0.00000,0.10000,0.65500,0.00000,0.24500,0.15966,0.00432,0.42133
106,0.00000,0.47500,0.00000,0.52500,0.00000,0.14583,0.00433,0.42155
106,0.00000,0.10000,0.65500,0.00000,0.24500,0.15969,0.00433,0.42155
107,0.00000,0.47500,0.00000,0.52500,0.00000,0.14582,0.00441,0.42537
107,0.00000,0.10000,0.65500,0.00000,0.24500,0.15969,0.00441,0.42537
108,0.00000,0.47500,0.00000,0.52500,0.00000,0.14581,0.00443,0.42640
108,0.00000,0.10000,0.65500,0.00000,0.24500,0.15969,0.00443,0.42640
109,0.00000,0.47500,0.00000,0.52500,0.00000,0.14581,0.00449,0.42706
109,0.00000,0.10000,0.65500,0.00000,0.24500,0.15969,0.00449,0.42706
110,0.00000,0.47500,0.00000,0.52500,0.00000,0.14581,0.00449,0.42744
110,0.00000,0.10000,0.65500,0.00000,0.24500,0.15966,0.00449,0.42744
111,0.00000,0.47500,0.00000,0.52500,0.00000,0.14581,0.00449,0.42745
111,0.00000,0.10000,0.65500,0.00000,0.24500,0.15965,0.00449,0.42745
112,0.00000,0.47500,0.00000,0.52500,0.00000,0.14580,0.00447,0.42765
112,0.00000,0.10000,0.65500,0.00000,0.24500,0.15966,0.00447,0.42765
113,0.00000,0.47500,0.00000,0.52500,0.00000,0.14581,0.00447,0.42732
113,0.00000,0.10000,0.65500,0.00000,0.24500,0.15972,0.00447,0.42732
114,0.00000,0.47500,0.00000,0.52500,0.00000,0.14581,0.00447,0.42721
114,0.00000,0.10000,0.65500,0.00000,0.24500,0.15973,0.00447,0.42721
115,0.00000,0.47500,0.00000,0.52500,0.00000,0.14580,0.00449,0.42832
115,0.00000,0.10000,0.65500,0.00000,0.24500,0.15968,0.00449,0.42832
116,0.00000,0.47500,0.00000,0.52500,0.00000,0.14579,0.00450,0.42924
116,0.00000,0.10000,0.65500,0.00000,0.24500,0.15959,0.00450,0.42924
117,0.00000,0.47500,0.00000,0.52500,0.00000,0.14579,0.00450,0.42930
117,0.00000,0.10000,0.65500,0.00000,0.24500,0.15958,0.00450,0.42930
118,0.00000,0.47500,0.00000,0.52500,0.00000,0.14579,0.00449,0.42908
118,0.00000,0.10000,0.65500,0.00000,0.24500,0.15962,0.00449,0.42908
119,0.00000,0.47500,0.00000,0.52500,0.00000,0.14579,0.00450,0.42919
119,0.00000,0.10000,0.65500,0.00000,0.24500,0.15964,0.00450,0.42919
120,0.00000,0.47500,0.00000,0.52500,0.00000,0.14579,0.00451,0.42945
120,0.00000,0.10000,0.65500,0.00000,0.24500,0.15964,0.00451,0.42945
121,0.00000,0.47500,0.00000,0.52500,0.00000,0.14579,0.00450,0.42936
121,0.00000,0.10000,0.65500,0.00000,0.24500,0.15960,0.00450,0.42936
122,0.00000,0.47500,0.00000,0.52500,0.00000,0.14578,0.00449,0.42958
122,0.00000,0.10000,0.65500,0.00000,0.24500,0.15960,0.00449,0.42958
123,0.00000,0.47500,0.00000,0.52500,0.00000,0.14578,0.00449,0.42964
123,0.00000,0.10000,0.65500,0.00000,0.24500,0.15955,0.00449,0.42964
124,0.00000,0.47500,0.00000,0.52500,0.00000,0.14578,0.00450,0.42966
124,0.00000,0.10000,0.65500,0.00000,0.24500,0.15960,0.00450,0.42966
125,0.00000,0.47500,0.00000,0.52500,0.00000,0.14576,0.00451,0.43233
125,0.00000,0.10000,0.65500,0.00000,0.24500,0.15961,0.00451,0.43233
126,0.00000,0.47500,0.00000,0.52500,0.00000,0.14570,0.00439,0.43312
126,0.00000,0.10000,0.65500,0.00000,0.24500,0.15960,0.00439,0.43312
127,0.00000,0.47000,0.00000,0.53000,0.00000,0.14566,0.00447,0.43735
127,0.00000,0.10000,0.65500,0.00000,0.24500,0.15961,0.00447,0.43735
128,0.00000,0.47000,0.00000,0.53000,0.00000,0.14566,0.00446,0.43697
128,0.00000,0.09500,0.65500,0.00000,0.25000,0.15965,0.00446,0.43697
129,0.00000,0.47000,0.00000,0.53000,0.00000,0.14566,0.00446,0.43706
129,0.00000,0.09500,0.65500,0.00000,0.25000,0.15963,0.00446,0.43706
130,0.00000,0.47000,0.00000,0.53000,0.00000,0.14566,0.00447,0.43752
130,0.00000,0.10000,0.65500,0.00000,0.24500,0.15961,0.00447,0.43752
131,0.00000,0.48000,0.00000,0.52000,0.00000,0.14525,0.00478,0.44287
131,0.00000,0.10000,0.65500,0.00000,0.24500,0.15961,0.00478,0.44287
132,0.00000,0.48000,0.00000,0.52000,0.00000,0.14525,0.00478,0.44286
132,0.00000,0.10000,0.65500,0.00000,0.24500,0.15964,0.00478,0.44286
133,0.00000,0.47500,0.00000,0.52500,0.00000,0.14533,0.00461,0.44170
133,0.00000,0.10000,0.65500,0.00000,0.24500,0.15963,0.00461,0.44170
134,0.00000,0.47500,0.00000,0.52500,0.00000,0.14533,0.00459,0.44117
134,0.00000,0.09500,0.65500,0.00000,0.25000,0.15969,0.00459,0.44117
135,0.00000,0.47500,0.00000,0.52500,0.00000,0.14533,0.00459,0.44124
135,0.00000,0.09500,0.65500,0.00000,0.25000,0.15969,0.00459,0.44124
136,0.00000,0.47500,0.00000,0.52500,0.00000,0.14526,0.00465,0.44657
136,0.00000,0.10000,0.65000,0.00000,0.25000,0.15968,0.00465,0.44657
137,0.00000,0.47500,0.00000,0.52500,0.00000,0.14526,0.00465,0.44651
137,0.00000,0.10000,0.65000,0.00000,0.25000,0.15970,0.00465,0.44651
138,0.00000,0.47500,0.00000,0.52500,0.00000,0.14527,0.00465,0.44604
138,0.00000,0.09500,0.65000,0.00000,0.25500,0.15976,0.00465,0.44604
139,0.00000,0.47500,0.00000,0.52500,0.00000,0.14527,0.00465,0.44608
139,0.00000,0.09500,0.65000,0.00000,0.25500,0.15977,0.00465,0.44608
140,0.00000,0.47500,0.00000,0.52500,0.00000,0.14527,0.00464,0.44577
140,0.00000,0.09500,0.65000,0.00000,0.25500,0.15986,0.00464,0.44577
141,0.00000,0.47500,0.00000,0.52500,0.00000,0.14527,0.00464,0.44573
141,0.00000,0.09500,0.65000,0.00000,0.25500,0.15987,0.00464,0.44573
142,0.00000,0.47500,0.00000,0.52500,0.00000,0.14527,0.00465,0.44598
142,0.00000,0.09500,0.65000,0.00000,0.25500,0.15984,0.00465,0.44598
143,0.00000,0.47500,0.00000,0.52500,0.00000,0.14527,0.00465,0.44590
143,0.00000,0.09500,0.65000,0.00000,0.25500,0.15986,0.00465,0.44590
144,0.00000,0.47500,0.00000,0.52500,0.00000,0.14527,0.00465,0.44623
