  n,     Ir,     Pd,     Pt,     Rh,     Ru,    act,   C**2,      l
  2,0.00000,0.38000,0.16000,0.18000,0.28000,0.12613,0.00921,0.54189
  3,0.00000,0.38500,0.17500,0.19000,0.25000,0.12584,0.00686,0.60182
  4,0.00000,0.35500,0.21500,0.15000,0.28000,0.12576,0.00520,0.60319
  5,0.01000,0.52500,0.13500,0.08500,0.24500,0.14240,0.00520,0.42874
  6,0.00000,0.60500,0.17000,0.00000,0.22500,0.16323,0.00614,0.52547
  7,0.01500,0.56000,0.08000,0.05500,0.29000,0.16163,0.00461,0.40884
  8,0.06500,0.57000,0.04500,0.03500,0.28500,0.16602,0.00446,0.42222
  9,0.11500,0.53000,0.06000,0.04000,0.25500,0.16804,0.00398,0.39628
 10,0.09500,0.55500,0.03000,0.09500,0.22500,0.16858,0.00377,0.38231
 10,0.00000,0.00000,0.00000,1.00000,0.00000,-0.00661,0.00377,0.38231
 11,0.09000,0.55000,0.04000,0.07500,0.24500,0.16413,0.00360,0.39692
 11,0.00000,0.00000,0.00000,1.00000,0.00000,-0.00539,0.00360,0.39692
 12,0.09500,0.55500,0.04000,0.06500,0.24500,0.16305,0.00373,0.40777
 12,0.00000,0.00000,0.00000,1.00000,0.00000,-0.00708,0.00373,0.40777
 13,0.09500,0.55500,0.04000,0.06500,0.24500,0.16299,0.00355,0.41199
 13,0.00000,0.00000,0.00000,1.00000,0.00000,-0.00788,0.00355,0.41199
 14,0.11500,0.54500,0.01500,0.07000,0.25500,0.16392,0.00366,0.41574
 14,0.00000,0.00000,0.00000,1.00000,0.00000,-0.00820,0.00366,0.41574
 15,0.11500,0.54500,0.01500,0.07000,0.25500,0.16413,0.00367,0.41681
 15,0.00000,0.00000,0.00000,1.00000,0.00000,-0.00836,0.00367,0.41681
 16,0.11000,0.54500,0.02000,0.07000,0.25500,0.16375,0.00360,0.41705
 16,0.00000,0.00000,0.00000,1.00000,0.00000,-0.00856,0.00360,0.41705
 17,0.10500,0.54500,0.02500,0.07500,0.25000,0.16443,0.00347,0.41024
 17,0.00000,0.00000,0.00000,1.00000,0.00000,-0.00730,0.00347,0.41024
 18,0.11000,0.54500,0.02000,0.07000,0.25500,0.16412,0.00354,0.41435
 18,0.00000,0.00000,0.00000,1.00000,0.00000,-0.00778,0.00354,0.41435
 19,0.11000,0.54500,0.02000,0.07000,0.25500,0.16410,0.00353,0.41452
 19,0.00000,0.00000,0.00000,1.00000,0.00000,-0.00782,0.00353,0.41452
 20,0.11000,0.54500,0.02000,0.07000,0.25500,0.16408,0.00352,0.41468
 20,0.00000,0.00000,0.00000,1.00000,0.00000,-0.00786,0.00352,0.41468
 21,0.11500,0.54500,0.01500,0.07000,0.25500,0.16376,0.00363,0.41939
 21,0.00000,0.00000,0.00000,1.00000,0.00000,-0.00871,0.00363,0.41939
 22,0.13000,0.54500,0.00000,0.06500,0.26000,0.16448,0.00379,0.41925
 22,0.00000,0.00000,0.00000,1.00000,0.00000,-0.00775,0.00379,0.41925
 23,0.10500,0.55000,0.01500,0.07500,0.25500,0.16413,0.00347,0.41026
 23,0.00000,0.00000,0.00000,1.00000,0.00000,-0.00690,0.00347,0.41026
 24,0.10500,0.55000,0.02000,0.07000,0.25500,0.16392,0.00345,0.41228
 24,0.00000,0.00000,0.00000,1.00000,0.00000,-0.00682,0.00345,0.41228
 25,0.11000,0.55000,0.01000,0.07500,0.25500,0.16382,0.00378,0.41557
 25,0.00000,0.00000,0.00000,1.00000,0.00000,-0.00655,0.00378,0.41557
 26,0.11000,0.55000,0.01000,0.07500,0.25500,0.16385,0.00379,0.41538
 26,0.00000,0.00000,0.00000,1.00000,0.00000,-0.00654,0.00379,0.41538
 27,0.11500,0.55500,0.00000,0.07500,0.25500,0.16391,0.00393,0.41702
 27,0.00000,0.00000,0.00000,1.00000,0.00000,-0.00750,0.00393,0.41702
 28,0.11500,0.55000,0.00500,0.07500,0.25500,0.16381,0.00391,0.41773
 28,0.00000,0.00000,0.00000,1.00000,0.00000,-0.00756,0.00391,0.41773
 29,0.11000,0.55000,0.01000,0.07500,0.25500,0.16380,0.00362,0.41749
 29,0.00000,0.00000,0.00000,1.00000,0.00000,-0.00700,0.00362,0.41749
 30,0.11500,0.55500,0.00000,0.07500,0.25500,0.16422,0.00368,0.41464
 30,0.00000,0.00000,0.00000,1.00000,0.00000,-0.00660,0.00368,0.41464
 31,0.11500,0.55500,0.00000,0.07500,0.25500,0.16417,0.00367,0.41520
 31,0.00000,0.00000,0.00000,1.00000,0.00000,-0.00665,0.00367,0.41520
 32,0.11500,0.55500,0.00000,0.07500,0.25500,0.16415,0.00333,0.41057
 32,0.00000,0.00000,0.00000,1.00000,0.00000,-0.00592,0.00333,0.41057
 33,0.11500,0.55500,0.00000,0.07500,0.25500,0.16395,0.00331,0.41233
 33,0.00000,0.00000,0.00000,1.00000,0.00000,-0.00616,0.00331,0.41233
 34,0.11000,0.55000,0.01000,0.07500,0.25500,0.16392,0.00316,0.41602
 34,0.00000,0.01000,0.89500,0.00000,0.09500,0.07406,0.00316,0.41602
 34,0.00000,0.00000,0.00000,1.00000,0.00000,-0.00711,0.00316,0.41602
 35,0.11000,0.55000,0.01000,0.07500,0.25500,0.16396,0.00314,0.41536
 35,0.00000,0.01000,0.89500,0.00000,0.09500,0.07405,0.00314,0.41536
 35,0.00000,0.00000,0.00000,1.00000,0.00000,-0.00690,0.00314,0.41536
 36,0.12000,0.55500,0.00000,0.07500,0.25000,0.16374,0.00331,0.42192
 36,0.00000,0.00000,0.90500,0.00000,0.09500,0.07412,0.00331,0.42192
 36,0.00000,0.00000,0.00000,1.00000,0.00000,-0.00883,0.00331,0.42192
 37,0.12000,0.55500,0.00000,0.07500,0.25000,0.16382,0.00332,0.42167
 37,0.00000,0.00000,0.90500,0.00000,0.09500,0.07412,0.00332,0.42167
 37,0.00000,0.00000,0.00000,1.00000,0.00000,-0.00885,0.00332,0.42167
 38,0.12000,0.55500,0.00000,0.07500,0.25000,0.16376,0.00332,0.42190
 38,0.00000,0.00000,0.90500,0.00000,0.09500,0.07412,0.00332,0.42190
 38,0.00000,0.00000,0.00000,1.00000,0.00000,-0.00881,0.00332,0.42190
 39,0.12000,0.55500,0.00000,0.07500,0.25000,0.16365,0.00330,0.42239
 39,0.00000,0.00000,0.90500,0.00000,0.09500,0.07412,0.00330,0.42239
 39,0.00000,0.00000,0.00000,1.00000,0.00000,-0.00869,0.00330,0.42239
 40,0.12000,0.55500,0.00000,0.07500,0.25000,0.16385,0.00332,0.42112
 40,0.00000,0.00000,0.90500,0.00000,0.09500,0.07413,0.00332,0.42112
 40,0.00000,0.00000,0.00000,1.00000,0.00000,-0.00847,0.00332,0.42112
 41,0.12000,0.55500,0.00000,0.07500,0.25000,0.16385,0.00332,0.42112
 41,0.00000,0.00000,0.90500,0.00000,0.09500,0.07413,0.00332,0.42112
 41,0.00000,0.00000,0.00000,1.00000,0.00000,-0.00848,0.00332,0.42112
 42,0.12000,0.55500,0.00000,0.07500,0.25000,0.16398,0.00333,0.42044
 42,0.00000,0.00000,0.90500,0.00000,0.09500,0.07414,0.00333,0.42044
 42,0.00000,0.00000,0.00000,1.00000,0.00000,-0.00830,0.00333,0.42044
 43,0.12000,0.55500,0.00000,0.07500,0.25000,0.16381,0.00330,0.42095
 43,0.00000,0.00000,0.90500,0.00000,0.09500,0.07412,0.00330,0.42095
 43,0.00000,0.00000,0.00000,1.00000,0.00000,-0.00838,0.00330,0.42095
 44,0.11500,0.55500,0.00000,0.07500,0.25500,0.16423,0.00333,0.41763
 44,0.00000,0.00000,0.90500,0.00000,0.09500,0.07413,0.00333,0.41763
 44,0.00000,0.00000,0.00000,1.00000,0.00000,-0.00746,0.00333,0.41763
 45,0.11500,0.55500,0.00000,0.07500,0.25500,0.16430,0.00334,0.41686
 45,0.00000,0.00000,0.90500,0.00000,0.09500,0.07413,0.00334,0.41686
 45,0.00000,0.00000,0.00000,1.00000,0.00000,-0.00727,0.00334,0.41686
 46,0.11500,0.55500,0.00000,0.07500,0.25500,0.16428,0.00313,0.41651
 46,0.00000,0.00000,0.90000,0.00000,0.10000,0.07412,0.00313,0.41651
 46,0.00000,0.00000,0.00000,1.00000,0.00000,-0.00709,0.00313,0.41651
 47,0.11500,0.55500,0.00000,0.07500,0.25500,0.16422,0.00313,0.41713
 47,0.00000,0.00000,0.90000,0.00000,0.10000,0.07412,0.00313,0.41713
 47,0.00000,0.00000,0.00000,1.00000,0.00000,-0.00721,0.00313,0.41713
 48,0.11500,0.55500,0.00000,0.07500,0.25500,0.16439,0.00314,0.41532
 48,0.00000,0.00000,0.90000,0.00000,0.10000,0.07412,0.00314,0.41532
 48,0.00000,0.00000,0.00000,1.00000,0.00000,-0.00690,0.00314,0.41532
 49,0.11500,0.55500,0.00000,0.07500,0.25500,0.16435,0.00314,0.41590
 49,0.00000,0.00000,0.90000,0.00000,0.10000,0.07412,0.00314,0.41590
 49,0.00000,0.00000,0.00000,1.00000,0.00000,-0.00702,0.00314,0.41590
 50,0.11500,0.55500,0.00000,0.07500,0.25500,0.16434,0.00293,0.41488
 50,0.00000,0.00500,0.89500,0.00000,0.10000,0.07409,0.00293,0.41488
 50,0.00000,0.00000,0.00000,1.00000,0.00000,-0.00788,0.00293,0.41488
 51,0.11500,0.55500,0.00000,0.07500,0.25500,0.16432,0.00293,0.41508
 51,0.00000,0.00500,0.89500,0.00000,0.10000,0.07409,0.00293,0.41508
 51,0.00000,0.00000,0.00000,1.00000,0.00000,-0.00792,0.00293,0.41508
 52,0.11500,0.55500,0.00000,0.07500,0.25500,0.16437,0.00293,0.41455
 52,0.00000,0.00500,0.89500,0.00000,0.10000,0.07409,0.00293,0.41455
 52,0.00000,0.00000,0.00000,1.00000,0.00000,-0.00783,0.00293,0.41455
 53,0.11500,0.55500,0.00000,0.07500,0.25500,0.16431,0.00293,0.41541
 53,0.00000,0.00000,0.90000,0.00000,0.10000,0.07409,0.00293,0.41541
 53,0.00000,0.00000,0.00000,1.00000,0.00000,-0.00797,0.00293,0.41541
 54,0.11500,0.55500,0.00000,0.07500,0.25500,0.16413,0.00292,0.41723
 54,0.00000,0.00000,0.90000,0.00000,0.10000,0.07409,0.00292,0.41723
 54,0.00000,0.00000,0.00000,1.00000,0.00000,-0.00835,0.00292,0.41723
 55,0.11500,0.55500,0.00000,0.08000,0.25000,0.16442,0.00295,0.41577
 55,0.00000,0.00000,0.90000,0.00000,0.10000,0.07410,0.00295,0.41577
 55,0.00000,0.00000,0.00000,1.00000,0.00000,-0.00859,0.00295,0.41577
 56,0.11500,0.55500,0.00000,0.07500,0.25500,0.16437,0.00294,0.41559
 56,0.00000,0.00000,0.90000,0.00000,0.10000,0.07410,0.00294,0.41559
 56,0.00000,0.00000,0.00000,1.00000,0.00000,-0.00830,0.00294,0.41559
 57,0.11500,0.55500,0.00000,0.07500,0.25500,0.16435,0.00293,0.41564
 57,0.00000,0.00000,0.90000,0.00000,0.10000,0.07410,0.00293,0.41564
 57,0.00000,0.00000,0.00000,1.00000,0.00000,-0.00823,0.00293,0.41564
 58,0.11500,0.55500,0.00000,0.07500,0.25500,0.16423,0.00292,0.41642
 58,0.00000,0.00500,0.89500,0.00000,0.10000,0.07409,0.00292,0.41642
 58,0.00000,0.00000,0.00000,1.00000,0.00000,-0.00824,0.00292,0.41642
 59,0.11500,0.55500,0.00000,0.07500,0.25500,0.16416,0.00291,0.41676
 59,0.00000,0.00500,0.89500,0.00000,0.10000,0.07408,0.00291,0.41676
 59,0.00000,0.00000,0.00000,1.00000,0.00000,-0.00816,0.00291,0.41676
 60,0.11500,0.55500,0.00000,0.07500,0.25500,0.16424,0.00291,0.41564
 60,0.00000,0.00500,0.89500,0.00000,0.10000,0.07409,0.00291,0.41564
 60,0.00000,0.00000,0.00000,1.00000,0.00000,-0.00778,0.00291,0.41564
 61,0.11500,0.55500,0.00000,0.07500,0.25500,0.16420,0.00291,0.41629
 61,0.00000,0.00500,0.89500,0.00000,0.10000,0.07409,0.00291,0.41629
 61,0.00000,0.00000,0.00000,1.00000,0.00000,-0.00801,0.00291,0.41629
 62,0.11500,0.55500,0.00000,0.07500,0.25500,0.16415,0.00291,0.41699
 62,0.00000,0.00500,0.89500,0.00000,0.10000,0.07408,0.00291,0.41699
 62,0.00000,0.00000,0.00000,1.00000,0.00000,-0.00828,0.00291,0.41699
 63,0.11500,0.55500,0.00000,0.07500,0.25500,0.16412,0.00291,0.41720
 63,0.00000,0.00500,0.89500,0.00000,0.10000,0.07409,0.00291,0.41720
 63,0.00000,0.00000,0.00000,1.00000,0.00000,-0.00819,0.00291,0.41720
 64,0.11500,0.55500,0.00000,0.07500,0.25500,0.16411,0.00280,0.41901
 64,0.00000,0.00000,0.90000,0.00000,0.10000,0.07406,0.00280,0.41901
 64,0.00000,0.00000,0.00000,1.00000,0.00000,-0.00845,0.00280,0.41901
 65,0.11500,0.55500,0.00000,0.07500,0.25500,0.16412,0.00280,0.41900
 65,0.00000,0.00000,0.90000,0.00000,0.10000,0.07406,0.00280,0.41900
 65,0.00000,0.00000,0.00000,1.00000,0.00000,-0.00844,0.00280,0.41900
 66,0.11500,0.55500,0.00000,0.07500,0.25500,0.16407,0.00279,0.41924
 66,0.00000,0.00500,0.90000,0.00000,0.09500,0.07405,0.00279,0.41924
 66,0.00000,0.00000,0.00000,1.00000,0.00000,-0.00854,0.00279,0.41924
 67,0.11500,0.55500,0.00000,0.07500,0.25500,0.16408,0.00279,0.41919
 67,0.00000,0.00500,0.90000,0.00000,0.09500,0.07405,0.00279,0.41919
 67,0.00000,0.00000,0.00000,1.00000,0.00000,-0.00855,0.00279,0.41919
 68,0.11500,0.55500,0.00000,0.07500,0.25500,0.16401,0.00279,0.41957
 68,0.00000,0.00000,0.90000,0.00000,0.10000,0.07406,0.00279,0.41957
 68,0.00000,0.00000,0.00000,1.00000,0.00000,-0.00840,0.00279,0.41957
 69,0.11500,0.55500,0.00000,0.07500,0.25500,0.16401,0.00279,0.41962
 69,0.00000,0.00000,0.90000,0.00000,0.10000,0.07406,0.00279,0.41962
 69,0.00000,0.00000,0.00000,1.00000,0.00000,-0.00842,0.00279,0.41962
 70,0.12000,0.55500,0.00000,0.07500,0.25000,0.16392,0.00278,0.42026
 70,0.00000,0.00500,0.90000,0.00000,0.09500,0.07404,0.00278,0.42026
 70,0.00000,0.00000,0.00000,1.00000,0.00000,-0.00885,0.00278,0.42026
 71,0.12000,0.55500,0.00000,0.07500,0.25000,0.16391,0.00280,0.42102
 71,0.00000,0.00000,0.90500,0.00000,0.09500,0.07405,0.00280,0.42102
 71,0.00000,0.00000,0.00000,1.00000,0.00000,-0.00909,0.00280,0.42102
 72,0.11500,0.55500,0.00000,0.08000,0.25000,0.16404,0.00282,0.42078
 72,0.00000,0.00000,0.90500,0.00000,0.09500,0.07405,0.00282,0.42078
 72,0.00000,0.00000,0.00000,1.00000,0.00000,-0.00953,0.00282,0.42078
 73,0.11500,0.55500,0.00000,0.08000,0.25000,0.16403,0.00282,0.42088
 73,0.00000,0.00000,0.90500,0.00000,0.09500,0.07405,0.00282,0.42088
 73,0.00000,0.00000,0.00000,1.00000,0.00000,-0.00950,0.00282,0.42088
 74,0.11500,0.55500,0.00000,0.08000,0.25000,0.16399,0.00281,0.42092
 74,0.00000,0.00000,0.90500,0.00000,0.09500,0.07406,0.00281,0.42092
 74,0.00000,0.00000,0.00000,1.00000,0.00000,-0.00929,0.00281,0.42092
 75,0.11500,0.55500,0.00000,0.08000,0.25000,0.16402,0.00282,0.42097
 75,0.00000,0.00000,0.90500,0.00000,0.09500,0.07405,0.00282,0.42097
 75,0.00000,0.00000,0.00000,1.00000,0.00000,-0.00942,0.00282,0.42097
 76,0.11500,0.55500,0.00000,0.08000,0.25000,0.16403,0.00282,0.42098
 76,0.00000,0.00000,0.90500,0.00000,0.09500,0.07405,0.00282,0.42098
 76,0.00000,0.00000,0.00000,1.00000,0.00000,-0.00946,0.00282,0.42098
 77,0.12000,0.55500,0.00000,0.07500,0.25000,0.16396,0.00282,0.42129
 77,0.00000,0.00000,0.90500,0.00000,0.09500,0.07407,0.00282,0.42129
 77,0.00000,0.00000,0.00000,1.00000,0.00000,-0.00916,0.00282,0.42129
 78,0.12000,0.55500,0.00000,0.07500,0.25000,0.16396,0.00282,0.42131
 78,0.00000,0.00000,0.90500,0.00000,0.09500,0.07407,0.00282,0.42131
 78,0.00000,0.00000,0.00000,1.00000,0.00000,-0.00917,0.00282,0.42131
 79,0.12000,0.55500,0.00000,0.07500,0.25000,0.16395,0.00281,0.42132
 79,0.00000,0.00000,0.90500,0.00000,0.09500,0.07407,0.00281,0.42132
 79,0.00000,0.00000,0.00000,1.00000,0.00000,-0.00914,0.00281,0.42132
 80,0.12000,0.55500,0.00000,0.07500,0.25000,0.16395,0.00281,0.42133
 80,0.00000,0.00000,0.90500,0.00000,0.09500,0.07407,0.00281,0.42133
 80,0.00000,0.00000,0.00000,1.00000,0.00000,-0.00914,0.00281,0.42133
 81,0.12000,0.55500,0.00000,0.07500,0.25000,0.16387,0.00281,0.42153
 81,0.00000,0.00000,0.90500,0.00000,0.09500,0.07406,0.00281,0.42153
 81,0.00000,0.00000,0.00000,1.00000,0.00000,-0.00906,0.00281,0.42153
 82,0.12000,0.55500,0.00000,0.07500,0.25000,0.16375,0.00280,0.42250
 82,0.00000,0.00000,0.90500,0.00000,0.09500,0.07406,0.00280,0.42250
 82,0.00000,0.00000,0.00000,1.00000,0.00000,-0.00944,0.00280,0.42250
 83,0.12000,0.55500,0.00000,0.07500,0.25000,0.16366,0.00279,0.42227
 83,0.00000,0.00000,0.90500,0.00000,0.09500,0.07404,0.00279,0.42227
