     Ir,     Pd,     Pt,     Rh,     Ru, activity
0.14759,0.13942,0.25397,0.15237,0.30665,0.0500483
0.21094,0.00119,0.35494,0.34681,0.08611,0.0386131
0.00408,0.00334,0.00227,0.00038,0.98993,0.0000000
0.16182,0.37543,0.29474,0.04152,0.12649,0.1020266
0.00104,0.95834,0.03769,0.00129,0.00165,0.0362116
0.14193,0.45908,0.39787,0.00076,0.00035,0.0750368
0.19722,0.45797,0.15435,0.07620,0.11425,0.1247433
0.34194,0.45841,0.07881,0.01157,0.10927,0.1107849
0.20192,0.45701,0.09242,0.19469,0.05396,0.1183695
0.15177,0.51685,0.06868,0.08180,0.18090,0.1464439
0.08677,0.55514,0.00247,0.06328,0.29234,0.1654281
0.00350,0.59075,0.00028,0.00494,0.40053,0.1458683
0.00078,0.53875,0.00039,0.17609,0.28399,0.1443743
0.14511,0.52130,0.00232,0.01719,0.31408,0.1588664
0.11484,0.58174,0.00279,0.02525,0.27538,0.1664842
0.11961,0.60355,0.00065,0.00218,0.27401,0.1627378
0.00462,0.01641,0.00385,0.97219,0.00293,0.0000008
0.11175,0.58660,0.00297,0.03012,0.26856,0.1639662
0.99295,0.00115,0.00450,0.00046,0.00094,0.0000004
0.11295,0.58127,0.00005,0.03735,0.26838,0.1611778
0.12042,0.58575,0.00488,0.00153,0.28742,0.1650421
0.12327,0.58318,0.00273,0.00259,0.28824,0.1637458
0.11904,0.58045,0.00187,0.01694,0.28171,0.1633836
0.12420,0.58390,0.00480,0.00157,0.28553,0.1606913
0.11340,0.57759,0.00102,0.03276,0.27522,0.1636743
0.11014,0.57628,0.00329,0.03866,0.27162,0.1630398
0.12228,0.58255,0.00435,0.00033,0.29049,0.1617207
0.11438,0.57094,0.00122,0.03900,0.27446,0.1659846
0.11198,0.57509,0.00255,0.04131,0.26907,0.1654716
0.10900,0.57399,0.00302,0.04528,0.26872,0.1604361
0.11792,0.57012,0.00069,0.03662,0.27464,0.1653141
0.11921,0.56345,0.00201,0.04126,0.27407,0.1596101
0.50880,0.00314,0.00386,0.47947,0.00472,0.0008435
0.11326,0.58220,0.00116,0.02952,0.27385,0.1616751
0.12028,0.57580,0.00068,0.02682,0.27641,0.1602590
0.12460,0.57944,0.00373,0.00325,0.28898,0.1606110
0.11128,0.58019,0.00028,0.03568,0.27257,0.1600540
0.11743,0.56642,0.00161,0.03413,0.28041,0.1625750
0.00361,0.00215,0.99169,0.00132,0.00123,0.0663146
0.12108,0.56727,0.00178,0.03035,0.27952,0.1621712
0.37883,0.00013,0.61487,0.00167,0.00450,0.1643588
0.46771,0.00211,0.52037,0.00493,0.00488,0.1576081
0.38437,0.00216,0.60682,0.00330,0.00334,0.1653358
0.35271,0.00464,0.58315,0.00210,0.05739,0.1396269
0.00389,0.64557,0.00001,0.35045,0.00008,0.0781886
0.39533,0.00337,0.59942,0.00105,0.00083,0.1625163
0.06876,0.58927,0.05573,0.00383,0.28240,0.1547536
0.00366,0.00367,0.00075,0.52748,0.46444,0.0006905
0.12044,0.53476,0.00489,0.03970,0.30022,0.1666241
0.11924,0.53447,0.00300,0.04389,0.29941,0.1634985
0.11878,0.53628,0.00157,0.04300,0.30036,0.1635374
0.39861,0.00161,0.59888,0.00048,0.00043,0.1648032
0.12467,0.53144,0.00048,0.04039,0.30302,0.1611880
0.12238,0.53278,0.00009,0.05212,0.29262,0.1635454
0.37547,0.06269,0.55251,0.00495,0.00439,0.1228901
0.53922,0.00196,0.00236,0.00324,0.45322,0.0000002
0.00446,0.47014,0.16987,0.00330,0.35223,0.1477770
0.00461,0.00332,0.71844,0.27136,0.00228,0.0631669
0.13364,0.54297,0.00298,0.00244,0.31798,0.1620815
0.00181,0.41090,0.29974,0.28282,0.00473,0.0870899
0.13211,0.54512,0.00421,0.00086,0.31770,0.1567464
0.00186,0.42315,0.00201,0.09414,0.47883,0.1311094
0.00496,0.56664,0.14565,0.04019,0.24256,0.1525919
0.12651,0.54710,0.00271,0.05974,0.26395,0.1626391
0.12356,0.54004,0.00343,0.05848,0.27449,0.1676819
0.12302,0.54005,0.00459,0.06184,0.27050,0.1697072
0.00356,0.00352,0.66644,0.00261,0.32387,0.0717507
0.12736,0.54538,0.00088,0.05927,0.26711,0.1699611
0.00201,0.35039,0.00458,0.63829,0.00473,0.0281624
0.12607,0.54247,0.00432,0.06014,0.26700,0.1632091
0.12517,0.54184,0.00148,0.06121,0.27029,0.1564977
0.00034,0.50802,0.10463,0.09322,0.29379,0.1565399
0.39168,0.00067,0.60550,0.00133,0.00082,0.1622806
0.11774,0.54610,0.00489,0.05546,0.27581,0.1669229
0.11964,0.54591,0.00185,0.05736,0.27524,0.1615284
0.11911,0.54894,0.00172,0.05494,0.27529,0.1633873
0.11600,0.54579,0.00397,0.05577,0.27846,0.1599641
0.12632,0.55118,0.00037,0.05188,0.27026,0.1556243
0.10580,0.54634,0.00480,0.05456,0.28849,0.1692272
0.10468,0.54685,0.00423,0.05636,0.28788,0.1727005
0.10130,0.54618,0.00439,0.05441,0.29373,0.1655058
0.10311,0.54641,0.00485,0.05360,0.29203,0.1646560
0.09987,0.54522,0.00497,0.05732,0.29263,0.1574980
0.10858,0.54499,0.00227,0.05758,0.28658,0.1666482
0.10666,0.54796,0.00483,0.05279,0.28777,0.1626399
0.10922,0.54517,0.00120,0.05598,0.28843,0.1604600
0.11416,0.54622,0.00024,0.05621,0.28317,0.1641662
0.10597,0.54778,0.00298,0.05700,0.28627,0.1669998
0.10800,0.54572,0.00198,0.05784,0.28647,0.1591577
0.10443,0.54944,0.00468,0.05269,0.28876,0.1655788
0.36218,0.00475,0.57888,0.05327,0.00092,0.1439872
0.11000,0.54890,0.00345,0.05275,0.28490,0.1622957
0.11128,0.54923,0.00138,0.05364,0.28447,0.1690611
0.11066,0.54989,0.00102,0.05551,0.28292,0.1637979
0.10503,0.54678,0.00452,0.05308,0.29059,0.1596382
0.10999,0.54976,0.00299,0.05276,0.28450,0.1612662
0.30685,0.68689,0.00004,0.00430,0.00192,0.1075311
0.11073,0.54841,0.00328,0.05228,0.28530,0.1582068
0.11645,0.55036,0.00010,0.05370,0.27940,0.1634706
0.11233,0.54959,0.00260,0.05498,0.28049,0.1655491
0.11316,0.54823,0.00448,0.05572,0.27840,0.1629861
0.11170,0.54901,0.00472,0.05492,0.27966,0.1619216
0.11285,0.55297,0.00218,0.05167,0.28032,0.1600845
0.11118,0.55150,0.00399,0.05196,0.28137,0.1681400
0.11594,0.55109,0.00223,0.05259,0.27815,0.1633100
0.11499,0.55285,0.00124,0.05390,0.27702,0.1689639
0.11276,0.55314,0.00296,0.05389,0.27725,0.1622526
0.11651,0.54967,0.00134,0.05481,0.27768,0.1639408
0.10936,0.55073,0.00475,0.05250,0.28266,0.1602226
0.11863,0.54948,0.00168,0.05210,0.27812,0.1644045
0.11862,0.54918,0.00174,0.05347,0.27700,0.1673487
0.11996,0.55046,0.00063,0.05251,0.27644,0.1607921
0.11556,0.55115,0.00367,0.05212,0.27749,0.1614919
0.11286,0.55196,0.00430,0.05100,0.27988,0.1616771
0.11572,0.54949,0.00315,0.05513,0.27651,0.1613133
0.12196,0.55332,0.00045,0.05015,0.27412,0.1604985
0.11253,0.54664,0.00282,0.04938,0.28862,0.1602150
