  n,     Ag,     Ir,     Pd,     Pt,     Ru,    act,   C**2,      l
  2,0.00000,0.41000,0.59000,0.00000,0.00000,0.12561,0.00975,1.13925
  3,0.25000,0.22500,0.46000,0.06000,0.00500,0.11197,0.00459,0.52168
  4,0.21000,0.01000,0.78000,0.00000,0.00000,0.14331,0.00731,0.88620
  5,0.40500,0.00000,0.59500,0.00000,0.00000,0.14511,0.00505,0.64162
  6,0.20000,0.05500,0.64000,0.10000,0.00500,0.14724,0.00462,0.42560
  7,0.22500,0.06500,0.67000,0.03500,0.00500,0.14370,0.00404,0.42345
  8,0.20500,0.06000,0.65000,0.02000,0.06500,0.14604,0.00372,0.43282
  9,0.20500,0.06000,0.65000,0.01500,0.07000,0.14593,0.00335,0.43745
 10,0.19500,0.09000,0.65500,0.00000,0.06000,0.14725,0.00321,0.44826
 11,0.20000,0.09000,0.65500,0.00000,0.05500,0.14708,0.00355,0.46842
 12,0.19500,0.07500,0.67000,0.00000,0.06000,0.14747,0.00459,0.46744
 12,0.00000,0.44500,0.00000,0.55500,0.00000,0.14548,0.00459,0.46744
 13,0.19500,0.08000,0.66000,0.01000,0.05500,0.14770,0.00493,0.44785
 13,0.00000,0.45500,0.00000,0.54500,0.00000,0.14492,0.00493,0.44785
 14,0.20500,0.08500,0.61500,0.04000,0.05500,0.15019,0.00500,0.38646
 14,0.00000,0.41500,0.00000,0.58500,0.00000,0.14746,0.00500,0.38646
 15,0.20000,0.08000,0.69500,0.00000,0.02500,0.14750,0.00586,0.39076
 15,0.00000,0.41500,0.00000,0.58500,0.00000,0.14730,0.00586,0.39076
 16,0.20000,0.08500,0.69000,0.00000,0.02500,0.14731,0.00561,0.39624
 16,0.00000,0.42000,0.00000,0.58000,0.00000,0.14714,0.00561,0.39624
 17,0.20000,0.08500,0.69000,0.00000,0.02500,0.14734,0.00514,0.39175
 17,0.00000,0.41500,0.00000,0.58500,0.00000,0.14714,0.00514,0.39175
 18,0.12500,0.12500,0.64500,0.00000,0.10500,0.14693,0.00534,0.39647
 18,0.12500,0.12500,0.64500,0.00000,0.10500,0.14693,0.00534,0.39647
 18,0.00000,0.42000,0.00000,0.58000,0.00000,0.14687,0.00534,0.39647
 19,0.03000,0.15000,0.63500,0.00000,0.18500,0.15039,0.00505,0.37603
 19,0.00000,0.41000,0.00000,0.59000,0.00000,0.14818,0.00505,0.37603
 19,0.03000,0.15000,0.63500,0.00000,0.18500,0.15039,0.00505,0.37603
 20,0.00000,0.41500,0.00000,0.58500,0.00000,0.14799,0.00507,0.37906
 20,0.00000,0.11500,0.66500,0.00000,0.22000,0.15818,0.00507,0.37906
 21,0.00000,0.44000,0.00000,0.56000,0.00000,0.14630,0.00507,0.37910
 21,0.00000,0.11500,0.66500,0.00000,0.22000,0.15819,0.00507,0.37910
 22,0.00000,0.43500,0.00000,0.56500,0.00000,0.14638,0.00511,0.38304
 22,0.00000,0.08500,0.65500,0.04000,0.22000,0.15944,0.00511,0.38304
 23,0.00000,0.43500,0.00000,0.56500,0.00000,0.14626,0.00504,0.38811
 23,0.00000,0.08500,0.65500,0.04000,0.22000,0.15932,0.00504,0.38811
 24,0.00000,0.43500,0.00000,0.56500,0.00000,0.14625,0.00476,0.38521
 24,0.00000,0.08500,0.65500,0.04000,0.22000,0.15939,0.00476,0.38521
 25,0.00000,0.43500,0.00000,0.56500,0.00000,0.14631,0.00451,0.38028
 25,0.00000,0.08500,0.65500,0.04000,0.22000,0.15936,0.00451,0.38028
 26,0.00000,0.43500,0.00000,0.56500,0.00000,0.14632,0.00491,0.39317
 26,0.00000,0.07000,0.67000,0.00500,0.25500,0.15870,0.00491,0.39317
 27,0.00000,0.44000,0.00000,0.56000,0.00000,0.14594,0.00495,0.39596
 27,0.00000,0.08000,0.67000,0.00000,0.25000,0.15858,0.00495,0.39596
 28,0.00000,0.44000,0.00000,0.56000,0.00000,0.14590,0.00465,0.39250
 28,0.00000,0.08000,0.67000,0.00000,0.25000,0.15855,0.00465,0.39250
 29,0.00000,0.44000,0.00000,0.56000,0.00000,0.14600,0.00490,0.39856
 29,0.00000,0.09000,0.66500,0.00000,0.24500,0.15791,0.00490,0.39856
 29,0.00000,0.09000,0.66500,0.00000,0.24500,0.15791,0.00490,0.39856
 30,0.00000,0.44000,0.00000,0.56000,0.00000,0.14597,0.00480,0.40081
 30,0.00000,0.09000,0.66500,0.00000,0.24500,0.15788,0.00480,0.40081
 30,0.00000,0.09000,0.66500,0.00000,0.24500,0.15788,0.00480,0.40081
 31,0.00000,0.49500,0.00000,0.50500,0.00000,0.14694,0.00499,0.40813
 31,0.00000,0.09000,0.66500,0.00000,0.24500,0.15794,0.00499,0.40813
 31,0.00000,0.09000,0.66500,0.00000,0.24500,0.15794,0.00499,0.40813
 32,0.00000,0.50000,0.00000,0.50000,0.00000,0.14698,0.00489,0.40961
 32,0.00000,0.09000,0.66500,0.00000,0.24500,0.15790,0.00489,0.40961
 33,0.00000,0.50000,0.00000,0.50000,0.00000,0.14696,0.00479,0.41125
 33,0.00000,0.09000,0.66500,0.00000,0.24500,0.15787,0.00479,0.41125
 34,0.00000,0.50000,0.00000,0.50000,0.00000,0.14689,0.00475,0.41501
 34,0.00000,0.09000,0.66500,0.00000,0.24500,0.15783,0.00475,0.41501
 35,0.72000,0.00000,0.00000,0.00000,0.28000,0.05853,0.00459,0.40649
 35,0.00000,0.50000,0.00000,0.50000,0.00000,0.14691,0.00459,0.40649
 35,0.00000,0.09000,0.66500,0.00000,0.24500,0.15792,0.00459,0.40649
 35,0.00000,0.00000,0.00000,0.00000,1.00000,0.00044,0.00459,0.40649
 36,0.73500,0.00000,0.00000,0.00000,0.26500,0.05827,0.00459,0.41049
 36,0.00000,0.50000,0.00000,0.50000,0.00000,0.14683,0.00459,0.41049
 36,0.00000,0.09000,0.66500,0.00000,0.24500,0.15789,0.00459,0.41049
 36,0.00000,0.00000,0.00000,0.00000,1.00000,0.00040,0.00459,0.41049
 37,0.74000,0.00000,0.00000,0.00000,0.26000,0.05824,0.00449,0.40969
 37,0.00000,0.50000,0.00000,0.50000,0.00000,0.14681,0.00449,0.40969
 37,0.00000,0.10500,0.66000,0.00000,0.23500,0.15696,0.00449,0.40969
 37,0.00000,0.10500,0.66000,0.00000,0.23500,0.15696,0.00449,0.40969
 38,0.73500,0.00000,0.00000,0.00000,0.26500,0.05827,0.00452,0.41506
 38,0.00000,0.50000,0.00000,0.50000,0.00000,0.14675,0.00452,0.41506
 38,0.00000,0.10500,0.66000,0.00000,0.23500,0.15690,0.00452,0.41506
 38,0.00000,0.10500,0.66000,0.00000,0.23500,0.15690,0.00452,0.41506
 39,0.73500,0.00000,0.00000,0.00000,0.26500,0.05828,0.00460,0.41943
 39,0.00000,0.50000,0.00000,0.50000,0.00000,0.14671,0.00460,0.41943
 39,0.00000,0.10500,0.66000,0.00000,0.23500,0.15683,0.00460,0.41943
 39,0.00000,0.10500,0.66000,0.00000,0.23500,0.15683,0.00460,0.41943
 40,0.74000,0.00000,0.00000,0.00000,0.26000,0.05833,0.00469,0.42485
 40,0.00000,0.50000,0.00000,0.50000,0.00000,0.14668,0.00469,0.42485
 40,0.00000,0.10500,0.66500,0.00000,0.23000,0.15688,0.00469,0.42485
 40,0.00000,0.10500,0.66500,0.00000,0.23000,0.15688,0.00469,0.42485
 41,0.74000,0.00000,0.00000,0.00000,0.26000,0.05830,0.00446,0.41279
 41,0.00000,0.50000,0.00000,0.50000,0.00000,0.14679,0.00446,0.41279
 41,0.00000,0.10500,0.64500,0.00000,0.25000,0.15964,0.00446,0.41279
 41,0.00000,0.00000,0.00000,0.00000,1.00000,0.00046,0.00446,0.41279
 42,0.74000,0.00000,0.00000,0.00000,0.26000,0.05833,0.00449,0.41773
 42,0.00000,0.50000,0.00000,0.50000,0.00000,0.14677,0.00449,0.41773
 42,0.00000,0.10500,0.65000,0.00000,0.24500,0.15956,0.00449,0.41773
 42,0.00000,0.00000,0.00000,0.00000,1.00000,0.00048,0.00449,0.41773
 43,0.75000,0.00000,0.00000,0.00000,0.25000,0.05825,0.00445,0.41899
 43,0.00000,0.50000,0.00000,0.50000,0.00000,0.14675,0.00445,0.41899
 43,0.00000,0.10500,0.65000,0.00000,0.24500,0.15948,0.00445,0.41899
 43,0.00000,0.00000,0.00000,0.00000,1.00000,0.00055,0.00445,0.41899
 44,0.76000,0.00000,0.00000,0.00000,0.24000,0.05826,0.00424,0.41361
 44,0.00000,0.50000,0.00000,0.50000,0.00000,0.14680,0.00424,0.41361
 44,0.00000,0.10500,0.65000,0.00000,0.24500,0.15962,0.00424,0.41361
 45,0.76000,0.00000,0.00000,0.00000,0.24000,0.05826,0.00410,0.41189
 45,0.00000,0.50000,0.00000,0.50000,0.00000,0.14667,0.00410,0.41189
 45,0.00000,0.10500,0.65000,0.00000,0.24500,0.15967,0.00410,0.41189
 46,0.76000,0.00000,0.00000,0.00000,0.24000,0.05824,0.00390,0.39658
 46,0.00000,0.50000,0.00000,0.50000,0.00000,0.14685,0.00390,0.39658
 46,0.00000,0.10500,0.63500,0.00000,0.26000,0.16209,0.00390,0.39658
 47,0.00000,0.50000,0.00000,0.50000,0.00000,0.14704,0.00385,0.38500
 47,0.00000,0.10500,0.63000,0.00000,0.26500,0.16222,0.00385,0.38500
 48,0.00000,0.50000,0.00000,0.50000,0.00000,0.14699,0.00388,0.38853
 48,0.00000,0.10500,0.63000,0.00000,0.26500,0.16214,0.00388,0.38853
 49,0.20000,0.12500,0.67500,0.00000,0.00000,0.14563,0.00387,0.38809
 49,0.00000,0.50000,0.00000,0.50000,0.00000,0.14699,0.00387,0.38809
 49,0.00000,0.10500,0.63000,0.00000,0.26500,0.16229,0.00387,0.38809
 50,0.20500,0.12000,0.67500,0.00000,0.00000,0.14575,0.00421,0.38939
 50,0.00000,0.48000,0.00000,0.52000,0.00000,0.14685,0.00421,0.38939
 50,0.00000,0.10500,0.62500,0.00000,0.27000,0.16229,0.00421,0.38939
 51,0.20500,0.12500,0.67000,0.00000,0.00000,0.14574,0.00417,0.38908
 51,0.00000,0.48000,0.00000,0.52000,0.00000,0.14684,0.00417,0.38908
 51,0.00000,0.10500,0.62500,0.00000,0.27000,0.16230,0.00417,0.38908
 52,0.18500,0.00000,0.81500,0.00000,0.00000,0.20619,0.00386,0.29179
 52,0.00000,0.49500,0.00000,0.50500,0.00000,0.14748,0.00386,0.29179
 52,0.00000,0.09500,0.60500,0.03000,0.27000,0.16296,0.00386,0.29179
 53,0.18500,0.00000,0.81500,0.00000,0.00000,0.20613,0.00376,0.29083
 53,0.00000,0.49500,0.00000,0.50500,0.00000,0.14748,0.00376,0.29083
 53,0.00000,0.09500,0.60500,0.03000,0.27000,0.16297,0.00376,0.29083
 54,0.18500,0.00000,0.81500,0.00000,0.00000,0.20605,0.00378,0.29387
 54,0.00000,0.49500,0.00000,0.50500,0.00000,0.14746,0.00378,0.29387
 54,0.00000,0.09500,0.60500,0.03000,0.27000,0.16291,0.00378,0.29387
 55,0.18500,0.00000,0.81500,0.00000,0.00000,0.20474,0.00376,0.29539
 55,0.00000,0.49000,0.00000,0.51000,0.00000,0.14744,0.00376,0.29539
 55,0.00000,0.09500,0.60500,0.03000,0.27000,0.16289,0.00376,0.29539
 56,0.18500,0.00000,0.81500,0.00000,0.00000,0.20467,0.00365,0.29162
 56,0.00000,0.49500,0.00000,0.50500,0.00000,0.14748,0.00365,0.29162
 56,0.00000,0.09500,0.60500,0.03000,0.27000,0.16284,0.00365,0.29162
 57,0.18500,0.00000,0.81500,0.00000,0.00000,0.20464,0.00365,0.29350
 57,0.00000,0.49500,0.00000,0.50500,0.00000,0.14748,0.00365,0.29350
 57,0.00000,0.09500,0.60500,0.03000,0.27000,0.16279,0.00365,0.29350
 58,0.18500,0.00000,0.81500,0.00000,0.00000,0.20460,0.00366,0.29601
 58,0.00000,0.49000,0.00000,0.51000,0.00000,0.14745,0.00366,0.29601
 58,0.00000,0.09500,0.60500,0.03000,0.27000,0.16275,0.00366,0.29601
 59,0.18500,0.00000,0.81500,0.00000,0.00000,0.20457,0.00365,0.29810
 59,0.00000,0.49000,0.00000,0.51000,0.00000,0.14743,0.00365,0.29810
 59,0.00000,0.09500,0.60500,0.03000,0.27000,0.16271,0.00365,0.29810
 60,0.18000,0.00000,0.82000,0.00000,0.00000,0.20454,0.00362,0.29935
 60,0.00000,0.49000,0.00000,0.51000,0.00000,0.14741,0.00362,0.29935
 60,0.00000,0.09500,0.60500,0.03000,0.27000,0.16271,0.00362,0.29935
 61,0.18000,0.00000,0.82000,0.00000,0.00000,0.20451,0.00358,0.29961
 61,0.00000,0.48500,0.00000,0.51500,0.00000,0.14712,0.00358,0.29961
 61,0.00000,0.09500,0.61000,0.02500,0.27000,0.16268,0.00358,0.29961
 62,0.18000,0.00000,0.82000,0.00000,0.00000,0.20450,0.00359,0.30029
 62,0.00000,0.50500,0.00000,0.49500,0.00000,0.14849,0.00359,0.30029
 62,0.00000,0.09500,0.61000,0.02500,0.27000,0.16266,0.00359,0.30029
 63,0.18000,0.00000,0.82000,0.00000,0.00000,0.20447,0.00361,0.30269
 63,0.00000,0.50500,0.00000,0.49500,0.00000,0.14845,0.00361,0.30269
 63,0.00000,0.09500,0.61000,0.02500,0.27000,0.16263,0.00361,0.30269
 64,0.18000,0.00000,0.82000,0.00000,0.00000,0.20443,0.00364,0.30547
 64,0.00000,0.50500,0.00000,0.49500,0.00000,0.14839,0.00364,0.30547
 64,0.00000,0.10000,0.61000,0.02000,0.27000,0.16249,0.00364,0.30547
 65,0.18000,0.00000,0.82000,0.00000,0.00000,0.20444,0.00356,0.30364
 65,0.00000,0.50500,0.00000,0.49500,0.00000,0.14841,0.00356,0.30364
 65,0.00000,0.10000,0.61000,0.02000,0.27000,0.16251,0.00356,0.30364
 66,0.19000,0.00000,0.81000,0.00000,0.00000,0.20421,0.00404,0.25822
 66,0.00000,0.51000,0.00000,0.49000,0.00000,0.14956,0.00404,0.25822
 66,0.00000,0.08500,0.62500,0.01000,0.28000,0.16529,0.00404,0.25822
 67,0.19000,0.00000,0.81000,0.00000,0.00000,0.20405,0.00401,0.25967
 67,0.00000,0.51000,0.00000,0.49000,0.00000,0.14952,0.00401,0.25967
 67,0.00000,0.08500,0.62500,0.00500,0.28500,0.16521,0.00401,0.25967
 68,0.19000,0.00000,0.81000,0.00000,0.00000,0.20391,0.00407,0.26365
 68,0.00000,0.51000,0.00000,0.49000,0.00000,0.14933,0.00407,0.26365
 68,0.00000,0.08500,0.62500,0.00500,0.28500,0.16508,0.00407,0.26365
 69,0.19000,0.00000,0.81000,0.00000,0.00000,0.20379,0.00404,0.26504
 69,0.00000,0.51000,0.00000,0.49000,0.00000,0.14925,0.00404,0.26504
 69,0.00000,0.08500,0.62500,0.00500,0.28500,0.16504,0.00404,0.26504
 70,0.19000,0.00000,0.81000,0.00000,0.00000,0.20367,0.00401,0.26650
 70,0.00000,0.51000,0.00000,0.49000,0.00000,0.15000,0.00401,0.26650
 70,0.00000,0.08500,0.62500,0.00500,0.28500,0.16501,0.00401,0.26650
 71,0.19000,0.00000,0.81000,0.00000,0.00000,0.20344,0.00405,0.26916
 71,0.00000,0.51000,0.00000,0.49000,0.00000,0.14995,0.00405,0.26916
 71,0.00000,0.08500,0.62500,0.00000,0.29000,0.16485,0.00405,0.26916
 72,0.72000,0.00000,0.00000,0.00000,0.28000,0.05854,0.00406,0.27113
 72,0.19000,0.00000,0.81000,0.00000,0.00000,0.20330,0.00406,0.27113
 72,0.00000,0.51000,0.00000,0.49000,0.00000,0.14986,0.00406,0.27113
