     Ir,     Pd,     Pt,     Rh,     Ru, activity
0.05704,0.20722,0.40611,0.08269,0.24695,0.0796164
0.24369,0.17622,0.05284,0.11819,0.40906,0.0421713
0.00355,0.14129,0.84578,0.00486,0.00453,0.0552540
0.00140,0.52282,0.40353,0.00493,0.06732,0.0987421
0.00274,0.48668,0.24238,0.26321,0.00500,0.0993880
0.00356,0.76809,0.16381,0.06330,0.00124,0.0664231
0.00021,0.41194,0.40401,0.18223,0.00160,0.0858431
0.00108,0.47706,0.20327,0.13283,0.18576,0.1479932
0.00399,0.50881,0.11296,0.08907,0.28518,0.1535223
0.00347,0.49045,0.02892,0.21168,0.26548,0.1434572
0.10567,0.51404,0.09418,0.06691,0.21920,0.1564642
0.06462,0.51155,0.10873,0.07905,0.23605,0.1527283
0.05183,0.53745,0.09069,0.07645,0.24359,0.1593998
0.05132,0.56933,0.06082,0.05875,0.25979,0.1599897
0.11954,0.59431,0.00413,0.00454,0.27749,0.1603372
0.10424,0.58848,0.00012,0.05215,0.25500,0.1603079
0.07507,0.59490,0.04200,0.00030,0.28773,0.1625435
0.04880,0.61564,0.02873,0.00151,0.30531,0.1589577
0.10111,0.57618,0.04139,0.00453,0.27678,0.1570463
0.06673,0.60455,0.00436,0.04600,0.27836,0.1643464
0.04445,0.61579,0.00284,0.06119,0.27573,0.1521954
0.11323,0.57734,0.00209,0.00215,0.30519,0.1657702
0.10545,0.55981,0.00219,0.00171,0.33085,0.1624412
0.47703,0.49061,0.00186,0.00414,0.02637,0.0882573
0.00121,0.00302,0.00078,0.99276,0.00223,0.0000000
0.30803,0.29602,0.00193,0.39251,0.00150,0.0574350
0.99081,0.00372,0.00083,0.00405,0.00059,0.0000047
0.11363,0.56524,0.00391,0.00093,0.31628,0.1606229
0.11855,0.57451,0.00091,0.00067,0.30537,0.1654549
0.12403,0.56789,0.00282,0.00260,0.30266,0.1627992
0.12392,0.56957,0.00080,0.00320,0.30252,0.1646117
0.12848,0.56671,0.00440,0.00209,0.29832,0.1645084
0.12983,0.56839,0.00002,0.00389,0.29787,0.1604192
0.09971,0.56574,0.00407,0.00364,0.32684,0.1644621
0.09829,0.56587,0.00263,0.00068,0.33254,0.1607805
0.12464,0.56913,0.00425,0.00388,0.29810,0.1699362
0.13537,0.56992,0.00167,0.00223,0.29080,0.1668857
0.14416,0.56490,0.00434,0.00345,0.28315,0.1647277
0.14551,0.57015,0.00191,0.00059,0.28185,0.1687476
0.45311,0.00481,0.53474,0.00350,0.00384,0.1613752
0.55175,0.00283,0.43750,0.00356,0.00436,0.1517897
0.41250,0.12586,0.45608,0.00479,0.00077,0.0926763
0.37236,0.00106,0.48532,0.14020,0.00105,0.1108492
0.00020,0.00009,0.29233,0.53218,0.17519,0.0093970
0.40665,0.00116,0.50585,0.00174,0.08460,0.1291484
0.15903,0.57110,0.00016,0.00470,0.26501,0.1611223
0.00006,0.00398,0.00282,0.00393,0.98921,0.0000000
0.00276,0.51696,0.15845,0.00383,0.31800,0.1546417
0.14669,0.56844,0.00124,0.00145,0.28218,0.1642577
0.14466,0.56637,0.00038,0.00387,0.28472,0.1584971
0.28806,0.70720,0.00224,0.00210,0.00040,0.1068663
0.13659,0.57582,0.00035,0.00472,0.28252,0.1617455
0.13244,0.57833,0.00015,0.00438,0.28470,0.1588314
0.40988,0.00424,0.58274,0.00241,0.00073,0.1582308
0.12470,0.57324,0.00193,0.00230,0.29784,0.1638682
0.11324,0.55584,0.00480,0.02717,0.29895,0.1703455
0.11016,0.54963,0.00409,0.04073,0.29539,0.1644436
0.11553,0.54882,0.00025,0.03719,0.29822,0.1631462
0.00312,0.38779,0.00225,0.60529,0.00156,0.0299432
0.11294,0.55446,0.00119,0.03597,0.29544,0.1612074
0.11691,0.55497,0.00026,0.02820,0.29965,0.1580029
0.12233,0.57193,0.00062,0.00344,0.30169,0.1649903
0.11637,0.56930,0.00203,0.00444,0.30786,0.1614298
0.12684,0.57378,0.00027,0.00255,0.29655,0.1661955
0.12603,0.57439,0.00265,0.00028,0.29665,0.1688061
