Upper Bounds	MAE	R_square	length_scale
0.11	0.1259	-0.783	0.11
0.13	0.1166	-0.537	0.13
0.15000000000000002	0.1073	-0.235	0.15
0.17	0.0987	0.051	0.17
0.19	0.0907	0.285	0.19
0.21000000000000002	0.0833	0.457	0.21
0.23000000000000004	0.0762	0.576	0.23
0.25	0.0781	0.604	0.242
0.27	0.0807	0.591	0.242
0.29000000000000004	0.0844	0.571	0.242
0.31000000000000005	0.0862	0.561	0.242
0.33	0.0866	0.555	0.242
0.35000000000000003	0.0788	0.686	0.336
0.37000000000000005	0.0692	0.799	0.336
0.39	0.0692	0.799	0.336
0.41000000000000003	0.0692	0.799	0.336
0.43000000000000005	0.0692	0.799	0.336
0.45000000000000007	0.0692	0.799	0.336
0.4700000000000001	0.0692	0.799	0.336
0.49000000000000005	0.0692	0.799	0.336
0.5100000000000001	0.0692	0.799	0.336
0.5300000000000001	0.0692	0.799	0.336
0.55	0.0692	0.799	0.336
0.5700000000000001	0.0692	0.799	0.336
0.5900000000000001	0.0692	0.799	0.336
