Length Scale	MAE	R_square	RMSE
0.1	0.1337	-0.572	0.188
0.12000000000000001	0.1228	-0.31	0.1792
0.14	0.1111	-0.016	0.1669
0.16000000000000003	0.098	0.254	0.152
0.18000000000000002	0.0892	0.459	0.1375
0.2	0.0841	0.596	0.1253
0.22000000000000003	0.0806	0.687	0.1158
0.24000000000000002	0.0785	0.747	0.1088
0.26	0.0748	0.79	0.1023
0.28	0.0697	0.828	0.0942
0.30000000000000004	0.0668	0.846	0.0893
0.32000000000000006	0.0653	0.856	0.0863
0.3400000000000001	0.0653	0.856	0.0857
0.3600000000000001	0.0674	0.85	0.0873
0.38	0.0702	0.839	0.09
0.4	0.0728	0.828	0.093
0.42000000000000004	0.0751	0.817	0.0958
0.44000000000000006	0.0773	0.806	0.0984
0.4600000000000001	0.079	0.796	0.1009
0.4800000000000001	0.0809	0.786	0.1031
0.5000000000000001	0.0826	0.776	0.1053
0.5200000000000001	0.0845	0.766	0.1073
0.54	0.0861	0.756	0.1093
