Upper Bounds	MAE	R_square	length_scale
0.11	0.0745	-70.805	0.11
0.13	0.0732	-57.616	0.13
0.15000000000000002	0.0722	-47.712	0.15
0.17	0.0714	-41.31	0.166
0.19	0.0711	-38.037	0.168
0.21000000000000002	0.0715	-42.189	0.168
0.23000000000000004	0.0716	-42.981	0.168
0.25	0.0718	-44.889	0.169
0.27	0.0709	-37.398	0.17
0.29000000000000004	0.0709	-37.626	0.171
0.31000000000000005	0.0708	-37.385	0.173
0.33	0.0709	-38.823	0.174
0.35000000000000003	0.0709	-39.765	0.175
0.37000000000000005	0.071	-41.567	0.174
0.39	0.0712	-44.21	0.173
0.41000000000000003	0.0708	-40.414	0.172
0.43000000000000005	0.0714	-46.244	0.17
0.45000000000000007	0.0731	-61.78	0.158
0.4700000000000001	0.0746	-76.536	0.115
0.49000000000000005	0.0751	-79.262	0.1
0.5100000000000001	0.0751	-79.261	0.1
0.5300000000000001	0.0751	-79.259	0.1
0.55	0.0751	-79.258	0.1
0.5700000000000001	0.0751	-79.257	0.1
0.5900000000000001	0.0751	-79.258	0.1
