Upper Bounds	MAE	R_square	length_scale
0.11	0.1609	-1.377	0.11
0.13	0.1477	-0.669	0.13
0.15000000000000002	0.1309	-0.069	0.15
0.17	0.1129	0.316	0.17
0.19	0.0967	0.544	0.19
0.21000000000000002	0.0827	0.683	0.21
0.23000000000000004	0.0725	0.772	0.23
0.25	0.0652	0.831	0.25
0.27	0.0597	0.872	0.27
0.29000000000000004	0.0546	0.901	0.29
0.31000000000000005	0.0501	0.922	0.31
0.33	0.0465	0.937	0.33
0.35000000000000003	0.0437	0.949	0.35
0.37000000000000005	0.0412	0.957	0.37
0.39	0.039	0.963	0.39
0.41000000000000003	0.0377	0.966	0.404
0.43000000000000005	0.0377	0.966	0.404
0.45000000000000007	0.0377	0.966	0.404
0.4700000000000001	0.0377	0.966	0.404
0.49000000000000005	0.0377	0.966	0.404
0.5100000000000001	0.0377	0.966	0.404
0.5300000000000001	0.0377	0.966	0.404
0.55	0.0377	0.966	0.404
0.5700000000000001	0.0377	0.966	0.404
0.5900000000000001	0.0377	0.966	0.404
