Upper Bounds	MAE	R_square	length_scale
0.11	0.121	-0.553	0.11
0.13	0.1101	-0.195	0.13
0.15000000000000002	0.0988	0.138	0.15
0.17	0.0893	0.398	0.17
0.19	0.0809	0.58	0.19
0.21000000000000002	0.0742	0.699	0.21
0.23000000000000004	0.0688	0.772	0.23
0.25	0.0658	0.814	0.25
0.27	0.0624	0.846	0.27
0.29000000000000004	0.0577	0.872	0.29
0.31000000000000005	0.0535	0.89	0.31
0.33	0.0509	0.902	0.33
0.35000000000000003	0.0502	0.905	0.35
0.37000000000000005	0.0505	0.904	0.352
0.39	0.0505	0.904	0.352
0.41000000000000003	0.0505	0.904	0.352
0.43000000000000005	0.0505	0.904	0.352
0.45000000000000007	0.0505	0.904	0.352
0.4700000000000001	0.0505	0.904	0.352
0.49000000000000005	0.0505	0.904	0.352
0.5100000000000001	0.0505	0.904	0.352
0.5300000000000001	0.0505	0.904	0.352
0.55	0.0505	0.904	0.352
0.5700000000000001	0.0505	0.904	0.352
0.5900000000000001	0.0505	0.904	0.352
