Upper Bounds	MAE	R_square	length_scale
0.11	0.1488	-4.34	0.11
0.13	0.1483	-4.339	0.13
0.15000000000000002	0.1497	-4.279	0.15
0.17	0.1503	-4.256	0.158
0.19	0.1532	-4.949	0.158
0.21000000000000002	0.155	-5.105	0.158
0.23000000000000004	0.1543	-4.699	0.158
0.25	0.1606	-5.852	0.158
0.27	0.1618	-5.524	0.27
0.29000000000000004	0.1628	-5.348	0.29
0.31000000000000005	0.1522	-4.429	0.31
0.33	0.1526	-4.152	0.33
0.35000000000000003	0.1431	-2.344	0.35
0.37000000000000005	0.1519	-3.468	0.37
0.39	0.1529	-3.189	0.39
0.41000000000000003	0.1578	-3.657	0.41
0.43000000000000005	0.1588	-3.708	0.43
0.45000000000000007	0.1638	-5.754	0.45
0.4700000000000001	0.1645	-5.569	0.464
0.49000000000000005	0.165	-5.596	0.464
0.5100000000000001	0.1582	-3.297	0.464
0.5300000000000001	0.1585	-3.314	0.464
0.55	0.1565	-3.261	0.464
0.5700000000000001	0.1496	-2.143	0.464
0.5900000000000001	0.1498	-2.151	0.464
