Upper Bounds	MAE	R_square	length_scale
0.11	0.1343	-0.685	0.11
0.13	0.1184	-0.33	0.13
0.15000000000000002	0.1056	-0.006	0.15
0.17	0.0942	0.251	0.17
0.19	0.0834	0.445	0.19
0.21000000000000002	0.0732	0.586	0.21
0.23000000000000004	0.0658	0.681	0.23
0.25	0.0611	0.753	0.25
0.27	0.0577	0.808	0.27
0.29000000000000004	0.054	0.853	0.29
0.31000000000000005	0.0501	0.888	0.31
0.33	0.0463	0.914	0.33
0.35000000000000003	0.0427	0.933	0.35
0.37000000000000005	0.0401	0.944	0.37
0.39	0.0402	0.944	0.374
0.41000000000000003	0.0402	0.944	0.374
0.43000000000000005	0.0402	0.944	0.374
0.45000000000000007	0.0402	0.944	0.374
0.4700000000000001	0.0402	0.944	0.374
0.49000000000000005	0.0402	0.944	0.374
0.5100000000000001	0.0402	0.944	0.374
0.5300000000000001	0.0402	0.944	0.374
0.55	0.0402	0.944	0.374
0.5700000000000001	0.0402	0.944	0.374
0.5900000000000001	0.0402	0.944	0.374
