Length Scale	MAE	R_square	RMSE
0.1	0.2017	-6.273	0.292
0.12000000000000001	0.1983	-6.366	0.2899
0.14	0.1946	-6.5	0.2885
0.16000000000000003	0.191	-6.622	0.2876
0.18000000000000002	0.1878	-6.701	0.287
0.2	0.1846	-6.71	0.2864
0.22000000000000003	0.1814	-6.65	0.2856
0.24000000000000002	0.1781	-6.516	0.2845
0.26	0.1759	-6.295	0.2831
0.28	0.1736	-6.01	0.2812
0.30000000000000004	0.1708	-5.563	0.2783
0.32000000000000006	0.1677	-4.946	0.2742
0.3400000000000001	0.1639	-4.192	0.2687
0.3600000000000001	0.1592	-3.371	0.2616
0.38	0.1531	-2.63	0.2529
0.4	0.1476	-1.89	0.2429
0.42000000000000004	0.1413	-1.251	0.2318
0.44000000000000006	0.1357	-0.769	0.2207
0.4600000000000001	0.1288	-0.375	0.2089
0.4800000000000001	0.1308	-0.717	0.2121
0.5000000000000001	0.1272	-0.509	0.2057
0.5200000000000001	0.1236	-0.325	0.1995
0.54	0.1202	-0.17	0.1936
