Length Scale	MAE	R_square	RMSE
0.1	0.1666	-1.092	0.2356
0.12000000000000001	0.1552	-0.711	0.2238
0.14	0.1401	-0.255	0.2077
0.16000000000000003	0.1232	0.121	0.1902
0.18000000000000002	0.1082	0.378	0.1735
0.2	0.0955	0.549	0.158
0.22000000000000003	0.0851	0.665	0.1435
0.24000000000000002	0.0761	0.748	0.1298
0.26	0.0688	0.808	0.1172
0.28	0.0629	0.852	0.1059
0.30000000000000004	0.0582	0.882	0.0968
0.32000000000000006	0.0542	0.904	0.089
0.3400000000000001	0.0514	0.919	0.0831
0.3600000000000001	0.0497	0.929	0.0785
0.38	0.0479	0.936	0.0751
0.4	0.0466	0.941	0.0727
0.42000000000000004	0.0461	0.944	0.0709
0.44000000000000006	0.0464	0.948	0.0693
0.4600000000000001	0.0492	0.947	0.0697
0.4800000000000001	0.0502	0.947	0.0702
0.5000000000000001	0.0502	0.948	0.0702
0.5200000000000001	0.0498	0.949	0.0699
0.54	0.0488	0.95	0.0691
