Length Scale	MAE	R_square	RMSE
0.1	0.1434	-0.789	0.1946
0.12000000000000001	0.1228	-0.359	0.1786
0.14	0.073	0.293	0.1296
0.16000000000000003	0.0368	0.702	0.0808
0.18000000000000002	0.015	0.91	0.04
0.2	0.0062	0.995	0.0086
0.22000000000000003	0.0053	0.996	0.0074
0.24000000000000002	0.0044	0.997	0.0065
0.26	0.0042	0.997	0.0068
0.28	0.0036	0.998	0.0057
0.30000000000000004	0.0032	0.999	0.0049
0.32000000000000006	0.003	0.999	0.0044
0.3400000000000001	0.0029	0.999	0.0042
0.3600000000000001	0.0028	0.999	0.0042
0.38	0.0029	0.999	0.0043
0.4	0.0031	0.999	0.0046
0.42000000000000004	0.0034	0.998	0.005
0.44000000000000006	0.0037	0.998	0.0055
0.4600000000000001	0.0041	0.998	0.006
0.4800000000000001	0.0048	0.997	0.0069
0.5000000000000001	0.0056	0.996	0.0083
0.5200000000000001	0.0067	0.993	0.01
0.54	0.0085	0.99	0.0124
