Upper Bounds	MAE	R_square	length_scale
0.11	0.1331	-0.407	0.11
0.13	0.1251	-0.179	0.13
0.15000000000000002	0.1197	-0.059	0.15
0.17	0.1174	0.009	0.17
0.19	0.1166	0.051	0.19
0.21000000000000002	0.1162	0.08	0.21
0.23000000000000004	0.1157	0.106	0.23
0.25	0.115	0.131	0.25
0.27	0.1143	0.16	0.27
0.29000000000000004	0.1132	0.192	0.29
0.31000000000000005	0.1115	0.229	0.31
0.33	0.1093	0.27	0.33
0.35000000000000003	0.1066	0.316	0.35
0.37000000000000005	0.1056	0.33	0.36
0.39	0.1058	0.328	0.36
0.41000000000000003	0.1059	0.326	0.36
0.43000000000000005	0.1059	0.326	0.36
0.45000000000000007	0.1059	0.326	0.36
0.4700000000000001	0.1059	0.326	0.36
0.49000000000000005	0.1059	0.326	0.36
0.5100000000000001	0.1059	0.326	0.36
0.5300000000000001	0.1059	0.326	0.36
0.55	0.1059	0.326	0.36
0.5700000000000001	0.1059	0.326	0.36
0.5900000000000001	0.1059	0.326	0.36
