Upper Bounds	MAE	R_square	length_scale
0.11	0.1548	-6.954	0.11
0.13	0.15	-6.927	0.13
0.15000000000000002	0.1464	-6.822	0.15
0.17	0.1454	-6.663	0.17
0.19	0.1447	-6.478	0.19
0.21000000000000002	0.1441	-6.278	0.21
0.23000000000000004	0.1432	-6.011	0.23
0.25	0.1424	-5.779	0.25
0.27	0.1417	-5.557	0.27
0.29000000000000004	0.1409	-5.311	0.29
0.31000000000000005	0.1398	-5.006	0.31
0.33	0.1381	-4.615	0.33
0.35000000000000003	0.1358	-4.134	0.35
0.37000000000000005	0.1329	-3.587	0.37
0.39	0.1294	-3.034	0.39
0.41000000000000003	0.1257	-2.529	0.41
0.43000000000000005	0.1217	-2.058	0.43
0.45000000000000007	0.1203	-1.644	0.45
0.4700000000000001	0.1206	-1.306	0.47
0.49000000000000005	0.1221	-1.09	0.49
0.5100000000000001	0.1243	-0.943	0.51
0.5300000000000001	0.1272	-0.838	0.53
0.55	0.13	-0.744	0.55
0.5700000000000001	0.1319	-0.691	0.57
0.5900000000000001	0.1322	-0.691	0.59
