Upper Bounds	MAE	R_square	length_scale
0.11	0.1543	-1.364	0.11
0.13	0.1414	-0.618	0.13
0.15000000000000002	0.125	-0.02	0.15
0.17	0.1069	0.35	0.17
0.19	0.0904	0.568	0.19
0.21000000000000002	0.0775	0.698	0.21
0.23000000000000004	0.0687	0.781	0.23
0.25	0.0619	0.836	0.25
0.27	0.0558	0.875	0.27
0.29000000000000004	0.0504	0.904	0.29
0.31000000000000005	0.046	0.924	0.31
0.33	0.0427	0.94	0.33
0.35000000000000003	0.0396	0.953	0.35
0.37000000000000005	0.0368	0.962	0.37
0.39	0.0344	0.968	0.39
0.41000000000000003	0.0336	0.97	0.404
0.43000000000000005	0.0336	0.97	0.404
0.45000000000000007	0.0336	0.97	0.404
0.4700000000000001	0.0336	0.97	0.404
0.49000000000000005	0.0336	0.97	0.404
0.5100000000000001	0.0336	0.97	0.404
0.5300000000000001	0.0336	0.97	0.404
0.55	0.0336	0.97	0.404
0.5700000000000001	0.0336	0.97	0.404
0.5900000000000001	0.0336	0.97	0.404
