Upper Bounds	MAE	R_square	length_scale
0.11	0.1254	-0.584	0.11
0.13	0.1159	-0.262	0.13
0.15000000000000002	0.1065	-0.01	0.15
0.17	0.0957	0.234	0.17
0.19	0.0833	0.46	0.19
0.21000000000000002	0.0711	0.64	0.21
0.23000000000000004	0.0597	0.766	0.23
0.25	0.0493	0.847	0.25
0.27	0.0407	0.899	0.27
0.29000000000000004	0.0337	0.931	0.29
0.31000000000000005	0.0285	0.952	0.31
0.33	0.0245	0.965	0.33
0.35000000000000003	0.0219	0.973	0.35
0.37000000000000005	0.0201	0.977	0.37
0.39	0.0199	0.979	0.39
0.41000000000000003	0.0216	0.979	0.41
0.43000000000000005	0.0232	0.978	0.423
0.45000000000000007	0.0232	0.978	0.423
0.4700000000000001	0.0232	0.978	0.423
0.49000000000000005	0.0232	0.978	0.423
0.5100000000000001	0.0232	0.978	0.423
0.5300000000000001	0.0232	0.978	0.423
0.55	0.0232	0.978	0.423
0.5700000000000001	0.0232	0.978	0.423
0.5900000000000001	0.0232	0.978	0.423
