Length Scale	MAE	R_square	RMSE
0.1	0.1016	-0.481	0.1514
0.12000000000000001	0.0922	-0.229	0.1459
0.14	0.0852	-0.087	0.1425
0.16000000000000003	0.0805	0.002	0.1404
0.18000000000000002	0.0774	0.062	0.139
0.2	0.0749	0.103	0.138
0.22000000000000003	0.0727	0.132	0.1375
0.24000000000000002	0.0708	0.152	0.1372
0.26	0.0691	0.167	0.1369
0.28	0.0677	0.181	0.1367
0.30000000000000004	0.0663	0.197	0.1361
0.32000000000000006	0.0647	0.216	0.1353
0.3400000000000001	0.0629	0.241	0.134
0.3600000000000001	0.061	0.271	0.1323
0.38	0.0589	0.305	0.1303
0.4	0.0566	0.341	0.1282
0.42000000000000004	0.0543	0.377	0.1261
0.44000000000000006	0.052	0.411	0.1241
0.4600000000000001	0.0501	0.44	0.1225
0.4800000000000001	0.0485	0.461	0.1219
0.5000000000000001	0.048	0.47	0.1225
0.5200000000000001	0.0485	0.467	0.1242
0.54	0.0492	0.459	0.1264
