Length Scale	MAE	R_square	RMSE
0.1	0.1718	-1.213	0.2379
0.12000000000000001	0.1625	-0.929	0.2299
0.14	0.1521	-0.563	0.2199
0.16000000000000003	0.1407	-0.203	0.2078
0.18000000000000002	0.127	0.098	0.1941
0.2	0.1123	0.33	0.1795
0.22000000000000003	0.1011	0.5	0.1647
0.24000000000000002	0.0947	0.625	0.1504
0.26	0.0868	0.715	0.1364
0.28	0.0791	0.78	0.1238
0.30000000000000004	0.0724	0.826	0.1131
0.32000000000000006	0.0661	0.86	0.1041
0.3400000000000001	0.0606	0.883	0.0969
0.3600000000000001	0.056	0.9	0.0914
0.38	0.0527	0.911	0.0876
0.4	0.0507	0.918	0.0854
0.42000000000000004	0.0499	0.921	0.0847
0.44000000000000006	0.0524	0.916	0.0876
0.4600000000000001	0.0561	0.905	0.0937
0.4800000000000001	0.0588	0.898	0.0969
0.5000000000000001	0.0528	0.922	0.0854
0.5200000000000001	0.0526	0.922	0.085
0.54	0.0521	0.923	0.0846
